Gene = Timm29
index = 1082
Annotated 5SS: [349]
Annotated 3SS: [427]
SMsplice 5SS: [349]
SMsplice 3SS: [427]
top_k =  100
Partition function (log Z): -8.802433631932793

Sorted 5' Splice Sites (High to Low Probability):
Position 349: 0.647308773675293
Position 519: 0.4197880469891005
Position 271: 0.154187276637033
Position 109: 0.10316641117870697
Position 280: 0.05839315763633374
Position 321: 0.024967731393747142
Position 240: 0.008465924894616046
Position 266: 0.007351600655827411
Position 2689: 0.005689909737569152
Position 315: 0.005376188229821439
Position 1360: 0.0047457132029855706
Position 301: 0.003933741056951193
Position 569: 0.003669767421528895
Position 1180: 0.0019384523283457423
Position 1012: 0.0017186183267965908
Position 45: 0.0012982960923040366
Position 113: 0.0011507674225019373
Position 353: 0.0006589241262227863
Position 148: 0.0005208458884716483
Position 103: 0.0003586698115159227
Position 304: 0.0001444904426778644
Position 131: 0.00010996864996846469
Position 204: 5.251114880427377e-05
Position 123: 1.3470531282299065e-05
Position 335: 1.0538039657718203e-05
Position 25: 1.3495772349313394e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 427: 0.9645693923474024
Position 2891: 0.09676101565207165
Position 861: 0.051945594419633395
Position 2569: 0.04781796492049273
Position 1989: 0.043997686577032534
Position 756: 0.04382679380220685
Position 1246: 0.03225695308043425
Position 2848: 0.01887148035082223
Position 792: 0.01721293049738058
Position 2065: 0.015274949324040473
Position 229: 0.014659559542141844
Position 666: 0.014208011967609947
Position 739: 0.012481918567937662
Position 410: 0.01220097860515721
Position 1556: 0.010170133822625849
Position 2103: 0.009045099924140647
Position 2439: 0.0071941316869597
Position 1351: 0.005520520314768827
Position 2974: 0.005341877924119051
Position 2014: 0.004803107989466385
Position 1682: 0.0046969206141015815
Position 1593: 0.003542554439174123
Position 1814: 0.003249166897840965
Position 1112: 0.002920525231638361
Position 1747: 0.0025175246029281247
Position 942: 0.0024533868607054714
Position 1011: 0.0023855367359677825
Position 1278: 0.0020118639374761766
Position 166: 0.001132605272393206
Position 220: 0.0008890999986376653
Position 246: 0.0004288172207214156
Position 1038: 0.0002284490809219927
Position 285: 0.00010980719487552171
Position 233: 6.362685276228616e-05
Position 257: 5.7668184594783785e-05
Position 259: 4.8226956175530947e-05
Position 291: 4.6417966136484854e-05
Position 1143: 4.322857579287775e-05
Position 326: 1.8988445647968027e-05
Position 330: 1.6628710359330278e-05
