Gene = Supt7l
index = 1045
Annotated 5SS: [ 159 4120 6691 8507]
Annotated 3SS: [ 3511  6365  8268 10846]
SMsplice 5SS: [ 159 6691 8507]
SMsplice 3SS: [ 6642  8268 10846]
top_k =  100
Partition function (log Z): -5.893596764418444

Sorted 5' Splice Sites (High to Low Probability):
Position 159: 0.9943366391420899
Position 6691: 0.8850106880011129
Position 4120: 0.5836720354462035
Position 3715: 0.3896947948716337
Position 8507: 0.36535701527040865
Position 8362: 0.35133111665854944
Position 2195: 0.2694360406539647
Position 8387: 0.08427051963001439
Position 9956: 0.05722862752206845
Position 8383: 0.057003388012571335
Position 9275: 0.055448135945218135
Position 326: 0.03909688025318519
Position 1862: 0.02621996812364403
Position 7983: 0.025815656033921053
Position 6106: 0.011994078109691771
Position 1607: 0.009517223957635662
Position 2462: 0.0025926255570059955
Position 653: 0.00034354070522961297
Position 1589: 0.00026019905499813595
Position 330: 1.172407730606164e-05
Position 135: 5.503808991567608e-06
Position 122: 3.026799442426945e-06
Position 116: 2.8173609546141153e-06
Position 163: 2.616614542247406e-06
Position 6: 1.1831208772704718e-06
Position 60: 6.206163639774636e-07
Position 99: 4.695777888770128e-07
Position 43: 3.9122631861280984e-07
Position 51: 1.7255845689185043e-07
Position 507: 5.280933446593367e-08
Position 190: 2.841741989324846e-09
Position 184: 1.0501318473055116e-09
Position 220: 6.572150902047054e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 10846: 0.9165899750352985
Position 8268: 0.8982442744278804
Position 6642: 0.5581646435160584
Position 3613: 0.4008340952453723
Position 6365: 0.3280744147296394
Position 4084: 0.31137075404139397
Position 4048: 0.19560395828215768
Position 1956: 0.11540338163522787
Position 9102: 0.07797734604892269
Position 2053: 0.07641095047611456
Position 9816: 0.07426872297242752
Position 2037: 0.06139196431923638
Position 3823: 0.034357473408745495
Position 228: 0.027365676041286327
Position 7867: 0.025815656033921053
Position 1713: 0.022067284096212034
Position 3872: 0.01650928945917338
Position 1989: 0.01501447920963697
Position 3511: 0.014979624060777443
Position 1504: 0.012880318709676413
Position 6052: 0.011994078109691771
Position 237: 0.006064623230859855
Position 8555: 0.001906211538494418
Position 2380: 0.001392258159081518
Position 2018: 0.0012519267737846577
Position 2327: 0.0012003673979244776
Position 1731: 0.0007902816993133379
Position 578: 0.0003214435417117021
Position 1426: 0.0001557309092047557
Position 1654: 0.00012189276752898926
Position 259: 7.723272932731718e-05
Position 1479: 5.648407398415945e-05
Position 1861: 8.108851787086598e-07
Position 300: 1.3185272477491975e-07
