Gene = Dmac2
index = 338
Annotated 5SS: [  47 1679 3011 4525 4776]
Annotated 3SS: [1481 2929 4384 4612 5300]
SMsplice 5SS: [  47 1679 3028 4525 4776]
SMsplice 3SS: [1481 2929 4384 4647 5300]
top_k =  100
Partition function (log Z): -2.7302526503711033

Sorted 5' Splice Sites (High to Low Probability):
Position 4525: 0.8803639389281734
Position 3028: 0.6651572465615583
Position 4776: 0.6409241381155406
Position 1679: 0.6134751323801149
Position 47: 0.4425465345121884
Position 1404: 0.3078882954208295
Position 1540: 0.2403756424641751
Position 1051: 0.1969467393995879
Position 2634: 0.1656698849604809
Position 3033: 0.15296726194349078
Position 317: 0.14534372648666347
Position 3011: 0.10333259248691791
Position 1095: 0.0868882551763771
Position 2099: 0.059843513129179134
Position 867: 0.052877709457680847
Position 751: 0.049610563002956784
Position 2974: 0.03910514384163889
Position 4543: 0.03774628890773277
Position 4873: 0.032482907817387684
Position 3150: 0.03144606556012588
Position 930: 0.030348798195299367
Position 2610: 0.027894418112195923
Position 1205: 0.019557506353654386
Position 5390: 0.015682776091022206
Position 686: 0.015543444585863703
Position 4516: 0.013893128564831127
Position 2963: 0.01373721963756289
Position 51: 0.012503655390083484
Position 423: 0.010201017672331144
Position 218: 0.009072856945430077
Position 2202: 0.008918242086759839
Position 936: 0.006460671171468269
Position 5395: 0.005607696799589121
Position 1250: 0.00441766007368307
Position 1634: 0.004365402729925864
Position 211: 0.003321958750551503
Position 1548: 0.0031621360549309516
Position 309: 0.0031389168514319786
Position 270: 0.0025516957492319236
Position 1291: 0.002500086069134398
Position 1416: 0.0013803517446526077
Position 565: 0.0012399949389687436
Position 395: 0.0012225785253351096
Position 692: 0.0009935840274248604
Position 91: 0.0008660743968655308
Position 249: 0.0007469925967500545
Position 465: 0.0007376518933341021
Position 1116: 0.0006659987737083633
Position 99: 0.0006217759493168402
Position 479: 0.0002129062184832556
Position 4979: 7.320969881032236e-05
Position 5139: 4.5371028840041544e-05
Position 68: 8.13972098892601e-07
Position 62: 7.072790482969575e-07
Position 82: 6.435336956096148e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2929: 0.9942244952877346
Position 4384: 0.9371826334368524
Position 1481: 0.8608550212729458
Position 4647: 0.587856527620031
Position 5300: 0.47424555160647813
Position 1249: 0.29113023735609045
Position 4612: 0.24022533796862647
Position 5868: 0.21104068865306636
Position 2558: 0.15873660362799835
Position 5350: 0.15627018393735714
Position 2009: 0.05984351312917909
Position 671: 0.035522836304654
Position 2380: 0.034827699444678444
Position 1084: 0.03460257649130369
Position 929: 0.022034761081617064
Position 963: 0.019073911040847952
Position 2098: 0.008918242086759837
Position 5557: 0.007675038440956681
Position 5478: 0.007453356359558214
Position 3091: 0.007160616535282667
Position 856: 0.005486469600186182
Position 3109: 0.00436041820827764
Position 5017: 0.004131272060534079
Position 504: 0.001074821700477893
Position 149: 0.0007631597842781194
Position 4227: 0.0007056320831987305
Position 740: 0.0006103570531206357
Position 1613: 0.0004614959838855286
Position 685: 8.874044904995876e-05
Position 691: 7.689269246661699e-05
Position 4860: 3.323378526668685e-05
Position 787: 7.197932352030414e-06
