Gene = Snupn
index = 1000
Annotated 5SS: [   76  6299 12266 19481 19809 24433 27219 30048]
Annotated 3SS: [ 6135 12117 19375 19711 24334 27140 29966 31783]
SMsplice 5SS: [   76  6299 12266 19481 19809 24433 27219]
SMsplice 3SS: [ 6135 12117 19375 19711 24334 27140 31783]
top_k =  100
Partition function (log Z): -16.714718174878207

Sorted 5' Splice Sites (High to Low Probability):
Position 76: 0.9770830460397505
Position 6299: 0.6011470222241849
Position 12266: 0.595367721996507
Position 896: 0.5603607444242504
Position 12174: 0.3695647029457121
Position 386: 0.3217043035261235
Position 4347: 0.23909433201260077
Position 463: 0.05014994158864111
Position 6262: 0.048216598662756904
Position 1999: 0.03264168772688634
Position 13026: 0.020324613227592818
Position 63: 0.010025596609764011
Position 452: 0.003303652240562114
Position 351: 0.0028851449202955707
Position 468: 0.0017113939914074165
Position 549: 0.0015134737307196833
Position 316: 0.001477089563713612
Position 525: 0.0007206469624748572
Position 27: 0.0003701244280646354
Position 71: 0.00010201507483771291
Position 52: 2.2866765628896637e-05
Position 102: 1.1725557928390693e-05
Position 159: 4.39519163540706e-06
Position 90: 4.039395621597865e-06
Position 80: 3.972577589186306e-06
Position 95: 2.6916881632680245e-06
Position 60: 2.145620783216478e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 12117: 0.9994424570482778
Position 6135: 0.6493636208869406
Position 838: 0.5000073617926064
Position 13585: 0.39910750307030185
Position 225: 0.3589170327001608
Position 4052: 0.18472921765043185
Position 14607: 0.1335262699416145
Position 13524: 0.12272182358962985
Position 14426: 0.09286803834514762
Position 13480: 0.08810239921862625
Position 12939: 0.08545714519157249
Position 4064: 0.05436511436216889
Position 796: 0.0373673610630409
Position 1877: 0.0326667570944755
Position 667: 0.02295139446812153
Position 14969: 0.021004995839424268
Position 12450: 0.01607546779070322
Position 12520: 0.015678586618385844
Position 13998: 0.010714808564405006
Position 451: 0.004802709039870627
Position 267: 0.002532212030347816
Position 308: 0.001467835587240036
Position 142: 0.0012781121711525163
Position 229: 0.0012670054699886735
Position 288: 0.0005311161530081538
Position 6467: 0.0004036333153847457
Position 156: 0.00040224420893109503
Position 271: 5.953621238590347e-05
Position 502: 2.5481696501399246e-06
Position 402: 1.3788858455173455e-06
Position 248: 7.899758675640513e-10
Position 310: 4.1714765774916087e-10
Position 312: 3.5478512684207226e-10
Position 334: 2.2463820704369382e-10
Position 316: 1.802472362482654e-10
Position 180: 1.4704942176314264e-10
Position 171: 1.0050956251108413e-10
