Gene = Knop1
index = 608
Annotated 5SS: [ 166  632 3852 5634 7806]
Annotated 3SS: [  279  2913  5564  7679 10159]
SMsplice 5SS: [ 632 5634 7596 7806]
SMsplice 3SS: [ 5564  7466  7679 10159]
top_k =  100
Partition function (log Z): -5.989341305280547

Sorted 5' Splice Sites (High to Low Probability):
Position 632: 0.9996543815738587
Position 7806: 0.9763359726183716
Position 5634: 0.9217618456997478
Position 4702: 0.6735784449899698
Position 7596: 0.337920995982083
Position 7440: 0.23280978508095904
Position 11554: 0.225688203881003
Position 11015: 0.2220342413944546
Position 867: 0.09332014618560427
Position 2070: 0.08917243668970011
Position 3366: 0.08312325268331269
Position 3043: 0.0600564500741102
Position 2769: 0.047213051525316206
Position 4359: 0.04495265289360427
Position 11011: 0.03276911251706273
Position 8096: 0.012898227898468213
Position 1789: 0.006207961551398972
Position 2037: 0.004533624218950592
Position 802: 0.0045275992853742245
Position 2340: 0.003419820568302986
Position 2725: 0.002943485211154892
Position 798: 0.000914549360759067
Position 832: 0.0005123610205981505
Position 645: 0.00025140576681237413
Position 48: 8.681045972317208e-05
Position 668: 5.2018641128702254e-05
Position 347: 3.434200769821907e-05
Position 124: 2.9802874076207515e-05
Position 636: 1.745934527844547e-05
Position 642: 8.962984531291635e-06
Position 168: 8.688151439432335e-06
Position 400: 8.008760695236247e-06
Position 394: 6.260880294728578e-06
Position 247: 6.06829826398131e-06
Position 96: 4.994656552579463e-06
Position 54: 4.12571158714622e-06
Position 237: 1.4678672695178934e-06
Position 258: 1.0248163312646025e-06
Position 403: 8.616807034976242e-07
Position 166: 7.349449419089949e-07
Position 114: 7.081319395688942e-07
Position 202: 1.7194979172490285e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 7679: 0.9995871424014922
Position 5564: 0.9217618456997478
Position 4531: 0.590169526804681
Position 12501: 0.40824551690036465
Position 10874: 0.3660122213947586
Position 7466: 0.337920995982083
Position 11311: 0.2666295005153915
Position 7330: 0.23280978508095904
Position 10159: 0.19125337935763037
Position 2913: 0.12029144471819486
Position 11381: 0.11739328409103889
Position 4552: 0.08340891818528896
Position 1966: 0.08249467070519553
Position 724: 0.05648615535035847
Position 2700: 0.0468389927161107
Position 4261: 0.04495265289360427
Position 11734: 0.04461919814406069
Position 743: 0.04217886363782961
Position 8963: 0.0272339880225273
Position 3060: 0.018056244192179098
Position 11666: 0.014582468950532173
Position 7895: 0.012349558081062556
Position 7933: 0.012217469074824065
Position 1942: 0.011211390203455065
Position 8176: 0.009189173777168037
Position 2862: 0.005244871445557591
Position 1679: 0.004670046583116799
Position 2590: 0.003317544020360388
Position 2193: 0.0027593561499083077
Position 1708: 0.0013232226184200883
Position 2157: 0.0006604644183946731
Position 762: 0.0006096368641476082
Position 1510: 0.00021469234986208464
Position 496: 9.109605507344653e-05
Position 443: 8.720344784378613e-05
