Gene = Treh
index = 1139
Annotated 5SS: [  108  7928  8193  8361  9500  9729  9933 10143 10389 10727 11493 11814
 12149 12448]
Annotated 3SS: [ 7826  8047  8272  9398  9635  9815 10019 10338 10531 11274 11701 12035
 12393 12642]
SMsplice 5SS: [  108  1656  7928  8193  8361  9500 10389 10727 11814 12149 12448]
SMsplice 3SS: [ 1566  7826  8047  8272  9398 10338 10531 11701 12067 12393 12642]
top_k =  100
Partition function (log Z): 8.858024800762719

Sorted 5' Splice Sites (High to Low Probability):
Position 7928: 0.9993431467337832
Position 8193: 0.9694048186785488
Position 11814: 0.9512567599668117
Position 8361: 0.9511780577299287
Position 10727: 0.9480407209768984
Position 108: 0.8681160115767811
Position 12149: 0.8457772577074513
Position 9500: 0.8090802325064056
Position 12448: 0.7517965560003806
Position 10389: 0.6989342228301164
Position 4589: 0.5425663917997349
Position 688: 0.38393241135849576
Position 10143: 0.317412662845606
Position 2010: 0.24668572758893523
Position 8676: 0.22673409173938763
Position 12507: 0.21308380655216294
Position 8697: 0.1992547321909963
Position 4549: 0.1845290799628127
Position 9933: 0.1760287755742136
Position 2311: 0.11353007791986787
Position 12163: 0.07603143181147494
Position 11605: 0.05464829350881146
Position 10657: 0.0519592790231022
Position 4311: 0.03651980284867991
Position 9729: 0.02506301516277913
Position 12695: 0.022366085969913702
Position 101: 0.020895655760876944
Position 9937: 0.007541158095560999
Position 9695: 0.006145793325330109
Position 116: 0.0034796084097236312
Position 1660: 0.002609377123286656
Position 427: 0.00215755101107262
Position 649: 0.0015452860524884848
Position 8069: 0.001213807472358669
Position 275: 0.001061703276554539
Position 229: 0.0009636944808648786
Position 223: 0.0008962966044693113
Position 75: 0.00038444777849288555
Position 400: 0.00034652700535773147
Position 1649: 0.0003068288428159285
Position 699: 0.00028621277858362237
Position 127: 0.00012030934828799799
Position 782: 0.00011667181794331393
Position 1431: 7.699387730030797e-05
Position 869: 5.897143607308702e-05
Position 12462: 5.724734985100918e-05
Position 12422: 2.2925083410358642e-05
Position 670: 2.287651118194572e-05
Position 1002: 3.006795935179651e-06
Position 808: 2.4118612699691198e-06
Position 129: 4.3545536368583475e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 7826: 1.0000000000000018
Position 8047: 0.9712168947302048
Position 12642: 0.9381530793616261
Position 12393: 0.9333540943790412
Position 8272: 0.9274949295061646
Position 10531: 0.8725180344229144
Position 9398: 0.8312666669430279
Position 11701: 0.8052778670716616
Position 4444: 0.7270954717625469
Position 10338: 0.6989342228301163
Position 12067: 0.5927329926100251
Position 9815: 0.2743397871126681
Position 12035: 0.2581126279916511
Position 500: 0.24593879860924042
Position 8595: 0.24081278884392995
Position 10019: 0.2066672046045975
Position 11662: 0.14601055509897443
Position 10637: 0.12748196557708588
Position 8577: 0.11247399676840687
Position 2182: 0.10704988079284618
Position 1869: 0.10483922122571696
Position 1766: 0.09203993380320216
Position 11454: 0.05464829350881146
Position 1566: 0.05272277852611883
Position 8441: 0.042936537201759974
Position 4141: 0.0365198028486799
Position 11889: 0.03298309402035175
Position 12767: 0.029426144408678297
Position 12336: 0.022985918335935787
Position 12082: 0.022334485180127216
Position 9785: 0.01997560479811514
Position 8279: 0.0186472044626349
Position 12903: 0.017929922211465485
Position 634: 0.01748137346241295
Position 8529: 0.016603791915993867
Position 12646: 0.01578063769391278
Position 11918: 0.015613827512946637
Position 406: 0.011709518877053137
Position 12212: 0.00959757243786483
Position 8620: 0.009536610361903671
Position 9635: 0.009022374051487335
Position 530: 0.007129002485824274
Position 12780: 0.006826879103148352
Position 12282: 0.006804674433830524
Position 2053: 0.006480197127021624
Position 12870: 0.005626163522318079
Position 8288: 0.005433198744462321
Position 309: 0.002058667577052559
Position 8246: 0.0009617233920013997
Position 8532: 0.0008915985331396002
Position 12248: 0.0008415350678972549
Position 8291: 0.00011938008440083297
Position 506: 6.487393724578998e-05
Position 540: 3.304182180062584e-05
Position 524: 2.792715241280685e-05
Position 1194: 1.992762946534209e-05
Position 348: 3.52054379686172e-06
