Gene = Atp6v1h
index = 152
Annotated 5SS: [  199  1484  6032 10373 12649 15054 18044 34408 41390 50183 52858 60772
 66982]
Annotated 3SS: [ 1336  5928 10282 12534 14948 17989 34309 41196 50003 52731 60669 66867
 79024]
SMsplice 5SS: [  199  1501  6032 10373 12649 15054 34408 41390 50161 52858 60772 66982]
SMsplice 3SS: [ 1336  5928 10282 12534 14948 34309 41196 50003 52731 60669 66867 79024]
top_k =  100
Partition function (log Z): -30.086510790133048

Sorted 5' Splice Sites (High to Low Probability):
Position 6032: 0.9999999999999997
Position 15054: 0.9609528767087457
Position 199: 0.901292751012803
Position 12649: 0.8117048944787107
Position 1501: 0.6874482293959261
Position 10373: 0.6095699170715211
Position 10414: 0.35978966850957916
Position 16141: 0.35070083534251717
Position 582: 0.3035667988816234
Position 4559: 0.25184839698111305
Position 12801: 0.22733949291006575
Position 16135: 0.22479228454962316
Position 1484: 0.21594065310002375
Position 1221: 0.1990183804713602
Position 590: 0.15788117996480938
Position 5553: 0.14556271867671736
Position 12326: 0.13336999152587736
Position 17316: 0.11323556849967292
Position 10693: 0.10553069182243491
Position 1494: 0.06153773623505301
Position 12294: 0.048546390344276026
Position 12250: 0.04650558869204742
Position 546: 0.044420325139507374
Position 5548: 0.038499153919068003
Position 2763: 0.03755419377442328
Position 813: 0.0305631690728915
Position 807: 0.029032170017528437
Position 14486: 0.027900201403117088
Position 1446: 0.02549740148617529
Position 16434: 0.02426887524277988
Position 18044: 0.01715119448373938
Position 578: 0.009031519636733003
Position 169: 0.0008311492919025259
Position 72: 0.0007495621851508827
Position 320: 0.0005005326228139319
Position 266: 0.00046827767991871634
Position 86: 4.3244569755089884e-05
Position 214: 4.287756329606469e-05
Position 98: 1.6116710133900464e-05
Position 12: 1.5223693637123704e-05
Position 632: 1.2485336156100146e-05
Position 49: 1.1886493711655464e-05
Position 107: 8.46959969173325e-06
Position 428: 3.662997947350826e-06
Position 479: 3.3020529465564285e-06
Position 501: 3.217578965552703e-06
Position 367: 7.569953546297022e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 12534: 1.000000000000004
Position 1336: 0.9904240202171813
Position 5928: 0.972573207880665
Position 14948: 0.9367752088760626
Position 10282: 0.863773979928278
Position 18251: 0.7124426885046324
Position 16027: 0.5583889578285781
Position 4410: 0.25184839698111317
Position 12131: 0.2284219705622009
Position 408: 0.19730140345977468
Position 5479: 0.184061872595786
Position 17084: 0.15620708765486715
Position 20485: 0.13705755360273097
Position 1095: 0.13060712358510207
Position 471: 0.11237596151555292
Position 10133: 0.10558560565281787
Position 447: 0.06767123316974925
Position 10543: 0.0619341507734107
Position 15976: 0.05832750704218872
Position 711: 0.05116306163744718
Position 16304: 0.046680326373272754
Position 1125: 0.04167093820765361
Position 2573: 0.03755419377442339
Position 581: 0.03324254104126034
Position 12764: 0.028755467751488215
Position 14399: 0.027900201403117088
Position 5829: 0.027426792119333653
Position 14834: 0.026574420820966747
Position 18182: 0.02307852477330135
Position 10570: 0.022922740800573063
Position 475: 0.020472321877512408
Position 18023: 0.01715119448373931
Position 10487: 0.015592288428114172
Position 16485: 0.012300859598894626
Position 952: 0.011054516675067301
Position 12730: 0.010288919637286573
Position 17510: 0.006117305267843726
Position 10603: 0.005081511820336753
Position 750: 0.004288504872910236
Position 424: 0.003009225894410681
Position 1021: 0.002460588075728005
Position 681: 0.0010866740197438133
Position 684: 0.0008809791928335345
Position 384: 0.00015588615797060363
Position 264: 2.4578167233837764e-05
Position 305: 2.0962998341464707e-05
Position 281: 1.1660373619905325e-05
Position 538: 7.568600653126724e-06
Position 300: 4.045098402709674e-06
Position 308: 3.822585962112953e-06
Position 586: 3.2046343537437832e-06
Position 327: 1.8419493449739153e-07
Position 358: 7.353240741969684e-08
