Gene = Lactb2
index = 615
Annotated 5SS: [  218  9826 13162 22316 30482 33191]
Annotated 3SS: [ 9661 13034 22136 30332 33108 33641]
SMsplice 5SS: [  218  9826 22316 30482]
SMsplice 3SS: [ 9661 22043 30332 33108]
top_k =  100
Partition function (log Z): -24.008424418400665

Sorted 5' Splice Sites (High to Low Probability):
Position 218: 0.9755640434567878
Position 9826: 0.8953707909147036
Position 8950: 0.21540366261868465
Position 10142: 0.17686958002569325
Position 12889: 0.1628475832636162
Position 84: 0.022778736318224836
Position 658: 0.008671452055010255
Position 3140: 0.005359944618236072
Position 480: 0.004527948257706066
Position 141: 0.001258534036016472
Position 3928: 0.00040045589301736207
Position 402: 0.0003688357558203938
Position 556: 0.00029914669162922896
Position 201: 8.853911293284164e-05
Position 194: 7.011262991511913e-05
Position 328: 3.157835041130938e-05
Position 138: 1.3962746118491222e-05
Position 166: 9.007237629234587e-06
Position 66: 8.23707236419286e-06
Position 75: 3.6982801316382845e-06
Position 35: 3.215955580147164e-06
Position 299: 2.880202251403104e-06
Position 258: 1.789535650671046e-06
Position 50: 1.3465736763893918e-06
Position 128: 1.3179019836927309e-06
Position 149: 3.189967833970123e-07
Position 253: 2.9430521117574063e-07
Position 133: 2.3700027937369693e-07
Position 326: 4.178863765555253e-09
Position 147: 2.0485260347117275e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 9661: 0.8769547237405777
Position 14348: 0.5878852192327965
Position 8778: 0.26576941299692536
Position 12780: 0.20995457002803658
Position 9930: 0.15207107314958124
Position 10017: 0.0864107849071713
Position 11600: 0.08160370294648193
Position 10279: 0.06496486366349205
Position 9525: 0.03414816813038123
Position 9933: 0.027391657006186572
Position 11424: 0.024806083270268578
Position 390: 0.017863790633086334
Position 2896: 0.007519735131153125
Position 9056: 0.007360012620340659
Position 8461: 0.004606947367356912
Position 4910: 0.004145503450054195
Position 1841: 0.002875217145776943
Position 7986: 0.002599885694877053
Position 4027: 0.0023790690978014424
Position 7248: 0.002137611957241484
Position 3501: 0.0018530991506848316
Position 3054: 0.0017174199606309964
Position 5999: 0.0010480140669160704
Position 750: 0.0005928495024412186
Position 3658: 0.0005170491137399996
Position 1856: 0.00026415961148140515
Position 1606: 0.0002175777516611939
Position 2733: 0.00017847931156355997
Position 1022: 0.00011392573361259357
Position 592: 3.3647864539707957e-06
Position 615: 1.2096832380981781e-06
Position 582: 9.584174278035584e-07
Position 416: 4.820453078087588e-07
Position 595: 4.138995273937549e-07
Position 460: 2.208291812143978e-07
