Gene = Lair1
index = 617
Annotated 5SS: [  106  7257 34468 52445 52585 52709 52924]
Annotated 3SS: [ 7220 34137 52327 52541 52670 52873 53339]
SMsplice 5SS: [  106  2265 18416 34468 35103 42328 52445 52709]
SMsplice 3SS: [ 2147 18324 34137 34992 42210 52327 52541 53339]
top_k =  100
Partition function (log Z): -36.37856771123425

Sorted 5' Splice Sites (High to Low Probability):
Position 2265: 0.7766882157903136
Position 106: 0.7273128372124587
Position 49: 0.26316688594619236
Position 1770: 0.14022663524736606
Position 1586: 0.13183325369789872
Position 1978: 0.07975379740653085
Position 2611: 0.0485033939149784
Position 1754: 0.01446652787096982
Position 281: 0.006919784187926301
Position 1786: 0.005472948713630215
Position 54: 0.0015134406135070223
Position 913: 0.00022865161367756717
Position 531: 0.00022632943862803192
Position 99: 0.00018475276026537019
Position 497: 0.000169764803346005
Position 1199: 0.00016631492859071
Position 130: 0.00015826623509022184
Position 1473: 0.00014914662397710424
Position 700: 0.00012444720479249492
Position 1092: 8.088826117410773e-05
Position 218: 6.944029724962952e-05
Position 1560: 4.2896711345461394e-05
Position 1411: 2.6251544407716044e-06
Position 69: 1.4112107698967022e-08
Position 87: 1.000120871229683e-08
Position 74: 3.1290085178913973e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2147: 0.8468636373535016
Position 1499: 0.20515794655418354
Position 1680: 0.16357448241236847
Position 8380: 0.12352667630221235
Position 4314: 0.11291035651055374
Position 5054: 0.11057663705240775
Position 9104: 0.09728121287156506
Position 7552: 0.09712740217242097
Position 1635: 0.07249237648953559
Position 7027: 0.0659106937177647
Position 2502: 0.033635999111210374
Position 2462: 0.03002262902807744
Position 1718: 0.029463558726164765
Position 1926: 0.026804596890915782
Position 6877: 0.02377748125277837
Position 6528: 0.02168961469551071
Position 6389: 0.02089576161659027
Position 5242: 0.020687870259219778
Position 2690: 0.019410295396280537
Position 4018: 0.016889356968536925
Position 3805: 0.015270845035196778
Position 3062: 0.014946496864021046
Position 3610: 0.012066251372691728
Position 3840: 0.004240034926106439
Position 1885: 0.0029293304606867496
Position 3096: 0.002886124401796861
Position 853: 0.001468211396050172
Position 2515: 0.001432299000348862
Position 492: 0.0013601272555248368
Position 158: 0.0008689952650319948
Position 637: 0.0006664250428776896
Position 2083: 0.00021261624603669338
Position 1323: 0.0001517717784178761
Position 2053: 0.00014834463017100423
Position 827: 2.4622408234852582e-05
Position 1043: 2.123762371251482e-05
Position 1131: 2.034854424098583e-05
Position 602: 1.953625230139803e-05
Position 771: 1.574209103006442e-05
Position 1026: 1.3325900399550324e-05
