Gene = Ei24
index = 364
Annotated 5SS: [  181  4154  7614  9201 10911 11458 11861 12926 14661 15053]
Annotated 3SS: [ 4043  7467  9139 10843 11332 11740 12813 14548 14977 17123]
SMsplice 5SS: [  168  4154  7614 10911 11861 15053]
SMsplice 3SS: [ 4043  7467 10843 11740 14977 17760]
top_k =  100
Partition function (log Z): -4.5237832490868275

Sorted 5' Splice Sites (High to Low Probability):
Position 4154: 0.9998783004907189
Position 7614: 0.9998369289026654
Position 11861: 0.9979348963828811
Position 15053: 0.8459320045220413
Position 10911: 0.577944562114308
Position 14661: 0.4502657396278551
Position 11458: 0.38360089656305063
Position 168: 0.3626964865185871
Position 181: 0.29196634051073445
Position 12926: 0.22848007196527637
Position 14716: 0.20395740709716795
Position 11580: 0.14790426072199972
Position 137: 0.13361374247246183
Position 6383: 0.11916698341115552
Position 390: 0.1133776587676567
Position 10475: 0.09552578904355523
Position 6413: 0.09472567434335749
Position 14449: 0.09204698052568108
Position 9201: 0.0892000610940024
Position 17304: 0.05495735276508664
Position 670: 0.05027088253285965
Position 10948: 0.0344694189245047
Position 5072: 0.033583531892709524
Position 1238: 0.027908859741614937
Position 1668: 0.02325373803539646
Position 10112: 0.021430404319256708
Position 660: 0.020655504098523635
Position 1705: 0.020245969306725148
Position 8556: 0.020056186419089794
Position 557: 0.017094209071946784
Position 530: 0.010037106881013322
Position 11529: 0.008279176446395144
Position 10915: 0.001961562539598593
Position 4558: 0.000902445252337639
Position 674: 0.00015112501428012057
Position 738: 0.00013694413193854088
Position 7967: 6.362057238499151e-05
Position 8459: 2.8130427397173e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 11740: 0.9878769982857345
Position 4043: 0.9814288367697874
Position 7467: 0.919210505380597
Position 14977: 0.8594110566539
Position 14548: 0.6131732241333534
Position 10843: 0.5825237976918779
Position 11332: 0.5408847099890647
Position 17760: 0.3619555048101827
Position 12813: 0.2214751907201669
Position 6294: 0.1896005877656918
Position 15582: 0.16441264371653852
Position 17165: 0.11880365565081173
Position 17199: 0.11029887579750516
Position 14303: 0.09204698052568108
Position 16074: 0.07032925706726992
Position 9139: 0.06681262902918453
Position 14635: 0.066419091145227
Position 10390: 0.061605977629735846
Position 17792: 0.05041867607494336
Position 7509: 0.04937573947445583
Position 14826: 0.04565840973372396
Position 10428: 0.03391981141381938
Position 17123: 0.033901149193786694
Position 4957: 0.03358353189270958
Position 10810: 0.03185174588653336
Position 7513: 0.031250684047612436
Position 15616: 0.024649371500989517
Position 6297: 0.02429206998882121
Position 1070: 0.02336484529182058
Position 15543: 0.023177968418466383
Position 8416: 0.019150550917698596
Position 3986: 0.018449463720931696
Position 8718: 0.016995209286712935
Position 1512: 0.01625757613060358
Position 10031: 0.01597394968088233
Position 1642: 0.01406016021214094
Position 12855: 0.010315172322828473
Position 1554: 0.008602026876823305
Position 11796: 0.006547524938322678
Position 15754: 0.006264174382068168
Position 8897: 0.005575600808719509
Position 10005: 0.005456454638374376
Position 1566: 0.004579944122553764
Position 11842: 0.0042917224877105425
Position 1170: 0.0019446517170829112
Position 1099: 0.0013017409824583395
Position 1025: 0.0012976217502531
Position 8312: 0.0009190676651725543
Position 15019: 0.0008640510385459241
Position 4455: 0.0008028485381084511
Position 4341: 9.959671422918797e-05
Position 7842: 3.4092296779454505e-05
Position 7888: 2.9528275605536957e-05
Position 8394: 1.4698263615816834e-05
