Gene = Gtf2a2
index = 524
Annotated 5SS: [ 112 2861 4374 6966]
Annotated 3SS: [2741 4268 6838 9886]
SMsplice 5SS: [ 112 2861 4374 6966]
SMsplice 3SS: [2741 4237 6838 9886]
top_k =  100
Partition function (log Z): -5.363059405925987

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.9783677052161985
Position 6966: 0.9668681845666263
Position 2861: 0.8012375728558517
Position 4374: 0.7399170217060402
Position 4642: 0.5121007389360318
Position 2466: 0.3369922834799257
Position 4424: 0.23059416846821323
Position 3388: 0.1575316614432045
Position 681: 0.09082550515923847
Position 6269: 0.07424647228743769
Position 1420: 0.04863566892083192
Position 7994: 0.043490784241802374
Position 8798: 0.014764540938018251
Position 2473: 0.01469101305067845
Position 774: 0.010989422832243594
Position 2456: 0.006288981802735138
Position 1569: 0.0022950610291315927
Position 160: 0.0014118095691423762
Position 579: 0.0005758545092183388
Position 310: 0.00011464584419490793
Position 403: 9.816674080813976e-05
Position 599: 3.3202748384734926e-05
Position 50: 1.0282903317983406e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 6838: 0.9905340990462609
Position 2741: 0.7512250360392789
Position 9886: 0.587131206222774
Position 4237: 0.4864918744471145
Position 4522: 0.4823336739354341
Position 4268: 0.4745394934142172
Position 2372: 0.3174268350635569
Position 3217: 0.12402578108321388
Position 6129: 0.07424647228743762
Position 9482: 0.072442737469646
Position 8656: 0.061060432382219997
Position 9824: 0.060204508908628496
Position 2786: 0.04998456820543626
Position 598: 0.04849777203108296
Position 7784: 0.03683625559779316
Position 7993: 0.03633430539195369
Position 1294: 0.0360294355711376
Position 9113: 0.033173379270162826
Position 9303: 0.03186510499349099
Position 7662: 0.03149686150025736
Position 2317: 0.0312555732468347
Position 4277: 0.030353622537628154
Position 3100: 0.027167089761046318
Position 591: 0.023364769304426453
Position 8194: 0.023158258543987766
Position 7142: 0.017746206525233857
Position 7441: 0.015853582345578134
Position 1249: 0.014683498809590733
Position 4593: 0.01056446064991779
Position 7055: 0.009373081780540988
Position 8495: 0.005191489730386012
Position 473: 0.004264405191359126
Position 4747: 0.00423814322577113
Position 718: 0.004088560325275402
Position 3213: 0.003914413729073615
Position 5782: 0.003556561853944987
Position 2117: 0.003532647908179469
Position 7275: 0.0032560990837911283
Position 2321: 0.003154381092548686
Position 2091: 0.0026308096333565126
Position 3311: 0.002424376869870633
Position 240: 0.0011507931093406383
Position 543: 0.0010510409482733481
Position 1471: 0.00021779556923518997
