Gene = Sprr2d
index = 1019
Annotated 5SS: [42]
Annotated 3SS: [1094]
SMsplice 5SS: [42]
SMsplice 3SS: [1094]
top_k =  100
Partition function (log Z): -5.321666601361306

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9928410348430575
Position 371: 0.08481915858140963
Position 367: 0.01604789993075102
Position 442: 0.009364752788311101
Position 506: 0.008402525112952947
Position 1368: 0.008176922260713768
Position 600: 0.007956082201671334
Position 244: 0.005644148497107933
Position 1206: 0.0029989838811919755
Position 297: 0.0020278829667525937
Position 1179: 0.00042855842990572213
Position 1373: 0.0003480179914427562
Position 1609: 0.0002404299723573425
Position 150: 7.158393705339086e-05
Position 9: 7.431870128894619e-06
Position 1233: 6.5755088833817214e-06
Position 900: 5.4579582829068895e-06
Position 60: 3.295329160377618e-06
Position 444: 2.6233028586396987e-06
Position 398: 2.239992119331707e-06
Position 68: 2.1861970524949703e-06
Position 710: 1.883826067650771e-06
Position 161: 5.599664015571891e-07
Position 259: 4.3786299238055695e-07
Position 88: 2.5853676475813673e-07
Position 46: 2.399142980289453e-07
Position 179: 2.397561766856498e-07
Position 74: 1.789786302617793e-07
Position 93: 4.0350768018838344e-08
Position 124: 2.3774148894953872e-08
Position 198: 5.333769009020756e-09
Position 48: 4.348948732425507e-09
Position 164: 4.159247538114895e-09
Position 129: 3.1758904617545657e-09
Position 205: 2.1400752260486554e-09
Position 191: 1.940664614291664e-09
Position 96: 1.0568988157400836e-09
Position 115: 9.743716375595092e-10
Position 117: 9.580684718109465e-10
Position 77: 5.427110851362105e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1094: 0.854361891542993
Position 284: 0.08970618498289627
Position 342: 0.05398224910728563
Position 409: 0.03331297887311126
Position 1524: 0.024699553956386653
Position 228: 0.023187123296451638
Position 1308: 0.011741614746022639
Position 1652: 0.010789277291321925
Position 1305: 0.006326575762925619
Position 1347: 0.003907671777656018
Position 1699: 0.0031697657113538614
Position 461: 0.003082295504845716
Position 129: 0.00215791842530909
Position 1128: 0.0018991058456024287
Position 1344: 0.0018428542958105545
Position 370: 0.0016939690504504602
Position 1433: 0.0015703285957769217
Position 1233: 0.0015518127181735272
Position 1125: 0.0014846550706544438
Position 441: 0.001422728927231414
Position 1267: 0.0013418936657407143
Position 1206: 0.001329396836019412
Position 1472: 0.0010680913570652517
Position 1592: 0.000958665569843025
Position 1565: 0.0007282494046496627
Position 542: 0.0006461963492492145
Position 348: 0.000554018885650337
Position 1010: 0.0004977975842025422
Position 1723: 0.00029275390831556223
Position 489: 9.285358488698991e-05
Position 235: 3.700756185833608e-07
Position 297: 2.8875983239760306e-07
Position 153: 1.462833707993722e-07
Position 243: 1.290503812708858e-07
Position 191: 9.230203394215688e-08
Position 238: 9.089544534363548e-08
Position 161: 8.915549776803595e-08
