Gene = Sln
index = 986
Annotated 5SS: [163]
Annotated 3SS: [3241]
SMsplice 5SS: [163]
SMsplice 3SS: [3241]
top_k =  100
Partition function (log Z): -8.327764389943114

Sorted 5' Splice Sites (High to Low Probability):
Position 163: 0.9590480948446434
Position 1228: 0.16119015428228822
Position 1683: 0.08290319520839584
Position 3088: 0.06456261292648692
Position 271: 0.039967128758142546
Position 591: 0.013491900943126607
Position 2978: 0.01161836930773866
Position 1791: 0.011541339674064668
Position 1060: 0.008003248649709882
Position 881: 0.003112959449897741
Position 531: 0.0004828543419484864
Position 111: 0.00036540727649128814
Position 125: 0.00031349892700958547
Position 733: 0.00021866158120486363
Position 702: 0.00011635520673311635
Position 497: 0.00010965555442224678
Position 132: 2.4411496701467924e-05
Position 179: 4.948711994045039e-06
Position 141: 2.6747890726773813e-07
Position 33: 4.5555036740125615e-08
Position 143: 4.512809420155029e-08
Position 75: 9.542482337874569e-09
Position 215: 6.791545773269119e-09
Position 22: 1.6770211161720655e-09
Position 13: 1.6257077725959698e-09
Position 199: 7.217679026400138e-10
Position 39: 3.16741706016164e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3241: 0.6196555075109058
Position 1059: 0.14330729938341885
Position 2977: 0.09755718109271119
Position 1093: 0.09261200334579792
Position 1564: 0.08325846813783752
Position 571: 0.038237527604012805
Position 2433: 0.03578222946805166
Position 1332: 0.03097237347988665
Position 2694: 0.0269834534250564
Position 411: 0.02468220234148736
Position 3184: 0.021836848030550745
Position 355: 0.020598600925129103
Position 4120: 0.01817323722672174
Position 2763: 0.012885132406969613
Position 1673: 0.009993847422737368
Position 2305: 0.009037849997897977
Position 2302: 0.009035568232678625
Position 3424: 0.0072439104187367745
Position 2251: 0.00597144750557846
Position 448: 0.0050729822353215255
Position 3348: 0.005019193650182785
Position 932: 0.004654372463278222
Position 262: 0.004321708984823904
Position 2833: 0.004264742997125479
Position 1352: 0.004148508927221195
Position 2537: 0.0037956655843216997
Position 980: 0.003347554093524174
Position 766: 0.002855442235191744
Position 2016: 0.002693645994658283
Position 2001: 0.0019389115039335396
Position 641: 0.00168576905537431
Position 627: 0.0012442960448424368
Position 430: 0.0011432972136798435
Position 469: 0.001133974308949155
Position 384: 0.0007354154064003172
Position 270: 0.0007250199581495785
Position 1097: 0.00024140221785842663
Position 773: 8.18230730334201e-05
Position 701: 7.247427542924846e-05
Position 715: 4.065329870945325e-05
Position 222: 1.257961765445914e-05
Position 870: 9.046984262822522e-06
Position 864: 4.57908254747914e-06
Position 892: 2.649401496931008e-06
Position 889: 2.56894192439752e-06
Position 836: 2.210472246135664e-06
