Gene = 4930444P10Rik
index = 48
Annotated 5SS: [  352 12496 14758 24526]
Annotated 3SS: [12331 14624 24469 27050]
SMsplice 5SS: [  352 10909 12496 14758 24526]
SMsplice 3SS: [10817 12331 14675 24469 27050]
top_k =  100
Partition function (log Z): -13.608588611369115

Sorted 5' Splice Sites (High to Low Probability):
Position 352: 0.9998698499801579
Position 10909: 0.9275022137168921
Position 12496: 0.5346636154452716
Position 1579: 0.16174587621628142
Position 13334: 0.10592239347848074
Position 3878: 0.05653785124580535
Position 11992: 0.045999654504000106
Position 811: 0.03407153261358711
Position 10925: 0.0308253883478628
Position 13283: 0.02638535114262226
Position 2745: 0.012706305856409418
Position 655: 0.010668359687603268
Position 780: 0.00156560073778543
Position 776: 0.00016463497823986003
Position 972: 0.000149407391215807
Position 750: 0.00012628334401948332
Position 520: 0.00010227119870949066
Position 1784: 6.83341942619846e-05
Position 301: 5.54921334765873e-05
Position 305: 1.5695696172353616e-05
Position 506: 1.174464708810465e-05
Position 515: 8.380812605523568e-06
Position 150: 2.007464248435072e-06
Position 296: 1.2810992352232279e-06
Position 356: 1.1496922630288819e-06
Position 335: 8.019813612525381e-07
Position 229: 4.2328559465117286e-07
Position 570: 1.359858615221599e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 16204: 0.79858732457569
Position 12331: 0.5346636154452716
Position 10817: 0.5246646493431533
Position 10814: 0.4146706629050614
Position 13219: 0.13551239927864722
Position 12830: 0.08406472982402706
Position 1463: 0.08341250598417453
Position 18119: 0.05555629883183897
Position 3736: 0.05524164363015906
Position 11883: 0.045999654504000106
Position 1321: 0.03991963918052677
Position 10820: 0.030727821267836766
Position 10823: 0.029024495030854566
Position 1442: 0.02801799571205715
Position 703: 0.018482606623246953
Position 569: 0.016997914668669522
Position 2658: 0.012852276719708646
Position 640: 0.010665326465967254
Position 14996: 0.008633644399490017
Position 1555: 0.005645750183378272
Position 1384: 0.004656636884222078
Position 13029: 0.003083650025804878
Position 11301: 0.0023286229878007794
Position 11051: 0.0019491163258785133
Position 3759: 0.001425833288620347
Position 11264: 0.0009195604366804076
Position 519: 0.00031722032503981755
Position 7275: 0.0002767072354371928
Position 1835: 0.0001574381130199334
Position 1522: 0.00015623634576772353
Position 713: 9.368052771445507e-05
Position 427: 8.468815446981888e-05
Position 841: 6.980037847107995e-05
Position 460: 6.761248797694457e-05
Position 1729: 5.469290501501545e-05
Position 472: 4.1155567337257734e-05
Position 2825: 3.809137395729068e-05
Position 4561: 2.725936959599442e-05
Position 608: 2.7192542408127914e-05
Position 875: 1.675248320353382e-05
Position 449: 1.3573244217362384e-05
Position 2500: 1.0217976719025934e-05
Position 810: 8.54251725166014e-06
Position 2474: 6.546082582068712e-06
Position 1351: 1.1567240811027441e-07
Position 1357: 8.414280931253203e-09
Position 1241: 8.250192724467953e-09
