Gene = Plet1
index = 824
Annotated 5SS: [ 222 4775 6604]
Annotated 3SS: [4569 6547 9751]
SMsplice 5SS: [ 222 6604]
SMsplice 3SS: [6547 9133]
top_k =  100
Partition function (log Z): -5.886649400812212

Sorted 5' Splice Sites (High to Low Probability):
Position 6604: 0.9938773229277227
Position 222: 0.990097747390604
Position 4775: 0.41408937413707014
Position 2327: 0.2996437166261093
Position 9043: 0.2678158619201989
Position 1440: 0.20550428045566285
Position 9971: 0.1678084934020497
Position 2702: 0.057848590142438996
Position 2582: 0.04161009960995959
Position 10318: 0.03398690190018941
Position 10512: 0.027331433420163195
Position 8725: 0.021451278441339792
Position 9292: 0.008118142932771152
Position 1614: 0.004713176839801485
Position 7807: 0.0035002698412266386
Position 289: 0.002743038102415956
Position 201: 0.002089161852060027
Position 399: 0.002029497540263983
Position 9595: 0.001992787617862963
Position 293: 0.001933237325039013
Position 209: 0.0011073177896174817

Sorted 3' Splice Sites (High to Low Probability):
Position 6547: 0.963650522580048
Position 9133: 0.48592180889361886
Position 9751: 0.34822565349628076
Position 4569: 0.3479101857523042
Position 2223: 0.2881524043101206
Position 8883: 0.21701282265694766
Position 1369: 0.15607761484360358
Position 10389: 0.15406669182472643
Position 8611: 0.10097966546608379
Position 2563: 0.08332236325911406
Position 10077: 0.06309370514813288
Position 4463: 0.04617393120463497
Position 6432: 0.035971886701297084
Position 10446: 0.028049227800359455
Position 10758: 0.02733143342016317
Position 1233: 0.027153305210618036
Position 10053: 0.020858844639436526
Position 4593: 0.020252953253474877
Position 9832: 0.015960348989956914
Position 10201: 0.015652214721466984
Position 9042: 0.010925712584847688
Position 7196: 0.010085811616028974
Position 2117: 0.009030166035855026
Position 2315: 0.008460751124384373
Position 1311: 0.007866687108863098
Position 2361: 0.007814299348469769
Position 8762: 0.0074406516192821485
Position 9435: 0.006934877290507334
Position 1273: 0.006357794687327722
Position 8293: 0.005013275735587832
Position 994: 0.004976040463426969
Position 7243: 0.004829476658870742
Position 1112: 0.004362537276479642
Position 7533: 0.0021281509567091885
Position 2285: 0.0016208560773914636
Position 1531: 0.0011184094070521657
Position 7485: 0.0007498119917031924
Position 1423: 0.0006986246931363563
Position 1498: 0.0006381856111229113
Position 7504: 0.0006223068928142574
Position 1387: 0.0005320631319144573
Position 2095: 0.00036315432354328735
Position 1574: 0.0002935622839747611
Position 1129: 0.00021263658328626216
Position 2002: 0.00020794261092426741
Position 1905: 0.0001304692887049767
Position 507: 5.989063996917012e-05
