Gene = Bri3bp
index = 188
Annotated 5SS: [  325 10205]
Annotated 3SS: [10101 12757]
SMsplice 5SS: [  325 10205 11988]
SMsplice 3SS: [10101 11870 18200]
top_k =  100
Partition function (log Z): -11.962899110467143

Sorted 5' Splice Sites (High to Low Probability):
Position 325: 0.9779699470063031
Position 10205: 0.9004078742774737
Position 11988: 0.6429970063272392
Position 1818: 0.2778672639570281
Position 10678: 0.2670068697748691
Position 10209: 0.09138770165701918
Position 11978: 0.012775456772626455
Position 307: 0.011446880144610668
Position 280: 0.00437937534402643
Position 442: 0.002085365599157407
Position 990: 0.001735247085548074
Position 1589: 0.0014598357461167743
Position 130: 0.0010985433829798937
Position 3653: 0.0003186928735311834
Position 2189: 0.00015449580928332069
Position 1170: 3.124764749159594e-05
Position 1302: 2.862373105167307e-06
Position 13: 1.5875524696684506e-07
Position 960: 1.5259932099801503e-07
Position 937: 7.501667045622964e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 10101: 0.9945165941159444
Position 11870: 0.8327766959741622
Position 10579: 0.2670068697748691
Position 1729: 0.2518744153488869
Position 14445: 0.2454220646113346
Position 15396: 0.18889046366148998
Position 12757: 0.17938482013446486
Position 13148: 0.09203996662129889
Position 10935: 0.05256142064948973
Position 13079: 0.03256196680852393
Position 1580: 0.026322951832927596
Position 13885: 0.023930640573595337
Position 3347: 0.0014960973373082745
Position 4846: 0.0009162407354065811
Position 1920: 0.0005999655650674018
Position 2103: 0.0005933639481839226
Position 4469: 0.0004851797161212402
Position 3955: 0.00046470925843341963
Position 3835: 0.00033504348995748836
Position 3409: 0.0002999001114223289
Position 1052: 0.00019183703369504422
Position 3558: 9.96647121182447e-05
Position 1481: 7.129538936748713e-05
Position 2925: 5.912069312450456e-05
Position 925: 5.217639439191691e-05
Position 418: 4.815998116425861e-05
Position 3465: 2.868601876278808e-05
Position 700: 2.859704256618634e-05
Position 1028: 2.162713719954103e-05
Position 1749: 8.484176083423479e-06
Position 922: 7.936270939331978e-06
Position 1735: 7.318013340018938e-06
Position 1664: 7.047221617478553e-06
Position 1543: 6.233568060200163e-06
Position 1463: 4.197615493393946e-06
Position 1215: 1.0297671401828309e-06
Position 1151: 6.994328289016164e-07
Position 1754: 6.484303884765618e-07
Position 747: 4.947153554468675e-07
Position 750: 3.9776730561026375e-07
Position 1033: 3.0499820884560124e-08
