Gene = Nicn1
index = 748
Annotated 5SS: [ 234 3084 3616 4089 4565]
Annotated 3SS: [2906 3501 4016 4459 4638]
SMsplice 5SS: [ 234  565 3616 4089 4565]
SMsplice 3SS: [ 426 3440 3961 4459 4638]
top_k =  100
Partition function (log Z): -0.6393978425630309

Sorted 5' Splice Sites (High to Low Probability):
Position 4089: 1.0000000000000018
Position 234: 0.995447783025517
Position 4565: 0.7920881124508523
Position 565: 0.6648024012438828
Position 2993: 0.24523480036988904
Position 3084: 0.19848065129245773
Position 2997: 0.16978064670496115
Position 570: 0.15554820303352954
Position 3620: 0.021111546432236176
Position 483: 0.01857835047121063
Position 2781: 0.015144242166294754
Position 3204: 0.011297962006596806
Position 844: 0.005994594300794449
Position 829: 0.003621027514116244
Position 178: 0.0027353718952143357
Position 64: 0.0009423084915748511
Position 71: 0.0007105466988096227
Position 296: 8.149729000464242e-05
Position 285: 4.717827683653056e-05
Position 109: 3.349008325188141e-05
Position 538: 1.5029911556375287e-05
Position 601: 8.557091579754576e-06
Position 50: 3.7529721655491335e-07
Position 153: 3.326593603447846e-07
Position 195: 3.2755433047515677e-07
Position 198: 2.8434348610891955e-07
Position 87: 2.598921270998062e-07
Position 141: 1.2383648449042917e-07
Position 84: 1.2065578694373405e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 4638: 0.6914571342695369
Position 3961: 0.6838640745156437
Position 2906: 0.6051095221274718
Position 426: 0.5871422005297082
Position 4459: 0.5538621049942166
Position 4016: 0.31613592548435815
Position 439: 0.15156431881126742
Position 4724: 0.12000415972575586
Position 4384: 0.11972464487852273
Position 5541: 0.04006139081170651
Position 477: 0.03993549256803937
Position 5707: 0.03341928100242794
Position 4456: 0.03272813078214226
Position 4893: 0.026063800412109133
Position 446: 0.02566072975884833
Position 4501: 0.02449283445779472
Position 510: 0.017712341494880577
Position 5497: 0.01713973442107012
Position 397: 0.01601018011744112
Position 5692: 0.016003736890991504
Position 2912: 0.015066058657683694
Position 4498: 0.014239149182762327
Position 3440: 0.013335637304520004
Position 5006: 0.01244945521281399
Position 4333: 0.012150260609822914
Position 5881: 0.011581504304482243
Position 4479: 0.009704238976852252
Position 4427: 0.00810676632470574
Position 4394: 0.008022891924186574
Position 4469: 0.0077099527206136425
Position 2594: 0.006185795110530572
Position 4492: 0.005646672597739421
Position 3521: 0.0055898558511802265
Position 5347: 0.005218177726772388
Position 768: 0.005130518261208954
Position 5564: 0.004989116408825967
Position 3083: 0.004618479588749054
Position 4684: 0.004361487833976186
Position 4913: 0.0038620291834283275
Position 2658: 0.0036744620701736645
Position 646: 0.003450469862691492
Position 2709: 0.0031390780505996772
Position 4307: 0.0023608138511561124
Position 3501: 0.0021860532765359485
Position 2714: 0.002144906934990844
Position 4517: 0.0017350523160266451
Position 4352: 0.001698683022409012
Position 4247: 0.0016683707372910838
Position 4227: 0.0016265368707132073
Position 675: 0.0010346336910102417
Position 304: 0.0009057227678046934
Position 384: 8.387375130791742e-06
Position 402: 3.5329863487052235e-06
Position 404: 2.6306842115271646e-06
Position 316: 2.454223145004247e-06
Position 483: 2.2783235494715327e-06
Position 549: 1.1641052650239744e-06
Position 358: 1.108006118642465e-06
