Gene = Arcn1
index = 133
Annotated 5SS: [  176  7884  8965  9285 10726 15736 16630 17521 22428]
Annotated 3SS: [ 7619  8784  9078 10560 15569 16481 17411 22222 23828]
SMsplice 5SS: [  176  7884  8965  9285 10726 15736 16630 17521 22452]
SMsplice 3SS: [ 7619  8784  9078 10560 15569 16481 17411 22222 23828]
top_k =  100
Partition function (log Z): -3.4789847052313267

Sorted 5' Splice Sites (High to Low Probability):
Position 17521: 0.9999999999999986
Position 10726: 0.9789090599866032
Position 9285: 0.968506687427244
Position 176: 0.9376447741699376
Position 7884: 0.9115754943363134
Position 15736: 0.7599219088524184
Position 16630: 0.7544269090296176
Position 22452: 0.4254268264326342
Position 22428: 0.4163053942631341
Position 14542: 0.3833653634640912
Position 3495: 0.37726504432723845
Position 15425: 0.37252717648004546
Position 10927: 0.32786708060747066
Position 8965: 0.2465269913086917
Position 11901: 0.16400452143712402
Position 611: 0.08764576853443543
Position 18952: 0.08744442917024725
Position 1550: 0.06829338318506097
Position 19007: 0.06266228741537717
Position 4625: 0.054594678636167855
Position 7776: 0.03476155745345616
Position 12629: 0.03274813358234308
Position 4386: 0.03039584997493151
Position 22805: 0.02533352045565952
Position 1916: 0.023063160674930604
Position 7815: 0.021263216553194554
Position 23080: 0.016226143839768795
Position 14505: 0.011506545445899113
Position 22249: 0.009645133770833945
Position 11543: 0.004247472556023733
Position 20287: 0.0030721427672439254
Position 79: 0.002821269210781021
Position 10644: 0.0011733377872322776
Position 974: 0.0010944287021547967
Position 769: 0.000801469890582858
Position 546: 0.0005529901857101794
Position 856: 0.00042119943324359706
Position 22311: 0.00027246645501710805
Position 394: 3.332592548810276e-05
Position 122: 8.708641051256487e-06
Position 7: 7.128445727543806e-06
Position 285: 6.505158448934335e-06
Position 205: 3.7235828250230203e-06
Position 192: 2.7118502218703085e-06
Position 65: 2.5253054236410257e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 17411: 0.9999999999999989
Position 9078: 0.9685066874272442
Position 7619: 0.9676002683429645
Position 10560: 0.9234557806929871
Position 22222: 0.8755193063384928
Position 23828: 0.7844895093345947
Position 16481: 0.7544269090296177
Position 15569: 0.6158512129059226
Position 15315: 0.5165978724265411
Position 14444: 0.39487190890999063
Position 3428: 0.2744370761222147
Position 8589: 0.2465269913086917
Position 10812: 0.23017188933764807
Position 11761: 0.1587843847480187
Position 22745: 0.1406831991818236
Position 3373: 0.10282796820502371
Position 10816: 0.0975410681572198
Position 18858: 0.09035985073717875
Position 10568: 0.05662661708084868
Position 4437: 0.054594678636167876
Position 1342: 0.05051928512229475
Position 18811: 0.05033903253410088
Position 25052: 0.0454612615693024
Position 4265: 0.030395849974931513
Position 12490: 0.027198658546418963
Position 393: 0.026999126029837124
Position 24330: 0.021159719181587978
Position 1763: 0.015378206349312156
Position 18936: 0.00940783331434477
Position 25122: 0.008741313709428537
Position 1819: 0.007684954325618457
Position 1273: 0.007305114115678887
Position 22700: 0.006876953094422713
Position 12338: 0.005549475035924118
Position 11836: 0.005220136689105256
Position 1383: 0.005150011321537343
Position 20775: 0.004854774399778772
Position 24041: 0.004190925562449802
Position 519: 0.004047403006194634
Position 20204: 0.0038429958890112965
Position 11431: 0.002880254890022102
Position 1323: 0.0026609237746502506
Position 1463: 0.0026580488508997206
Position 11472: 0.0013672176660016293
Position 20006: 0.0004616697233983303
Position 10861: 0.0001541231126026829
