Gene = Gatad1
index = 422
Annotated 5SS: [186]
Annotated 3SS: [7508]
SMsplice 5SS: [ 186 7589]
SMsplice 3SS: [7508 7741]
top_k =  100
Partition function (log Z): -12.96324568574975

Sorted 5' Splice Sites (High to Low Probability):
Position 186: 0.99495502028592
Position 7589: 0.28720260579361384
Position 7955: 0.17029207930012402
Position 7653: 0.09515716438574336
Position 1491: 0.034265060889035935
Position 903: 0.009075941237337761
Position 398: 0.0030745719862964017
Position 1331: 0.0024624541871182313
Position 239: 0.00019401832828845272
Position 38: 0.00014998298621661272
Position 352: 5.666493540503828e-05
Position 962: 4.729331788880134e-05
Position 969: 4.36041152938592e-05
Position 132: 2.508480677887115e-05
Position 411: 1.776323647491067e-05
Position 407: 1.6249202048752844e-05
Position 146: 1.330762301492258e-05
Position 532: 1.2051173938637125e-05
Position 346: 4.3798831160759555e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 7508: 0.5071974010009332
Position 7741: 0.41762283387961724
Position 8056: 0.25474889292220804
Position 2093: 0.05651033142125233
Position 1451: 0.030619412278467758
Position 5842: 0.029035418594554524
Position 397: 0.026461953833449615
Position 1576: 0.023928579665364328
Position 2456: 0.023046042034820316
Position 798: 0.022288146977234826
Position 1385: 0.021489672275908606
Position 1821: 0.019020608183914774
Position 1940: 0.01864058634329452
Position 3394: 0.01665032031090305
Position 839: 0.0165380482032599
Position 2473: 0.01521045974571002
Position 5619: 0.012575160413339719
Position 1632: 0.009592556602181744
Position 2551: 0.009081057008948892
Position 1365: 0.007602840768851275
Position 5218: 0.0074577789935586485
Position 4838: 0.006683293429590559
Position 5459: 0.006668244839772192
Position 1957: 0.006498516489079043
Position 2131: 0.004359074472116633
Position 2006: 0.00384501619417658
Position 1127: 0.0037523110142655878
Position 2114: 0.0027725043091901685
Position 585: 0.002464437997403055
Position 2504: 0.0023425300116888875
Position 2783: 0.0023282126584367557
Position 2565: 0.00219897280321416
Position 2255: 0.0015315333224553368
Position 2031: 0.0014881630635891795
Position 1610: 0.0011381200724965431
Position 888: 0.0009239987088014169
Position 1007: 0.0008961435392288563
Position 1087: 0.0006467028921605785
Position 410: 0.0005412141001258075
Position 314: 0.0003942221767491166
Position 1165: 0.0001346189631314274
Position 1133: 6.669775050181194e-05
Position 1189: 4.740880357618199e-05
Position 1108: 2.525860413171214e-05
