Gene = Ube2cbp
index = 1157
Annotated 5SS: [  210 13137 16188 24365 29667 37583 39689 42110 92610]
Annotated 3SS: [ 12939  16096  24195  29596  37512  39579  41945  92470 157073]
SMsplice 5SS: [   210   1445  13137  16188  17252  17405  19380  24365  24537  29667
  39689  42110  50440  73003  92610 129514 144662 150719]
SMsplice 3SS: [  1368  12939  16096  17101  17322  19257  24195  24453  29596  39579
  41945  50296  72944  92470 129429 144570 150629 157073]
top_k =  100
Partition function (log Z): -93.4698726176121

Sorted 5' Splice Sites (High to Low Probability):
Position 210: 0.9123950158742945
Position 1445: 0.8383118374065747
Position 1452: 0.14235594884369948
Position 6547: 0.10587250470223816
Position 2083: 0.041739942732119124
Position 228: 0.03857936110313859
Position 2821: 0.022105326107439923
Position 191: 0.015253450202258129
Position 2077: 0.012774450459465729
Position 481: 0.0076015468115378255
Position 4346: 0.005007971777739961
Position 3222: 0.0033532563035365507
Position 365: 0.0028822093918190275
Position 172: 0.002814235722493689
Position 359: 0.0027648752324659076
Position 114: 0.0026591476201761797
Position 274: 0.002584178296332055
Position 345: 0.002515286567446343
Position 2839: 0.0019367667315706102
Position 92: 0.0015787773917228525
Position 86: 0.0014106446095467488
Position 505: 0.0013273450882191255
Position 282: 0.0010375435160560097
Position 80: 0.0010214117100394082
Position 883: 0.0009895694223833935
Position 521: 0.0006647317025640673
Position 107: 0.0006552014639543693
Position 67: 0.0006349498834829671
Position 1265: 0.0006305183901138514
Position 1532: 0.0002078740796766268
Position 1476: 1.0308786760402656e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 1368: 0.9670594822785622
Position 6425: 0.22585566879087893
Position 6787: 0.20207466732457502
Position 3287: 0.12854120367152994
Position 4465: 0.11836142620104935
Position 7522: 0.07294864780547415
Position 1866: 0.06467865117064163
Position 4980: 0.049515094131104644
Position 7854: 0.03329130671387078
Position 2726: 0.03310008410834802
Position 7366: 0.029373841494248012
Position 3800: 0.02622298844548388
Position 3336: 0.0229919844056202
Position 5374: 0.020890365319602307
Position 1904: 0.018865658976769666
Position 4098: 0.014058351194039913
Position 2019: 0.01244479303516009
Position 4212: 0.011998389580777938
Position 1371: 0.011817591894658662
Position 1718: 0.011765541299749103
Position 3070: 0.010528059118812053
Position 6476: 0.009652136592669018
Position 5863: 0.009066249809819743
Position 5068: 0.008346655782919645
Position 2265: 0.006975559765931237
Position 5179: 0.005630575935560765
Position 4542: 0.004983442875097917
Position 4791: 0.004914822843253647
Position 2218: 0.004664125106539328
Position 1690: 0.004637439058228652
Position 3089: 0.004359426228112514
Position 4118: 0.003895502574993433
Position 3221: 0.0038923994068071144
Position 3462: 0.002536587319880694
Position 1312: 0.0020915472654624108
Position 3361: 0.001732368267126532
Position 1621: 0.001285140491363972
Position 2815: 0.00116437700139983
Position 1625: 0.0011602559005595599
Position 2368: 0.001159811341626787
Position 1389: 0.00100736590877603
Position 2111: 0.0009428533747077193
Position 1163: 0.0007721567713376133
Position 1283: 0.0007434294603422987
Position 627: 0.000625419676463534
Position 2747: 0.00040363191749182096
Position 1192: 0.00024868186835803397
Position 1294: 0.00016144343536259213
Position 1013: 0.00010143998950902944
Position 1199: 7.350350038962328e-05
Position 1403: 6.204162245353363e-05
Position 1444: 1.9998773389423338e-06
