Gene = Marc2
index = 662
Annotated 5SS: [  336  4628 12022 13306 23393 23547 26681]
Annotated 3SS: [ 4453 11852 13164 23330 23474 26533 31997]
SMsplice 5SS: [  336  4628 12022 13306 13687 23393 23547 26164 26681]
SMsplice 3SS: [ 4453 11852 13164 13624 23330 23474 25955 26533 27714]
top_k =  100
Partition function (log Z): -1.950037495817464

Sorted 5' Splice Sites (High to Low Probability):
Position 4628: 0.9999999999999998
Position 23393: 0.9999999999999996
Position 13687: 0.9999999999999992
Position 26681: 0.9999737248288584
Position 13306: 0.9856702635192793
Position 23547: 0.8494115268603549
Position 12022: 0.6414532459465727
Position 26164: 0.5213831285393371
Position 336: 0.5153593151408966
Position 11940: 0.35595645758780814
Position 26182: 0.25725586735600164
Position 9389: 0.2440537684939586
Position 223: 0.24100881549945324
Position 28573: 0.20640134932880588
Position 6908: 0.20243386796201368
Position 444: 0.16666981039900092
Position 12421: 0.15932137991426043
Position 3480: 0.15567882082819026
Position 23652: 0.15058847313964435
Position 2264: 0.07088351528501832
Position 241: 0.05713011206481112
Position 26190: 0.05534146159837973
Position 26171: 0.05377538114578377
Position 1024: 0.031968087171723523
Position 1916: 0.028700563555952126
Position 3129: 0.023904709299542536
Position 531: 0.020687880648277954
Position 4053: 0.015343938405583778
Position 1044: 0.014920773873198595
Position 26907: 0.013950325397451004
Position 3744: 0.012066987746877048
Position 3451: 0.011826117317383695
Position 387: 0.011194890005630377
Position 2283: 0.009665865983470724
Position 1411: 0.008537361254816191
Position 280: 0.005759058602435153
Position 1961: 0.003934185970547395
Position 325: 0.0031489772883266
Position 1109: 0.002671187993663745
Position 27976: 0.0018994399843335992
Position 27866: 0.0017235102967469642
Position 27092: 0.0016868598628271587
Position 232: 2.814641658648237e-05
Position 261: 1.7112205275642084e-05
Position 194: 2.496252575648869e-06
Position 284: 1.1247793011514529e-06
Position 276: 7.377036505127198e-07
Position 175: 2.251349062651949e-07
Position 136: 1.997490107632798e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 23474: 0.9999999999999996
Position 23330: 0.9999999999999993
Position 4453: 0.9999999999999992
Position 11852: 0.997409703534381
Position 26533: 0.9946540352701262
Position 13164: 0.9146392602002222
Position 13624: 0.827498523819576
Position 25955: 0.5506198474720394
Position 26080: 0.33713599116746246
Position 27714: 0.2840800503570657
Position 28336: 0.2471720985408551
Position 9242: 0.2440537684939586
Position 3331: 0.167504938145574
Position 12090: 0.15932137991426043
Position 6828: 0.15639345090318404
Position 13560: 0.10520234310754079
Position 31997: 0.08914513952116795
Position 2136: 0.07293812525868104
Position 13207: 0.07103100331905726
Position 29138: 0.06597120737456302
Position 27689: 0.056684283912032764
Position 26829: 0.05520413040490313
Position 13476: 0.04626443699697847
Position 6857: 0.04604041705882964
Position 32568: 0.0407221385086656
Position 32572: 0.0354527304691863
Position 31516: 0.03426779160763913
Position 939: 0.03418391306222865
Position 29793: 0.028700655914605553
Position 28458: 0.027595595032284908
Position 3022: 0.023904709299542557
Position 1788: 0.02312798260633695
Position 30786: 0.022234204563265223
Position 30751: 0.02117085437164215
Position 13504: 0.021034696075904104
Position 28773: 0.0202274631344263
Position 31221: 0.019549948935998818
Position 30821: 0.017610626754019074
Position 31026: 0.015823219394983018
Position 29931: 0.015580051205322578
Position 3855: 0.015343938405583771
Position 29218: 0.013915717672197368
Position 3690: 0.012066987746877044
Position 415: 0.011676091007837168
Position 30476: 0.011631020707340428
Position 28477: 0.011462687998870551
Position 924: 0.011150716997323529
Position 30251: 0.010222470836663285
Position 31291: 0.009729936306174927
Position 31131: 0.00963965937506324
Position 28704: 0.009472100900496617
Position 335: 0.009332810882300839
Position 1347: 0.008537361254816182
Position 2110: 0.007611256009808
Position 31061: 0.007246016485018868
Position 30701: 0.005823429835555839
Position 1809: 0.005607386395281647
Position 26414: 0.005319689558732172
Position 30511: 0.005265222594662091
Position 28494: 0.00483851772457956
Position 30201: 0.00442973061356146
Position 27896: 0.004395759862543607
Position 27014: 0.004358548279548049
Position 28525: 0.004273379888473612
Position 758: 0.004225418979033646
Position 1840: 0.0038993805248809196
Position 28029: 0.002761596414208306
Position 28163: 0.0022516013872716863
Position 27604: 0.0020049098263802234
Position 27555: 0.0018632238305600337
Position 26837: 0.001613141468695312
Position 27181: 0.0012706228596727157
