Gene = Psenen
index = 865
Annotated 5SS: [190 446 918]
Annotated 3SS: [ 302  812 1106]
SMsplice 5SS: [190 446 918]
SMsplice 3SS: [ 353  812 1106]
top_k =  100
Partition function (log Z): -1.3657339807336142

Sorted 5' Splice Sites (High to Low Probability):
Position 190: 0.973157020647195
Position 446: 0.9468194276876272
Position 918: 0.5375826943428331
Position 474: 0.025295225969411913
Position 260: 0.019982584859578937
Position 465: 0.009890623097166927
Position 960: 0.008058529873925538
Position 1044: 0.005385242114513587
Position 209: 0.0032331136478619855
Position 400: 0.0012822656617690166
Position 435: 0.0010834814097502358
Position 754: 0.0007969253400474564
Position 70: 0.0006661217262552908
Position 455: 0.0006374829163614002
Position 967: 0.0003621357924908662
Position 841: 0.0003324614361620046
Position 194: 0.0003076980100181378
Position 1142: 0.0002695546674489965
Position 922: 0.00025679728066077496
Position 65: 0.00021779035437004607
Position 53: 0.00017013657295581873
Position 975: 0.00015218693235395295
Position 721: 8.82453045017703e-05
Position 714: 8.661247733476663e-05
Position 601: 7.089263815574787e-05
Position 271: 4.5883062194883495e-05
Position 744: 4.368438869284649e-05
Position 46: 2.831528938848102e-05
Position 201: 1.3496018994777147e-05
Position 239: 7.749271959361752e-06
Position 296: 2.060570937753212e-06
Position 252: 2.037519605225297e-06
Position 5: 1.920059684434422e-06
Position 26: 1.5239244507345075e-06
Position 15: 1.3100315519773074e-06
Position 24: 1.1714539443635441e-06
Position 204: 9.089132133864149e-07
Position 417: 1.7475148813818737e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 353: 0.9158707307850916
Position 1106: 0.7157699504122462
Position 812: 0.6432861521129366
Position 1282: 0.07966759193212924
Position 361: 0.040296368305400315
Position 845: 0.037026602125397906
Position 302: 0.03095948794270427
Position 867: 0.024175714650689167
Position 1177: 0.015952370556072997
Position 1304: 0.012721242507826304
Position 1121: 0.008005891503890798
Position 1053: 0.0029849635536076404
Position 615: 0.002032328297675358
Position 701: 0.0019306864016056693
Position 1361: 0.0010893943379999852
Position 1289: 0.0009973049298463645
Position 1316: 0.0008423867568508703
Position 274: 0.0006454810961626343
Position 555: 0.0004542031316324625
Position 377: 0.00041074596699049615
Position 628: 0.00040100137766437065
Position 887: 0.00023767693480378517
Position 1068: 0.00018754699450772178
Position 1063: 0.00015147275604333044
Position 792: 0.00014898572777828384
Position 871: 5.6009118347586985e-05
Position 259: 2.6809912480222248e-05
Position 632: 3.3174993107599108e-06
Position 562: 2.662114602856424e-06
Position 869: 2.0227209198213932e-07
Position 396: 4.059965260877827e-08
Position 417: 5.591760283897799e-09
Position 435: 3.129205926956198e-10
Position 219: 2.2179512760970013e-10
