Gene = Gfy
index = 433
Annotated 5SS: [  81  787 2046 2478]
Annotated 3SS: [ 641  879 2303 2937]
SMsplice 5SS: [  81  787 2046 2478]
SMsplice 3SS: [ 641 1922 2303 2937]
top_k =  100
Partition function (log Z): -0.3193512131524492

Sorted 5' Splice Sites (High to Low Probability):
Position 787: 0.9982687740036312
Position 81: 0.9959860329373009
Position 2478: 0.8720070861972683
Position 2046: 0.8557219997558271
Position 2567: 0.056540681003527195
Position 545: 0.050841114740063545
Position 1603: 0.02770242404163052
Position 498: 0.014118737200046692
Position 326: 0.0019540885084421444
Position 1967: 0.0015900591403213253
Position 2996: 0.0011583648559609922
Position 346: 0.0007952571923820506
Position 223: 0.0007944546322842561
Position 190: 0.00035259691622457174
Position 373: 0.0003103715712314975
Position 178: 0.00029397842984271776
Position 443: 0.00020025068876114706
Position 617: 0.00010526842912231817
Position 585: 9.805083555162685e-05
Position 299: 9.708731722276166e-05
Position 515: 9.341147275347012e-05
Position 314: 8.118160355910997e-05
Position 462: 7.916877106463911e-05
Position 296: 6.856034925963133e-05
Position 691: 2.003176144504317e-05
Position 791: 1.865838413848242e-05
Position 158: 4.469931258776922e-06
Position 188: 4.355314560678449e-06
Position 111: 7.95978810610335e-08
Position 145: 3.909449672542279e-08
Position 57: 1.3880293938107597e-08
Position 36: 1.120005637679421e-08
Position 201: 1.5877529893686607e-09
Position 60: 6.5248702627965e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 641: 0.9806927294733478
Position 2937: 0.7580127612921421
Position 2303: 0.4689296267505302
Position 2372: 0.44686256817736597
Position 1922: 0.3518749328580729
Position 1966: 0.29027135816024957
Position 1847: 0.11587936163777565
Position 2960: 0.0840492849091927
Position 1984: 0.06043818010342234
Position 3083: 0.038873749940804864
Position 349: 0.030347947299232528
Position 2427: 0.02508644820775601
Position 2790: 0.025035169771912932
Position 497: 0.02434771645362921
Position 3023: 0.02051328304712726
Position 2604: 0.0185665705409306
Position 1506: 0.012794291302772053
Position 1934: 0.01128536272073148
Position 2566: 0.010639211635927447
Position 222: 0.009554893386328832
Position 1856: 0.00924682687433101
Position 1926: 0.008956128862136191
Position 721: 0.008751326266055936
Position 1752: 0.0070092481443875514
Position 1367: 0.005705451252197884
Position 2420: 0.005614467154988286
Position 1328: 0.00528368940178946
Position 2433: 0.004617956347502502
Position 433: 0.004516253659282812
Position 1520: 0.004426073391012707
Position 3056: 0.003934865138806688
Position 2909: 0.003824935726165976
Position 2319: 0.0024121137056602304
Position 879: 0.0024069801324391638
Position 2795: 0.0021456822487521325
Position 584: 0.0019014560655289908
Position 616: 0.0016614897338386669
Position 2261: 0.0015862210242013062
Position 1719: 0.001582167181539282
Position 1674: 0.0013911765768210651
Position 1437: 0.001146831387972834
Position 1738: 0.0011022898339627047
Position 2257: 0.0008515351904583633
Position 675: 0.0008303927886170911
Position 260: 0.0006971112658763244
Position 752: 0.0006748312640680894
Position 1187: 0.0006049791397538814
Position 1003: 0.0005228924336360613
Position 391: 0.00043773729497277727
Position 462: 0.0002714733710421191
Position 2463: 0.0002524264503430041
Position 397: 0.0002378383079987797
Position 373: 0.0001658650988791811
Position 474: 0.00015696674482983849
Position 2546: 0.00011072468949916713
Position 2163: 0.00010215144514794454
Position 185: 6.0101465736263045e-05
Position 145: 4.87104975554371e-05
Position 686: 1.7967938939812988e-06
Position 765: 4.9976717079478555e-08
