Gene = Dcps
index = 324
Annotated 5SS: [  291  4985 39718 46601 49755]
Annotated 3SS: [ 4809 39571 46486 49643 51216]
SMsplice 5SS: [  291  4985 14289 37372 37698 39718 40948 44931 46601 49755]
SMsplice 3SS: [ 4809 14195 37207 37571 39571 40853 44801 46486 49643 51216]
top_k =  100
Partition function (log Z): -30.57664636660096

Sorted 5' Splice Sites (High to Low Probability):
Position 4985: 0.7808089114580694
Position 1885: 0.6987131894291354
Position 291: 0.5449715647824456
Position 14289: 0.4941125202474471
Position 72: 0.42191933785805436
Position 4879: 0.2150177715751192
Position 6833: 0.08312157984185495
Position 1811: 0.08274604774848741
Position 10155: 0.0417506795509479
Position 397: 0.03465229744777729
Position 4138: 0.026338333593046645
Position 1863: 0.015325167972520468
Position 1785: 0.010521306894922682
Position 1771: 0.008175772859761206
Position 564: 0.002624548432378795
Position 640: 0.0025236825317662523
Position 234: 0.0007587524796741283
Position 1749: 0.0006007004512295507
Position 243: 4.6253276850620695e-05
Position 22: 3.3568980178903044e-05
Position 77: 1.7474140856841994e-05
Position 207: 1.063827807301561e-05
Position 424: 5.332323816575199e-06
Position 383: 3.972540901304305e-06
Position 402: 3.08152590545169e-06
Position 218: 2.9526926637163174e-06
Position 356: 2.5409102566525068e-06
Position 254: 1.338311832910559e-06
Position 341: 1.0346590487900064e-06
Position 44: 9.642238144318913e-07
Position 183: 6.034562098257862e-07
Position 3: 2.1386867049232942e-07
Position 404: 1.5882384914940743e-07
Position 378: 1.5428047043677697e-07
Position 62: 1.4983059778526752e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 4809: 0.9996747934430666
Position 14195: 0.8537444679316325
Position 1683: 0.6491202143076121
Position 18287: 0.3844128585888145
Position 1723: 0.123845524713843
Position 15882: 0.10969966165863061
Position 10137: 0.04913451351372503
Position 9848: 0.046438270321588926
Position 6673: 0.04518191396247145
Position 6787: 0.03409172964110668
Position 6935: 0.028880125931463146
Position 4078: 0.026338333593046603
Position 1841: 0.01787372521211964
Position 6700: 0.01721671909795814
Position 7276: 0.014535261873947653
Position 1688: 0.013590332632665226
Position 1726: 0.009782258914916525
Position 11436: 0.009313864334857123
Position 6938: 0.005882684163941627
Position 498: 0.005314413287304406
Position 232: 0.00430251426684591
Position 6975: 0.004181941324691115
Position 5394: 0.0035931283753018834
Position 6308: 0.002589537790684685
Position 7224: 0.0024568762288258443
Position 5830: 0.0017734214414240415
Position 6258: 0.0005366775250470025
Position 5081: 0.000491043863756943
Position 4973: 0.000311047814726455
Position 5236: 0.00024063999559821976
Position 4741: 0.00015774999524885227
Position 4949: 0.00010507729324395386
Position 4634: 1.274238526954962e-06
