Gene = Ppcdc
index = 843
Annotated 5SS: [  46 2699 5213]
Annotated 3SS: [ 2632  5029 41269]
SMsplice 5SS: [   46  2118  2699  5213 19953 25030]
SMsplice 3SS: [ 1964  2632  5029 19823 24860 36605]
top_k =  100
Partition function (log Z): -22.35428018743692

Sorted 5' Splice Sites (High to Low Probability):
Position 2699: 0.9729166312794109
Position 5213: 0.9626485128036506
Position 46: 0.672646284226134
Position 3958: 0.4438587550301519
Position 2118: 0.44021636952568205
Position 5797: 0.381848411922858
Position 6515: 0.250742516008621
Position 4853: 0.21606708417176562
Position 443: 0.1764290524025781
Position 2997: 0.16109257481854175
Position 1342: 0.13952306124259786
Position 1002: 0.1320002185683409
Position 2123: 0.12845592599969696
Position 7118: 0.11824494667377916
Position 4010: 0.0880266583334932
Position 298: 0.07209250189919152
Position 2096: 0.0666561910632727
Position 92: 0.062368063508544895
Position 4234: 0.040319230974109645
Position 4117: 0.0246886388006073
Position 5186: 0.017663574699260637
Position 4800: 0.016001504769043794
Position 4199: 0.011177620233773668
Position 3907: 0.00958100216042053
Position 6527: 0.00806009025399502
Position 100: 0.00790142003580557
Position 5337: 0.006855033421949683
Position 4347: 0.004327324998629111
Position 4270: 0.00409103042890862
Position 4005: 0.004041858761517999
Position 2683: 0.00399937346727407
Position 32: 0.0038246463164322603
Position 951: 0.0021836303694912945
Position 128: 0.0012872671109871836
Position 140: 0.0012603482033433908
Position 5826: 0.0012495107213212633
Position 124: 0.0007548242411407237
Position 79: 0.0005971110827963542
Position 912: 0.0005799246156133965
Position 118: 0.0005469785528304077
Position 174: 0.00046253999577145703
Position 148: 6.922901439648841e-05
Position 75: 2.3859529067320444e-05
Position 134: 1.6696655541676583e-05
Position 82: 1.5257006537283447e-05
Position 162: 3.207380850094043e-07
Position 153: 9.908322396195618e-08
Position 146: 8.794054249651201e-08
Position 155: 4.259250890519068e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 5029: 0.9941054301856709
Position 2632: 0.8701464827051414
Position 1964: 0.6287348828894105
Position 3768: 0.5126310832188248
Position 10072: 0.4101435472735616
Position 5715: 0.4066848055139458
Position 9262: 0.3460200984865901
Position 6300: 0.27855771366032694
Position 4731: 0.21277294827150042
Position 6882: 0.18171606855060723
Position 2918: 0.16069034832667606
Position 1194: 0.13655568878504712
Position 2485: 0.1067695220415431
Position 4046: 0.08679966605243754
Position 752: 0.06996182678350388
Position 6386: 0.06567616494596855
Position 755: 0.03763429568418206
Position 11405: 0.03358485261997537
Position 6283: 0.027290269978922872
Position 3952: 0.026704236115786206
Position 4714: 0.019295640669308445
Position 246: 0.011447505544308642
Position 1785: 0.006593603699240648
Position 3957: 0.006172954950972038
Position 942: 0.005007043730948631
Position 804: 0.003863160257439992
Position 226: 0.003793318850503408
Position 1251: 0.0029673724575507393
Position 911: 0.0026811544862939225
Position 5551: 0.0007007522639282865
Position 5635: 0.0006370724095302229
Position 2822: 0.0004022264918657456
Position 159: 0.00022146556941661229
Position 806: 0.00011868539660351056
Position 377: 0.00011246159258083483
Position 139: 6.875875147485101e-05
Position 314: 5.7808372127318875e-05
Position 291: 5.4823569066107476e-05
Position 173: 3.8095100457949285e-05
