Gene = AA986860
index = 81
Annotated 5SS: [ 248 5712 9208]
Annotated 3SS: [ 5525  9026 10352]
SMsplice 5SS: [ 248 9208]
SMsplice 3SS: [ 9026 10352]
top_k =  100
Partition function (log Z): -11.172706979424886

Sorted 5' Splice Sites (High to Low Probability):
Position 248: 0.9847379848135135
Position 1677: 0.3666514283260789
Position 2470: 0.31251629636435996
Position 5712: 0.1626535419831152
Position 1394: 0.08359603842290644
Position 2891: 0.0708054796828389
Position 3243: 0.024292855791281393
Position 822: 0.01689729886427608
Position 809: 0.011464259298985787
Position 1706: 0.0062906273429521285
Position 1224: 0.00618432971744314
Position 120: 0.005960756121420972
Position 1485: 0.004894360968396034
Position 1469: 0.0014081620801148225
Position 2285: 0.0013081682051564623
Position 39: 0.00013550300521182024
Position 345: 0.00010006459743849152
Position 813: 1.9527210964407755e-05
Position 8: 1.6796871583128458e-05
Position 80: 1.0476991797979462e-05
Position 68: 1.0353053970332393e-05
Position 531: 9.314040535733628e-06
Position 99: 7.038723067993222e-06
Position 152: 6.560876632932255e-06
Position 135: 1.919899461994304e-06
Position 72: 2.0647722391871522e-07
Position 124: 9.284082108893979e-08
Position 82: 8.240227001087719e-08
Position 84: 3.1616412457013314e-08
Position 114: 9.645668459230841e-09
Position 252: 1.2675439834603508e-09
Position 180: 8.33931681997612e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1545: 0.38151726107757
Position 5525: 0.37824827773772063
Position 2148: 0.34028070445136405
Position 10352: 0.31949985100194883
Position 5603: 0.163263209284552
Position 2595: 0.10372204440503334
Position 1292: 0.10085682191901012
Position 3136: 0.061732771381760504
Position 3719: 0.04226678242261602
Position 3333: 0.040491534793524006
Position 2772: 0.0315805218614205
Position 5836: 0.025111594944550588
Position 3436: 0.01426740944596828
Position 700: 0.013010136295506456
Position 2081: 0.009052567984616663
Position 3110: 0.007660475134284929
Position 723: 0.005556696694035466
Position 937: 0.004568792011917274
Position 1826: 0.004523256157531662
Position 1122: 0.002093201129110291
Position 2432: 0.001871274183043799
Position 2164: 0.0013856871173221527
Position 413: 0.0013799532258567206
Position 1758: 0.0010729891882442525
Position 1436: 0.0010688748055042488
Position 1223: 0.000762077394000871
Position 550: 0.0007126184498477817
Position 1386: 0.00037866913758113994
Position 1589: 0.000364800663878719
Position 1592: 0.0002907521154408932
Position 1312: 0.00028722199058528453
Position 1074: 0.0002585707211445306
Position 230: 0.0002467721148974239
Position 509: 0.00017232044873910117
Position 119: 0.00014934558605101092
Position 1141: 0.00012727626625506396
Position 205: 0.00011819549100979665
Position 1601: 7.237527182830607e-06
Position 1512: 6.870437826228969e-06
Position 1625: 6.226215642524802e-06
Position 962: 2.1498989169745396e-06
Position 893: 1.3720071226531125e-06
Position 560: 1.3673514598450865e-06
Position 984: 1.231351102604774e-06
Position 566: 1.2221131428138703e-06
Position 208: 5.824015334273263e-07
