Gene = E030018B13Rik
index = 352
Annotated 5SS: [ 239 2572]
Annotated 3SS: [2382 3095]
SMsplice 5SS: [239]
SMsplice 3SS: [2264]
top_k =  100
Partition function (log Z): -8.643895142273776

Sorted 5' Splice Sites (High to Low Probability):
Position 239: 0.9005852372567451
Position 500: 0.5902907285307704
Position 1714: 0.5510007760701352
Position 1260: 0.1873251339410656
Position 1868: 0.010336903970316995
Position 316: 0.010163195681215893
Position 504: 0.007905544089911424
Position 243: 0.005670810377847505
Position 84: 0.0029891101796674494
Position 285: 0.0026020186317591643
Position 158: 0.00041015431164383815
Position 342: 0.00027629258557140596
Position 108: 0.0002551208071069967
Position 190: 0.00016217416753118785
Position 147: 0.00016055364066603112
Position 354: 0.00012536892652998584
Position 263: 0.00011764391241671865
Position 248: 0.00010525878149884304
Position 369: 7.192552871955505e-05
Position 179: 4.5962262880431214e-05
Position 227: 3.8087568774685346e-05
Position 278: 2.4898707339196846e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 2264: 0.44513318106911126
Position 406: 0.4235381331769632
Position 1593: 0.1798746686506694
Position 1806: 0.1414713926641621
Position 1093: 0.11750372891878284
Position 1659: 0.10394341689897789
Position 1622: 0.09836418178065007
Position 434: 0.09764970595281383
Position 1638: 0.09298025477564484
Position 2714: 0.08959170293248692
Position 2115: 0.0882407055500243
Position 1062: 0.06754080151813689
Position 3176: 0.06328800787788275
Position 1929: 0.05752977005178388
Position 1756: 0.05435358759890079
Position 1563: 0.043157612602200246
Position 1641: 0.022010150262830278
Position 1212: 0.021020095961209757
Position 1460: 0.017905236772824105
Position 536: 0.007984086486301063
Position 1149: 0.007216687666210154
Position 373: 0.006905898160255206
Position 566: 0.004978036607108387
Position 333: 0.004287470649859082
Position 353: 0.003573602382423204
Position 1180: 0.002684074515953084
Position 994: 0.0022783629330860194
Position 1219: 0.0016545644330397211
Position 413: 0.001376524934612065
Position 379: 0.0008889354701141723
Position 363: 0.0008316770869384152
Position 474: 0.0007879019657225712
Position 313: 6.995609033346879e-05
Position 383: 4.569275151946187e-05
Position 257: 9.182602267353151e-07
Position 381: 8.851589315400282e-07
Position 315: 5.255486130776383e-07
Position 306: 4.1958253057319706e-07
Position 278: 3.442302782374861e-07
