Gene = Vcpip1
index = 1177
Annotated 5SS: [ 2933 11417]
Annotated 3SS: [11329 23031]
SMsplice 5SS: [  112 23181]
SMsplice 3SS: [23031 24978]
top_k =  100
Partition function (log Z): -21.062163624414232

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.8084856451077149
Position 9168: 0.39329064625310617
Position 571: 0.1717603372755719
Position 577: 0.11394668353000921
Position 9274: 0.051449711775227065
Position 2933: 0.037878647269548336
Position 1297: 0.0003953382519014516
Position 484: 0.00037739111078229277
Position 2855: 0.0003652279517682869
Position 171: 0.00014302353969126899
Position 55: 0.00011865934066948218

Sorted 3' Splice Sites (High to Low Probability):
Position 11329: 0.8237765384756077
Position 8983: 0.5808432543391914
Position 422: 0.055910526223109956
Position 502: 0.020466620160658977
Position 2818: 0.01832897409154208
Position 5152: 0.011672689483681335
Position 3302: 0.01136236701816541
Position 2712: 0.0076076123201793975
Position 2667: 0.0061542034457379435
Position 480: 0.006130717045642257
Position 447: 0.004505807810309657
Position 459: 0.004202199451541769
Position 2695: 0.003678529911050134
Position 465: 0.003675147365879988
Position 2920: 0.0033730327064260745
Position 6704: 0.003061646923411937
Position 1141: 0.0022211834854119978
Position 4998: 0.0020032500982571934
Position 1078: 0.0015260106568387032
Position 3927: 0.001131866038043554
Position 2227: 0.0009366356537703984
Position 3789: 0.0006684893715497475
Position 3326: 0.0006603183639858801
Position 3423: 0.000541272086594165
Position 2406: 0.0004637028751985268
Position 2514: 0.00042179821307462313
Position 3654: 0.0003733274498500443
Position 2376: 0.0003494044769922285
Position 2128: 0.00029885927928556804
Position 1511: 0.0002455623873921765
Position 1210: 0.00022959520507498908
Position 739: 0.00021900301265051383
Position 2313: 0.00021461791057235467
Position 1066: 0.00018113861792334236
Position 1807: 0.00016090466513963314
Position 1786: 0.000147939684390016
Position 1368: 0.00012326814417255744
Position 1351: 0.00012003569468608708
Position 191: 9.751103436811097e-05
Position 387: 3.8633064692578545e-05
Position 381: 2.1024056199002338e-05
Position 279: 2.0954588067374483e-05
Position 558: 2.050419710996065e-05
Position 483: 8.182141143118588e-06
Position 288: 4.791087419395542e-06
Position 234: 3.906549686504182e-06
Position 429: 3.5417365380581667e-06
Position 214: 2.7457678349112897e-06
Position 210: 1.074910427655759e-06
Position 216: 3.9212951242781457e-07
