Gene = Ambn
index = 113
Annotated 5SS: [  96  943 3414 4740 5733 7456 8499 9180 9324 9740]
Annotated 3SS: [  873  3347  4691  5621  7260  8459  9119  9278  9694 11440]
SMsplice 5SS: [  96  943 7032 7456 9180]
SMsplice 3SS: [  743  6809  7260  9119 11440]
top_k =  100
Partition function (log Z): -0.8762326860528802

Sorted 5' Splice Sites (High to Low Probability):
Position 96: 0.9780165579462042
Position 7456: 0.9676204722781114
Position 7032: 0.9589651939176255
Position 9180: 0.9421495557967867
Position 943: 0.8917620606455001
Position 4029: 0.5810296699373472
Position 9324: 0.31633206006756137
Position 4740: 0.2756508469853799
Position 8499: 0.24568819126066155
Position 9740: 0.16054523753619268
Position 846: 0.1553824537286805
Position 1054: 0.09252870678786054
Position 3414: 0.029595954975877296
Position 7870: 0.01593133188323288
Position 9230: 0.004742667473214833
Position 103: 0.0035842507783082366
Position 8520: 0.003334337211377581
Position 8607: 0.003129144788079146
Position 619: 0.0030111971748806405
Position 77: 0.0023755708003318538
Position 561: 0.002141346875022572
Position 83: 0.001621035727269043
Position 276: 0.0015819492125628614
Position 512: 0.0012646437510274787
Position 663: 0.0002780521051893517
Position 332: 6.269071862466371e-05
Position 148: 4.419845793791283e-05
Position 122: 2.7139029429691247e-05
Position 554: 2.381999697088537e-05
Position 44: 1.855262402737937e-07
Position 8: 1.3571832180448097e-07
Position 300: 3.056475433172297e-08
Position 124: 3.181781281524796e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9119: 0.9740569024197716
Position 6809: 0.9589651939176256
Position 7260: 0.5771056796458549
Position 3920: 0.5687855397664832
Position 11440: 0.5448209099370206
Position 743: 0.4723910139978903
Position 9278: 0.33029533311476095
Position 873: 0.31706024412927936
Position 10412: 0.3147143856518906
Position 919: 0.2663709872408304
Position 8459: 0.2521516732601183
Position 4691: 0.22082554501227417
Position 9694: 0.1449401473892991
Position 7305: 0.12314370267182556
Position 7215: 0.11896406751175156
Position 7272: 0.0928138548000596
Position 4575: 0.05482530197310577
Position 9651: 0.04599152904695637
Position 787: 0.03643943267912914
Position 894: 0.031931565754824365
Position 7329: 0.024583146168162505
Position 3347: 0.0215621814080904
Position 10432: 0.020511629208077805
Position 7125: 0.016566224887722518
Position 9128: 0.015819939745869843
Position 7389: 0.014435491296855278
Position 3899: 0.012244130170864061
Position 9598: 0.009888608238730227
Position 10859: 0.009886003145165403
Position 7800: 0.008811999986594638
Position 7651: 0.0071193318966382485
Position 1024: 0.004851242796028518
Position 3216: 0.004224437047685478
Position 11891: 0.0038660945295633875
Position 3104: 0.0038093365201014155
Position 9288: 0.003217179419181968
Position 11255: 0.0026591770656764833
Position 11011: 0.0019460797868149113
Position 792: 0.0016343322168051373
Position 648: 0.0010629834132593401
Position 9909: 0.0010011554687171292
Position 419: 0.0009193596968589796
Position 707: 0.0002875119450199314
Position 361: 0.0002365314826848336
Position 761: 0.00018825342969165873
Position 8842: 0.00015444670625917265
Position 310: 0.00011107410005987955
Position 511: 8.61365080433096e-05
Position 845: 8.09456715903135e-05
Position 155: 2.4910542358170924e-05
Position 195: 1.2688318857791837e-05
Position 173: 1.115770837842904e-05
Position 7106: 8.30529587986089e-06
Position 806: 5.04284241886493e-06
Position 570: 3.31060563034171e-07
Position 929: 2.80328722979969e-07
