Gene = Mnd1
index = 685
Annotated 5SS: [  125 14088 17618 21769 39360 50852 62232]
Annotated 3SS: [14021 17559 21619 39284 50736 62186 67611]
SMsplice 5SS: [  125 13931 14088 17363 17618 21769 33517 39360 45491 50852 62232 64216]
SMsplice 3SS: [13788 14021 17099 17559 21619 33422 39284 45432 50736 62186 64140 65774]
top_k =  100
Partition function (log Z): -44.827976021551585

Sorted 5' Splice Sites (High to Low Probability):
Position 125: 0.9985729049098276
Position 11958: 0.3923894233249583
Position 1269: 0.02204895583672516
Position 567: 0.01229621636635298
Position 3515: 0.0018933077315534891
Position 1151: 0.0013357585237436125
Position 206: 0.00021820801046047717
Position 307: 2.337680546601384e-05
Position 374: 1.4869384014280608e-05
Position 381: 1.1854607272260143e-05
Position 376: 1.070525767864153e-05
Position 201: 9.242248232867745e-06
Position 842: 7.909227357787097e-06
Position 79: 2.7242568217549942e-06
Position 60: 2.4700869820847286e-06
Position 181: 1.5106277117243627e-06
Position 361: 1.3069095819040872e-06
Position 391: 7.893024410070955e-07
Position 277: 6.129775873652962e-07
Position 262: 3.946255594737091e-07
Position 475: 1.686009150172294e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 11797: 0.6202530098123943
Position 12053: 0.55858775872319
Position 10182: 0.06671943863194821
Position 5862: 0.03020228335936185
Position 4386: 0.023786702161216165
Position 1150: 0.018389148665560618
Position 452: 0.017953785307575958
Position 5480: 0.010955748797996719
Position 1919: 0.009842347327228353
Position 1099: 0.008683507940788962
Position 3371: 0.008008689825986848
Position 1268: 0.00783197651247657
Position 1022: 0.006402225388082015
Position 2477: 0.004919210486541889
Position 592: 0.004510570064542158
Position 4939: 0.004291535830223278
Position 1453: 0.0042847255043723465
Position 1543: 0.003569323931099792
Position 5676: 0.003170517710807979
Position 754: 0.0029289832308214874
Position 925: 0.002535896489148839
Position 4546: 0.0017980979042900862
Position 2040: 0.0009310180334508698
Position 2069: 0.0008452925233302112
Position 2034: 0.0007734302593771349
Position 2764: 0.0007654394587778747
Position 1303: 0.0007269214434185342
Position 2409: 0.0006338835293351221
Position 3015: 0.0005801016749686129
Position 283: 0.0004490192888346138
Position 825: 0.0004290370741938592
Position 1179: 0.00037893593026637733
Position 1288: 0.00036499039326998704
Position 804: 0.0003530404312898115
Position 475: 0.0003264570892725369
Position 1891: 0.00031634460156041306
Position 1637: 0.00026727233992757674
Position 722: 0.0002354874052701275
Position 560: 0.00018055259578619097
Position 880: 0.00017999085431819666
Position 235: 0.00017740927326417153
Position 195: 0.00016432162851998358
Position 1163: 8.531847393412187e-05
Position 513: 1.9832332578587783e-05
Position 1104: 1.862806614061755e-05
Position 406: 8.593755634283037e-06
Position 275: 2.755809599377692e-06
Position 486: 2.259329992604058e-06
Position 295: 3.778338794215529e-07
Position 343: 1.3132030251508338e-07
Position 565: 1.0919153614185271e-07
Position 497: 1.0715865665980452e-07
