Gene = Taf1d
index = 1056
Annotated 5SS: [  36 1574 2668 3787 4162 5448 6589 8884 9193]
Annotated 3SS: [  624  2276  3610  4109  5278  6525  7741  9134 10640]
SMsplice 5SS: [  36  743 1574 3787 4162 5448]
SMsplice 3SS: [  624  1479  3610  4050  5278 10640]
top_k =  100
Partition function (log Z): -1.3973868709859634

Sorted 5' Splice Sites (High to Low Probability):
Position 1574: 0.9553636978616631
Position 3787: 0.9552821507089807
Position 4162: 0.9159011954078735
Position 5448: 0.8513738723969341
Position 36: 0.787329201616678
Position 743: 0.6223240199098027
Position 390: 0.4897819424893649
Position 2668: 0.22122966677260675
Position 9089: 0.15511191613602762
Position 7910: 0.09968067943168843
Position 4770: 0.061629085634088886
Position 2992: 0.05654038749561164
Position 248: 0.04851850669559646
Position 1579: 0.02930984846399691
Position 65: 0.026195376728080862
Position 379: 0.016537184965235527
Position 214: 0.014437013479796406
Position 8017: 0.011678863199825203
Position 192: 0.01102530304648606
Position 4075: 0.008332233498066423
Position 475: 0.004889778248245176
Position 1139: 0.004120605778655381
Position 384: 0.00379622210442335
Position 4956: 0.003786754302473101
Position 374: 0.00227661681910179
Position 3818: 0.0020134816148298183
Position 112: 0.0006097539048427351
Position 4155: 0.0005578642815151774
Position 344: 0.00046097450329484293
Position 396: 0.0004400629687975951
Position 135: 0.00030278736912542445
Position 4560: 0.00018888830726451256
Position 43: 0.00015213047104151642
Position 4411: 5.298162514759607e-05
Position 97: 1.8877101710499429e-06
Position 198: 1.8422508256687748e-06
Position 53: 1.0896710072353543e-06
Position 46: 2.1602617136214056e-07
Position 216: 1.7129493160758053e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1479: 0.9435182745224514
Position 3610: 0.9120074301875578
Position 5278: 0.8674495685425115
Position 4050: 0.820265020017937
Position 624: 0.5988537063451317
Position 10640: 0.548505041217826
Position 283: 0.28810815237930837
Position 8926: 0.15139200222441107
Position 7741: 0.14518453024727968
Position 138: 0.11109865820417111
Position 4109: 0.10622283874423026
Position 5698: 0.09037307085530308
Position 4696: 0.08743941405875394
Position 2436: 0.06902417126006692
Position 7027: 0.06552377869529719
Position 7326: 0.06380837205818984
Position 8853: 0.0550276357112839
Position 2276: 0.05335772893674368
Position 5569: 0.05198278562150101
Position 2918: 0.04747472015056548
Position 3587: 0.045288202136252446
Position 6027: 0.029890145395269622
Position 2450: 0.02962676587037414
Position 2413: 0.028825144781589724
Position 1398: 0.020999700120192987
Position 2463: 0.01298095788050396
Position 174: 0.01263559679710773
Position 2297: 0.01230599949272661
Position 2614: 0.011567740393769909
Position 7501: 0.011245985511988127
Position 1409: 0.010952071015499162
Position 1421: 0.009203500667516282
Position 2825: 0.0071971059080769145
Position 5660: 0.007069193837646849
Position 308: 0.0070561188241662414
Position 6525: 0.006673081549063185
Position 674: 0.004061360160944107
Position 2389: 0.003409719794184624
Position 298: 0.0031058077780202155
Position 1016: 0.00262066403104247
Position 683: 0.0025025559245821605
Position 2779: 0.001868561436969248
Position 1024: 0.0014999417476129107
Position 430: 0.0009734437514714698
Position 144: 0.0005033977682996202
Position 4394: 0.0001888883072645126
Position 2130: 0.00013143836264716994
Position 213: 8.781088128961479e-05
Position 241: 7.916838588552128e-05
Position 4300: 5.298162514759616e-05
Position 469: 1.6297621265189335e-05
Position 149: 3.373694047398578e-09
Position 356: 2.176606053189532e-09
Position 326: 1.901080404861604e-09
