Gene = Il18bp
index = 570
Annotated 5SS: [  46  559  869 1406 1878 2113]
Annotated 3SS: [ 490  803 1213 1753 1964 2319]
SMsplice 5SS: [ 559 1878 2113]
SMsplice 3SS: [1787 1964 2319]
top_k =  100
Partition function (log Z): -0.4005868532940162

Sorted 5' Splice Sites (High to Low Probability):
Position 1878: 0.989968738025442
Position 559: 0.9219003425425742
Position 2113: 0.8770683646923023
Position 869: 0.38167888914495823
Position 1406: 0.23215818045274697
Position 46: 0.21539168984319876
Position 212: 0.16127734327747328
Position 317: 0.1531596878731567
Position 975: 0.12388360393786937
Position 1417: 0.12110614073421526
Position 138: 0.08293916559040362
Position 1088: 0.056234180858263504
Position 1132: 0.01988896293626647
Position 2197: 0.015244974499692181
Position 1116: 0.011700651906588259
Position 374: 0.009152597122104885
Position 396: 0.007671264916658595
Position 703: 0.005096832578105453
Position 379: 0.0044288732206697904
Position 327: 0.0027857337310378404
Position 190: 0.0025873751701167794
Position 97: 1.0260572016363882e-05
Position 118: 7.007114585971617e-06
Position 85: 4.904518137548707e-06
Position 101: 9.992337594104178e-07
Position 79: 7.864075194848392e-07
Position 111: 2.4098003420202217e-07
Position 99: 1.946597052792674e-07
Position 151: 1.7542415569089886e-07
Position 113: 1.4938092378945595e-07
Position 204: 2.6503820553581158e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1964: 0.9784390375561126
Position 1787: 0.7476765941196959
Position 803: 0.5407796296455408
Position 2319: 0.4630592960221977
Position 450: 0.3214406929165588
Position 1213: 0.2997940142538603
Position 2850: 0.16377815397114015
Position 3013: 0.1267319937999863
Position 1753: 0.10964261804029313
Position 490: 0.10864964273273141
Position 1805: 0.10102315435083568
Position 2596: 0.04784675163676324
Position 1265: 0.04181186649150023
Position 365: 0.03197393094217728
Position 517: 0.03189890836628034
Position 1725: 0.031814172953513006
Position 947: 0.02920619390404208
Position 426: 0.027321632289506067
Position 2938: 0.02642846869886612
Position 2876: 0.021384171872980556
Position 493: 0.01953182670548581
Position 2535: 0.0184524197482534
Position 1080: 0.014805240782138903
Position 2353: 0.011599408008925186
Position 1342: 0.011314363314370078
Position 520: 0.009662110834693712
Position 2719: 0.009625432116618666
Position 2188: 0.00726351331908563
Position 238: 0.006993722310042368
Position 2000: 0.0042690343488572665
Position 663: 0.00360624823249269
Position 474: 0.003542787146098926
Position 1017: 0.0033113488943193542
Position 2994: 0.003298376513378734
Position 2366: 0.0028855504092474326
Position 2372: 0.002664918667053916
Position 2436: 0.0025008675670412815
Position 1976: 0.0018981434965907127
Position 597: 0.0016415180619180735
Position 898: 0.0007643846276748375
Position 523: 0.0007557626761917736
Position 723: 0.000710756256458549
Position 280: 0.0006686512061924241
Position 558: 0.0006617354884509806
Position 805: 0.000636468830364576
Position 666: 0.0006340140853188656
Position 276: 0.0002158456513729701
Position 1284: 0.00017214888171859403
Position 1345: 0.00017192824551295384
Position 211: 0.00014233760700976507
Position 264: 9.64420897028841e-05
Position 702: 6.406463333791166e-05
Position 190: 5.802470229697195e-05
Position 216: 1.6655534287184857e-05
Position 285: 4.082726064075093e-06
Position 142: 3.941674783404916e-06
Position 194: 2.3885152380329967e-06
Position 165: 9.493753324380766e-07
