Gene = Kmt5a
index = 607
Annotated 5SS: [   86  6155  7441 10951 11444 17189 20036]
Annotated 3SS: [ 6038  7283 10730 11355 17128 19844 20557]
SMsplice 5SS: [   86  7441 10403 10951 11444 14397 17189 20036]
SMsplice 3SS: [ 7283 10308 10730 11355 14267 17128 19844 21084]
top_k =  100
Partition function (log Z): 1.1158359196993661

Sorted 5' Splice Sites (High to Low Probability):
Position 11444: 1.0000000000000007
Position 7441: 0.9954663326734726
Position 20036: 0.8397029434796001
Position 10951: 0.8243163880029177
Position 17189: 0.7639787107938083
Position 14397: 0.763876775640365
Position 10403: 0.7055529042565101
Position 86: 0.5042880086504868
Position 15477: 0.3238395901109516
Position 152: 0.24915127694618916
Position 641: 0.2290841871563198
Position 17246: 0.1978721650283319
Position 10583: 0.16984380239261374
Position 321: 0.13946068015947327
Position 3562: 0.09727889130093045
Position 20608: 0.08400483670134243
Position 11011: 0.07570106160080943
Position 7577: 0.06609601778046693
Position 21198: 0.04117497886803763
Position 6659: 0.039117984278809956
Position 7749: 0.033635349354512345
Position 17320: 0.031767062400932
Position 4468: 0.025803081277718794
Position 20708: 0.022699920832060405
Position 19262: 0.02250675837795118
Position 10806: 0.020440709482986114
Position 15481: 0.015201556947460735
Position 11223: 0.014654577720404745
Position 10309: 0.013370802542843199
Position 13009: 0.006619753428250207
Position 10875: 0.006027744579848346
Position 10418: 0.004188839488653863
Position 7602: 0.003575193869276486
Position 8835: 0.003506145814382998
Position 15260: 0.002733755753348996
Position 452: 0.0019852524664589347
Position 370: 0.0014211307097754299
Position 407: 0.0011015072797489346
Position 60: 0.0006336902583747563
Position 485: 0.00023679047958318804
Position 8895: 9.33679970001848e-05
Position 187: 3.1300447310199625e-05
Position 224: 4.2842160970254456e-06
Position 98: 1.1800122842242014e-06
Position 38: 6.696479350625076e-07
Position 92: 5.080246017142821e-07
Position 11: 4.987760926517866e-07
Position 14: 7.17139347057692e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 17128: 1.0000000000000004
Position 7283: 0.9740820556555873
Position 11355: 0.955793229433912
Position 10730: 0.926314229954873
Position 19844: 0.8783616188730212
Position 10308: 0.46973331412332653
Position 21084: 0.4692470458771109
Position 14267: 0.39705991505731353
Position 14225: 0.3668168605830514
Position 15374: 0.3390411470584125
Position 21353: 0.2753033278833718
Position 20975: 0.12939881636217979
Position 10218: 0.11524637837066512
Position 10499: 0.11264238009753502
Position 10288: 0.11252040458442389
Position 20557: 0.09876678809434447
Position 3364: 0.08617510321948833
Position 7518: 0.0714144896101558
Position 533: 0.06695017355100659
Position 11193: 0.05886134828649359
Position 10258: 0.049431076407377594
Position 21032: 0.039626942512357974
Position 6634: 0.03911798427880996
Position 564: 0.03647269657571571
Position 10476: 0.03338279509729277
Position 22129: 0.029540378146896987
Position 4326: 0.02580308127771879
Position 20428: 0.02386332203792967
Position 7624: 0.023355786009174137
Position 19192: 0.022506758377951196
Position 7364: 0.01755266407265016
Position 20141: 0.01746160265944671
Position 256: 0.01623800613903583
Position 20257: 0.01336877756474247
Position 3191: 0.011103788081442134
Position 7224: 0.008365280271763871
Position 12915: 0.006619753428250207
Position 17603: 0.005361275186143419
Position 452: 0.0047411310335028715
Position 7644: 0.004002618058397162
Position 8737: 0.003599513811383183
Position 15010: 0.0027337557533489982
Position 489: 0.0016871231366227557
Position 294: 0.0013119065087808708
Position 17669: 0.0009007229065680025
Position 10651: 8.704468661910972e-05
Position 10667: 8.462902506951479e-05
