Gene = Bdh2
index = 178
Annotated 5SS: [  148  4447  7119  8431  9882 14068 15713 19512 20434]
Annotated 3SS: [ 4293  7039  8333  9772 14006 15598 19452 20340 22946]
SMsplice 5SS: [  148  2554  4193  4447  7119  8131  8431  9882 14100 15713 20434]
SMsplice 3SS: [ 2444  4086  4293  7039  7994  8333  9772 14006 15598 20363 22946]
top_k =  100
Partition function (log Z): 1.2846154879129958

Sorted 5' Splice Sites (High to Low Probability):
Position 15713: 0.9999907765574046
Position 9882: 0.9967391505711413
Position 148: 0.9712807271260174
Position 7119: 0.9628279544750563
Position 4447: 0.9056378519035202
Position 2554: 0.7826047298484287
Position 8431: 0.7797247488532905
Position 4193: 0.736594635786152
Position 20434: 0.7332619960453924
Position 14100: 0.6451946007959821
Position 8131: 0.5915223985073185
Position 12734: 0.361968634789382
Position 1873: 0.3470255992645297
Position 19512: 0.3057796357951099
Position 14068: 0.3023432654282582
Position 1526: 0.17934061267948362
Position 9331: 0.09026875060364706
Position 8939: 0.08269255533554856
Position 10148: 0.07885085805950479
Position 20452: 0.07519223260565853
Position 8984: 0.06956557674082753
Position 2665: 0.06956052727983467
Position 2753: 0.06558388810231677
Position 1847: 0.056816572469370955
Position 21681: 0.0554089927832456
Position 938: 0.052997253154960955
Position 7467: 0.05218404556771505
Position 3764: 0.04917186200444328
Position 8077: 0.043369187251229686
Position 3824: 0.04025411236924578
Position 3626: 0.03724821935969741
Position 5139: 0.025568017838202797
Position 12650: 0.016240936731287577
Position 253: 0.008169091282837283
Position 11639: 0.007262564540114633
Position 2373: 0.006142081252479866
Position 1555: 0.003834131554788329
Position 1955: 0.0038287306359009454
Position 897: 0.0027181324108047616
Position 1996: 0.0020676058095646125
Position 1864: 0.001898828389442951
Position 98: 0.0016515370249048109
Position 1305: 0.0013157553236663655
Position 1878: 0.0012840873837187854
Position 4919: 0.0012045941816093179
Position 2004: 0.001088420136964509
Position 1571: 0.0004388294464143342
Position 583: 0.00038347137961423564
Position 1366: 0.00027850540959624924
Position 688: 0.0002707864478062453
Position 4891: 0.00014454410274383753
Position 1138: 7.506725971572964e-05
Position 878: 6.991328668814496e-05
Position 1488: 3.338457928190503e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 15598: 0.9999907765574043
Position 9772: 0.9967391505711412
Position 7039: 0.9662743787917185
Position 14006: 0.9475378662242401
Position 2444: 0.8878934577862369
Position 8333: 0.7797247488532904
Position 4086: 0.6896214248832692
Position 7994: 0.6307803144063462
Position 4293: 0.584673719592302
Position 20363: 0.5462890204996207
Position 22946: 0.43646136552580256
Position 21772: 0.3933020542415096
Position 12618: 0.37820957152066975
Position 1793: 0.34674326741539147
Position 19452: 0.33208035183504153
Position 4366: 0.320931309471241
Position 20340: 0.2648767837099056
Position 1467: 0.1793954527023633
Position 8852: 0.15225813207637615
Position 9206: 0.09026875060364706
Position 3698: 0.08942597437368906
Position 10044: 0.07885085805950477
Position 21966: 0.07579523358854733
Position 21522: 0.06802384230622426
Position 1685: 0.056500564334886316
Position 7261: 0.04873762125105269
Position 4092: 0.046973210902882874
Position 3443: 0.026853921264113446
Position 5009: 0.025568017838202808
Position 20554: 0.01916421823382525
Position 20504: 0.016176866479153208
Position 804: 0.015282435384204776
Position 2471: 0.012028092329602854
Position 790: 0.011943105633027851
Position 3377: 0.010394298095583968
Position 2372: 0.009060911472679505
Position 11487: 0.007262564540114633
Position 18370: 0.007133093271382831
Position 2280: 0.006142081252479866
Position 765: 0.005622579656236871
Position 1396: 0.0050235852232450974
Position 7748: 0.004111271352201832
Position 1742: 0.0037995297549955247
Position 15819: 0.003404187488073806
Position 2636: 0.003104925707474941
Position 2633: 0.0029053808808323835
Position 2688: 0.0027563770537534288
Position 734: 0.002588877440342447
Position 1393: 0.002567309761616067
Position 17438: 0.0023786934604449125
Position 17209: 0.002347742296822654
Position 873: 0.0022301361299200385
Position 1695: 0.002022785777009587
Position 16937: 0.001418519824301238
Position 4742: 0.0013491382843531551
Position 1641: 0.001299120518212282
Position 18259: 0.0007816610261548141
Position 1266: 0.0006611630395503845
Position 1158: 0.00035544813234466877
Position 1251: 0.00020974658943650337
Position 846: 0.00018369232341001717
Position 1095: 0.0001275673360720019
Position 749: 0.00010868949502547664
Position 1039: 5.409306043079185e-05
Position 4267: 3.282283997722655e-05
Position 815: 3.058316746435147e-05
Position 1134: 2.546170419462099e-05
Position 961: 2.51073101942456e-05
Position 1224: 2.126985333634622e-05
Position 1000: 1.7911995490220545e-05
Position 1611: 1.7223070309082776e-05
Position 859: 1.0335647362038194e-05
Position 10621: 9.223442596733373e-06
