Gene = Tyrobp
index = 1154
Annotated 5SS: [ 112  581  863 1888]
Annotated 3SS: [ 553  715 1843 3555]
SMsplice 5SS: [112]
SMsplice 3SS: [553]
top_k =  100
Partition function (log Z): -7.222290164130213

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.9873812304852727
Position 863: 0.6158063698612725
Position 1888: 0.348553129784621
Position 745: 0.04836619555086543
Position 581: 0.03324628606050968
Position 1287: 0.012261915198459648
Position 1761: 0.010274208524449047
Position 1730: 0.009542370616511406
Position 779: 0.001241764164799563
Position 228: 0.0010586927477508976
Position 339: 0.0008230652443474081
Position 908: 0.0006554413885709028
Position 243: 0.0005674880383111981
Position 1753: 0.0003630165283877879
Position 286: 0.00023779624455736204
Position 74: 0.00023186727271224072
Position 362: 0.0002017170761512306
Position 4: 0.00017222841340035924
Position 343: 4.329866796695783e-05
Position 105: 3.4912896372030075e-05
Position 357: 2.9530335844308388e-05
Position 406: 2.8161720898578812e-05
Position 295: 3.644635765649298e-06
Position 480: 3.5573072183604747e-06
Position 93: 3.2696808639029405e-06
Position 335: 3.091444806447525e-06
Position 143: 2.687818906134697e-06
Position 289: 1.8898167121249536e-06
Position 158: 4.2742113327951423e-07
Position 145: 3.4491954455001034e-07
Position 27: 2.660598928637977e-07
Position 130: 2.658494171101507e-07
Position 116: 2.6432567950736017e-07
Position 34: 2.515051951567232e-07
Position 410: 1.8329491729069754e-07
Position 29: 1.7268881815926066e-07
Position 247: 1.663375139296633e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1843: 0.6328967064987159
Position 553: 0.6050316024754937
Position 3555: 0.2106352736506363
Position 652: 0.16319528439208114
Position 3641: 0.11466615063998754
Position 2536: 0.0560433354397496
Position 2749: 0.04733582518098119
Position 1457: 0.0357922370332488
Position 622: 0.032318470780179964
Position 3617: 0.021883350259251897
Position 2437: 0.018607117520911133
Position 715: 0.015238756860322458
Position 3603: 0.013819716359857022
Position 2872: 0.013386871104641419
Position 1219: 0.012849337824472616
Position 728: 0.01223036606282109
Position 2129: 0.009669730974468826
Position 2107: 0.008919828058043897
Position 530: 0.006088939900301772
Position 674: 0.005538380164581872
Position 749: 0.005321884582200633
Position 3671: 0.00491470602022411
Position 2676: 0.004057582512029395
Position 1011: 0.003815666475495917
Position 1531: 0.0032814681508832075
Position 850: 0.0025917360239953013
Position 2149: 0.00241937720812932
Position 1791: 0.002408143576387173
Position 1214: 0.0017842628119429174
Position 844: 0.0014025934554675564
Position 442: 0.0011891126977608374
Position 632: 0.0011564652523899576
Position 1230: 0.0005556011625670043
Position 343: 6.125192458218787e-05
Position 560: 1.9636258570137466e-05
Position 319: 4.976340038808476e-06
Position 371: 4.242197712669367e-06
Position 289: 2.303386410782267e-06
Position 454: 2.1900821045006218e-06
Position 856: 6.886287757817998e-07
