Gene = Sbspon
index = 947
Annotated 5SS: [  284  9077 32462 33834]
Annotated 3SS: [ 8881 32370 33656 36859]
SMsplice 5SS: [  284  4418 25831 33834]
SMsplice 3SS: [ 4316 25729 33656 36859]
top_k =  500
Partition function (log Z): -20.579763149540142

Sorted 5' Splice Sites (High to Low Probability):
Position 284: 0.985711617481913
Position 4418: 0.7076669493112724
Position 7863: 0.5649493227362644
Position 8930: 0.5429506959490819
Position 1707: 0.31330806664420263
Position 5911: 0.2199129127081398
Position 8199: 0.18681475275502085
Position 1185: 0.14362279198668662
Position 7587: 0.10553406730226675
Position 5251: 0.09452319773800212
Position 5277: 0.07846023598853025
Position 11826: 0.075080825502361
Position 1764: 0.07191832012457999
Position 5239: 0.06825085778760889
Position 9077: 0.06498914170242194
Position 1345: 0.034617844987599455
Position 5434: 0.020345672453971585
Position 1051: 0.019872853701425712
Position 2884: 0.010215569620466802
Position 927: 0.0057484956284959195
Position 6221: 0.0045213566239878855
Position 559: 0.004459462011035056
Position 3341: 0.004388042093753289
Position 1685: 0.003645937923442056
Position 4459: 0.003342030316168111
Position 3739: 0.0021705182370789526
Position 4366: 0.002101667024512371
Position 2627: 0.0018280529311382814
Position 3914: 0.0014541464684899059
Position 2691: 0.0014030482418687744
Position 3925: 0.00134631848324312
Position 4855: 0.0010387758764710071
Position 38: 0.0008914155689600366
Position 88: 0.0006971695008777524
Position 703: 0.0006692407584181664
Position 8833: 0.0005962450150753732
Position 979: 0.0005914847467615465
Position 93: 0.000504956499991098
Position 540: 0.00044873421619766606
Position 752: 0.0003299255903118222
Position 1034: 0.00029583600425030617
Position 6176: 0.0002799142346492201
Position 276: 0.00021196953062722868
Position 375: 0.00014924324085974786
Position 334: 0.00013083848130212132
Position 609: 0.00012557228558562788
Position 205: 0.00010414411330667135
Position 760: 9.657153930730287e-05
Position 288: 9.357612055873187e-05
Position 710: 7.916755803982428e-05
Position 224: 7.163479362209114e-05
Position 720: 7.061644332492834e-05
Position 155: 6.874534503745795e-05
Position 1026: 6.062237480343374e-05
Position 239: 5.168341062440905e-05
Position 662: 4.1184514379384604e-05
Position 889: 3.593593732017372e-05
Position 1405: 3.5092793486832666e-05
Position 52: 3.43110141272377e-05
Position 483: 3.1382424374012e-05
Position 354: 3.094998970957075e-05
Position 1582: 2.4664154690160488e-05
Position 134: 2.3326355809464123e-05
Position 968: 2.0272806775228866e-05
Position 561: 1.9591530621803525e-05
Position 652: 1.9149901643237115e-05
Position 50: 1.8484717580302946e-05
Position 1360: 1.7930348674056122e-05
Position 490: 1.7134641549828438e-05
Position 549: 1.6878789420143295e-05
Position 1067: 1.6846205736765112e-05
Position 843: 1.453249798435263e-05
Position 1037: 1.3265931759790911e-05
Position 1131: 7.826258371333552e-06
Position 813: 7.419142412846074e-06
