Gene = Tada1
index = 1054
Annotated 5SS: [  380  3122  3366  7667  9675 10891 12889]
Annotated 3SS: [ 3029  3299  7568  9464 10738 12725 13470]
SMsplice 5SS: [  380  3214  3366  7667  9675 10891 11611 11972 12889]
SMsplice 3SS: [ 3029  3299  7568  9464 10738 11535 11720 12725 13470]
top_k =  500
Partition function (log Z): 5.773629058363839

Sorted 5' Splice Sites (High to Low Probability):
Position 3366: 0.9878910837529585
Position 12889: 0.8907822460677705
Position 380: 0.8745571883929907
Position 9675: 0.7680885402601255
Position 10891: 0.7533522423245471
Position 7667: 0.6605980387871825
Position 11611: 0.6027718225066665
Position 3214: 0.5986658239487946
Position 1618: 0.5961157981089167
Position 1777: 0.5210086645121825
Position 11972: 0.48779139309351743
Position 6923: 0.41761321655004774
Position 3803: 0.3535086150910032
Position 3122: 0.2664897044031125
Position 9093: 0.26319743842369825
Position 11806: 0.24215893984065603
Position 10895: 0.20693270199598857
Position 566: 0.13510912023465446
Position 12251: 0.1190532731259029
Position 4640: 0.085699723719612
Position 9388: 0.08435268575791335
Position 2303: 0.08202542370865158
Position 11793: 0.06469390750959306
Position 8435: 0.06074655688607103
Position 615: 0.056893407386839595
Position 3180: 0.04503690340131523
Position 8240: 0.04286052805589296
Position 12305: 0.03686463817587976
Position 9679: 0.03379143872102826
Position 11354: 0.03261112206361868
Position 5673: 0.031661553498080544
Position 12864: 0.0315200361786472
Position 7252: 0.03098573821249518
Position 10793: 0.02905714927768193
Position 752: 0.027630710281952187
Position 3230: 0.02608032071089187
Position 9118: 0.02424644432881127
Position 10343: 0.020838966586024032
Position 6589: 0.020787649262022843
Position 6153: 0.02038241928537654
Position 2588: 0.020138890936487873
Position 2536: 0.019369807591396424
Position 3137: 0.014749795400750096
Position 1369: 0.014491967487878708
Position 9893: 0.013404203262259471
Position 7846: 0.013256200723764553
Position 7671: 0.013164440474432259
Position 7525: 0.012441166347990109
Position 415: 0.011808900806427537
Position 198: 0.010726854757717676
Position 6405: 0.010674052172756816
Position 10377: 0.010229750092924312
Position 8413: 0.009465351576142204
Position 1976: 0.00943108076649442
Position 10157: 0.009079644739826804
Position 2307: 0.008747029325696182
Position 193: 0.008634178098731616
Position 11365: 0.007818108266346376
Position 1165: 0.007621008649468796
Position 1836: 0.007393095145858799
Position 212: 0.007342037856025168
Position 2090: 0.0063831778616223476
Position 6556: 0.006056011353220167
Position 10066: 0.005095052669214575
Position 281: 0.0050067826726714814
Position 2110: 0.004823021313736978
Position 611: 0.004642780887295322
Position 9898: 0.004624188714955229
Position 1366: 0.00449360481178711
Position 318: 0.004404508180287426
Position 2767: 0.003968761200870151
Position 411: 0.0038534957630635748
Position 2051: 0.0035349046750234427
Position 372: 0.0032887339080734206
Position 1200: 0.003212046060544284
Position 3158: 0.0031759306870119157
Position 2154: 0.003168543704301333
Position 237: 0.0029106762388240383
Position 1642: 0.002756493832531781
Position 5954: 0.002658196862758513
Position 6194: 0.002441148970492805
Position 13267: 0.0022026758009590502
Position 577: 0.002192049562955472
Position 1586: 0.0021282573646632242
Position 13718: 0.0021197433840077938
Position 419: 0.0021006991599275904
Position 748: 0.0018204986067694969
Position 3500: 0.0016539105799002556
Position 11387: 0.0015203582945704627
Position 743: 0.0015131886692471921
Position 1448: 0.0014180164049737013
Position 2121: 0.0013773881021174133
Position 249: 0.0013194047412448105
Position 3496: 0.0010956559049020585
Position 12320: 0.0009558227410879662
Position 2070: 0.0009320578769114762
Position 2134: 0.0009238981793671807
Position 1848: 0.0007866050361324173
Position 554: 0.0006804475112423991
Position 1414: 0.0006557264859332434
Position 869: 0.0005578190960037849
Position 1810: 0.00040084432183598665
Position 719: 0.00035702930546663064
Position 7740: 0.0003405800694382012
Position 1727: 0.0002943065401192988
Position 7649: 0.0002911653758538924
Position 256: 0.0002727229008520024
Position 5945: 0.00026368028818711276
Position 1470: 0.0001947436005182043
Position 1590: 0.00019431510814644514
Position 1610: 0.0001776846655229782
Position 642: 0.00015612648560643172
Position 262: 0.0001330333160294839
Position 274: 0.0001314040254542068
Position 4181: 0.00013053096842116397
Position 4547: 0.00010071177888928371
Position 1110: 8.445587185123841e-05
Position 3785: 5.959672051556007e-05
Position 183: 2.942524498286348e-05
Position 1185: 1.9865664710590187e-05
Position 3655: 1.7026448732535006e-05
Position 3651: 1.1914636629492633e-05
Position 36: 1.1794466661826892e-05
Position 506: 1.0489058269597837e-05
Position 477: 7.956215305616856e-06
Position 1128: 2.8372351212802776e-06
Position 873: 1.835946624914919e-06
Position 1815: 1.5863227306945556e-06
Position 756: 1.5174957356964872e-06
Position 12856: 5.668935075227788e-07
Position 3374: 7.29469423168836e-08
Position 421: 1.587280426844753e-09
Position 443: 9.365147125035186e-11
Position 483: 1.70969746328819e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3029: 0.9848191537018565
Position 10738: 0.9846176621840039
Position 3299: 0.9525966198828014
Position 12725: 0.8447993374014694
Position 9464: 0.7391330389082222
Position 13470: 0.6379067160933484
Position 11720: 0.6338513659801489
Position 7568: 0.6117754935474234
Position 1684: 0.5172467293145572
Position 11535: 0.4893218262270311
Position 1521: 0.44956553111319986
Position 8962: 0.2185186519008058
Position 6841: 0.20825091559520534
Position 3584: 0.19321511972000094
Position 6787: 0.17344513603732672
Position 13523: 0.15405934225974252
Position 11740: 0.1476133109399141
Position 3606: 0.13366969702196282
Position 480: 0.12162542583917703
Position 8141: 0.10781706175560637
Position 12689: 0.09506259591221738
Position 12131: 0.08960883780940111
Position 9271: 0.08435268575791335
Position 11471: 0.08141116727986332
Position 7489: 0.06607590278804068
Position 9469: 0.06274694007293122
Position 1893: 0.05640688623188876
Position 473: 0.0554365586015115
Position 1547: 0.05173769997158535
Position 1283: 0.050946177036850615
Position 12184: 0.04949363353135998
Position 8996: 0.041561971834664944
Position 12759: 0.04088852461938268
Position 11253: 0.040538583946108264
Position 4429: 0.03693761107569297
Position 6875: 0.0342510211100417
Position 4306: 0.033519653906110655
Position 1447: 0.03064468285944268
Position 6368: 0.030253451850245434
Position 2222: 0.02979788749817648
Position 9038: 0.0273632590170387
Position 13830: 0.027286614264386996
Position 9809: 0.026713131908434724
Position 1996: 0.026387491831251376
Position 5599: 0.025489947491750545
Position 7431: 0.02204620605032383
Position 10258: 0.021484354145539033
Position 5814: 0.019899650753082667
Position 11452: 0.019440399257117703
Position 13558: 0.018067579697007768
Position 7017: 0.015389128571910233
Position 2404: 0.014368395837357821
Position 3564: 0.013677841841663783
Position 12138: 0.01366285824251616
Position 1484: 0.012598006790919818
Position 2382: 0.01202058907640884
Position 14315: 0.011355375529239705
Position 1382: 0.010552589879616166
Position 4563: 0.009961356426323145
Position 10228: 0.009584362533409317
Position 14018: 0.009146478214982061
Position 3437: 0.009039501578072581
Position 6987: 0.008851936637687347
Position 14219: 0.008564634587831922
Position 11380: 0.008205834249209017
Position 11772: 0.008166120055158824
Position 11319: 0.00776882309070408
Position 13161: 0.007768400703442185
Position 2252: 0.006955962548639023
Position 7144: 0.006744673002897602
Position 13419: 0.006230842497161172
Position 13031: 0.006200069076811705
Position 964: 0.006047745909347516
Position 13478: 0.005955211650150276
Position 13995: 0.005699910068739774
Position 10059: 0.005489957477821346
Position 8326: 0.005255374762499879
Position 14247: 0.004992370159410029
Position 2359: 0.004917066123287255
Position 6488: 0.004904335515556692
Position 10766: 0.004724431414213516
Position 6156: 0.0044528498379836
Position 13399: 0.004217632387176219
Position 5616: 0.004054607641890483
