Gene = Parm1
index = 794
Annotated 5SS: [  343 76887 95462]
Annotated 3SS: [ 76202  95382 105317]
SMsplice 5SS: [   343  76887  78772  84817  95462 105412 105682]
SMsplice 3SS: [ 76659  78617  84701  95382 105317 105573 105815]
top_k =  500
Partition function (log Z): -55.65833114234331

Sorted 5' Splice Sites (High to Low Probability):
Position 448: 0.4749098990911959
Position 343: 0.3860892172111408
Position 280: 0.2645242206819823
Position 204: 0.10418549814393568
Position 4037: 0.05376364363509458
Position 6144: 0.045705555043280575
Position 3859: 0.0436329754952144
Position 1151: 0.039095997492084665
Position 240: 0.03427811588439287
Position 223: 0.017127181454769786
Position 4889: 0.016486188590044994
Position 8711: 0.009029749891509242
Position 483: 0.007721238688111204
Position 192: 0.007356400407942013
Position 702: 0.007083000563786433
Position 995: 0.006606788828414999
Position 312: 0.005180955992114238
Position 165: 0.004429362376942965
Position 896: 0.0033858754721057104
Position 2821: 0.003054665182484422
Position 177: 0.0029909813673268545
Position 1668: 0.0024126437986988067
Position 738: 0.001741788368283222
Position 794: 0.0013326277097739534
Position 1178: 0.0010551093281972153
Position 452: 0.001001683929114503
Position 1159: 0.0008254024597152984
Position 13: 0.0007038049459918221
Position 76: 0.0006961255400465929
Position 627: 0.0006705787605259427
Position 935: 0.000616783049928944
Position 295: 0.0005683237592847027
Position 1001: 0.0004547524768244788
Position 1226: 0.00034657783278192256
Position 975: 0.00029774792847966534
Position 986: 0.00026975960787773584
Position 2386: 0.00023534629487076124
Position 462: 0.00023178547521420333
Position 393: 0.0002186614010480095
Position 3231: 0.00020830453396732704
Position 265: 0.0002063783275044094
Position 303: 9.725258247249821e-05
Position 575: 7.993402053984987e-05
Position 816: 5.116393921728468e-05
Position 464: 3.5122133216246194e-05
Position 776: 3.281474967941988e-05
Position 22: 3.161865544453299e-05
Position 355: 1.023684484865341e-05
Position 445: 8.524449413923104e-06
Position 714: 6.1884257255906945e-06
Position 965: 5.250989861383679e-06
Position 485: 1.2341644780516697e-06
Position 1261: 5.877858659890715e-07
Position 490: 5.662704322078294e-07
Position 499: 1.2659405497814567e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 342: 0.3141629817807946
Position 8603: 0.2212395395192431
Position 2545: 0.1503998407947624
Position 6391: 0.12264469233117696
Position 1061: 0.09023749797191495
Position 574: 0.08265988600866482
Position 3947: 0.06107477651888572
Position 4767: 0.049708426298640015
Position 6006: 0.042039860571755086
Position 3702: 0.02984436203822979
Position 4632: 0.029384097840439098
Position 2230: 0.023386588162608003
Position 2421: 0.022740076437710782
Position 8922: 0.021715826040509464
Position 10162: 0.020639036771956533
Position 3766: 0.020083407755868393
Position 848: 0.01671039290955685
Position 4151: 0.016421030625980337
