Gene = Gclm
index = 429
Annotated 5SS: [  555 10054 13735 16371 17246 19352]
Annotated 3SS: [ 9987 13649 16310 17042 19236 20670]
SMsplice 5SS: [  555 10054 13735 16371 17246 19352 20762]
SMsplice 3SS: [ 9987 13649 16310 17042 19236 20670 24029]
top_k =  500
Partition function (log Z): -2.324585841455245

Sorted 5' Splice Sites (High to Low Probability):
Position 13735: 0.9999999999999996
Position 17246: 0.9000100069803814
Position 19352: 0.8938901331194914
Position 16371: 0.8139219354377224
Position 555: 0.7642179324779885
Position 20762: 0.650842002544566
Position 18018: 0.4605574439523179
Position 807: 0.4017160759901235
Position 10054: 0.3810582338951221
Position 20524: 0.1721068115148617
Position 16240: 0.14898855708069295
Position 16697: 0.1364291098726453
Position 84: 0.12254453587889097
Position 16881: 0.07646203085936772
Position 19424: 0.07163752280392294
Position 20553: 0.0695355019058263
Position 12682: 0.058683269608475294
Position 3126: 0.05845752688230858
Position 16953: 0.038347638601997684
Position 22452: 0.03629379059244309
Position 20025: 0.03407932429505802
Position 14955: 0.03393549145522923
Position 1751: 0.032195485227454
Position 22398: 0.02818784370790352
Position 11228: 0.026082673905689382
Position 631: 0.024556971573144015
Position 16885: 0.024458388452422042
Position 16851: 0.02236013013628917
Position 22432: 0.018747067991825198
Position 17805: 0.018497731139229086
Position 17843: 0.015606865407581397
Position 18143: 0.013914167953411181
Position 20068: 0.013524142879506856
Position 17868: 0.010941835432538929
Position 15366: 0.009205992399251708
Position 19968: 0.008146349146305886
Position 19555: 0.006994248538166879
Position 564: 0.006947281277159721
Position 16275: 0.006914690491339754
Position 16646: 0.004819888714712757
Position 23536: 0.0025049945219741097
Position 23477: 0.0024814836305080403
Position 17111: 0.0024624533143669442
Position 17890: 0.0024418508494567105
Position 19804: 0.002224396186178405
Position 16253: 0.002104551385051195
Position 22467: 0.002014306692699277
Position 2553: 0.0014848688260925126
Position 18026: 0.0014475003965678224
Position 17918: 0.0012601745468420402
Position 19817: 0.0011590055572344741
Position 1616: 0.0010968071500916858
Position 17665: 0.0010798780691581762
Position 17255: 0.0010617593978912135
Position 23221: 0.0009567486747375425
Position 22317: 0.000932528454407873
Position 64: 0.0009256683871878156
Position 19772: 0.0008556985758511412
Position 58: 0.0008379754040521497
Position 17352: 0.0007133496444936814
Position 668: 0.0006136304325544639
Position 20492: 0.0005955812289814113
Position 15939: 0.0005781172420290994
Position 639: 0.0005588531965050919
Position 16978: 0.0005456148407814117
Position 89: 0.00033124592949967116
Position 17999: 0.0002458038704153932
Position 20624: 0.00022638947771392968
Position 21666: 0.0002017229186315637
Position 1871: 0.00019660611522481417
Position 824: 0.0001817541051675698
