Gene = Sprr2d
index = 1019
Annotated 5SS: [42]
Annotated 3SS: [1094]
SMsplice 5SS: [42]
SMsplice 3SS: [1094]
top_k =  500
Partition function (log Z): -5.299246148092281

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9912818380584573
Position 371: 0.09439370777870294
Position 367: 0.018885179158506796
Position 442: 0.010583062609377787
Position 506: 0.0101665241095129
Position 1368: 0.009006307655948207
Position 600: 0.008942414067564405
Position 244: 0.006701764778432434
Position 1206: 0.003854914738697626
Position 297: 0.0024124275895737565
Position 1179: 0.001798601411689773
Position 1233: 0.0008289548909913186
Position 900: 0.0007714437511569294
Position 1373: 0.0007071394546333697
Position 1609: 0.0006062773253843416
Position 1162: 0.00047098277311413683
Position 710: 0.00041541137152937494
Position 444: 0.0004072894928913876
Position 150: 0.00036213472615745715
Position 398: 0.0003324079835176234
Position 1422: 0.0002313540995484315
Position 454: 0.00020934767808882928
Position 1208: 0.00020289168365599102
Position 1600: 0.00015440872449249793
Position 489: 0.00010660065891765448
Position 417: 8.447154625138965e-05
Position 9: 7.25836507469792e-05
Position 1350: 4.421336893037792e-05
Position 1193: 3.272595363600238e-05
Position 60: 3.13122998185386e-05
Position 392: 2.2428255212910307e-05
Position 452: 2.219290596473333e-05
Position 68: 2.0446663135932275e-05
Position 1164: 2.017830455091689e-05
Position 161: 2.967295991016709e-06
Position 88: 2.5335552155722254e-06
Position 46: 2.352184448615757e-06
Position 179: 1.9780449208205986e-06
Position 259: 1.9242694064720376e-06
Position 74: 1.7644492812716023e-06
Position 93: 1.4097522785190327e-06
Position 198: 1.136552845981546e-06
Position 124: 1.0785309518535465e-06
Position 301: 9.89018580801376e-07
Position 1220: 6.31760305772807e-07
Position 164: 5.842294217924105e-07
Position 205: 4.947965778684463e-07
Position 191: 3.7416253425639395e-07
Position 48: 2.8015739923517926e-07
Position 129: 2.6332472516345416e-07
Position 470: 2.2420307341572153e-07
Position 433: 2.0593990624796874e-07
Position 96: 1.8165819596920444e-07
Position 115: 1.2752612998341205e-07
Position 117: 1.219281141988548e-07
Position 621: 1.1272979760076911e-07
Position 77: 1.0464540689402496e-07
Position 327: 9.81820917496841e-08
Position 591: 7.046429747243112e-08
Position 519: 5.8698707357099744e-08
Position 271: 3.399355414780259e-08
Position 912: 1.8170287359195166e-08
Position 232: 1.310839133294335e-08
Position 604: 1.1137260637874007e-08
Position 575: 1.0771937530387436e-08
Position 725: 1.0397716509193187e-08
Position 273: 4.042899265621812e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1094: 0.8470506656539527
Position 284: 0.1028068593979277
Position 342: 0.05771744408157771
Position 409: 0.034253614083695365
Position 228: 0.024726164318763497
Position 1524: 0.024381579310717025
Position 1652: 0.013185433018584552
Position 1308: 0.011919630741683078
Position 1305: 0.00640768714303154
Position 1699: 0.004764893967125806
Position 1347: 0.004492983295297431
Position 461: 0.0036288231843671468
Position 129: 0.0028057818509711337
Position 1128: 0.0022020038376621733
Position 1433: 0.002122795336915552
Position 1344: 0.002105748616667929
Position 441: 0.0018089035767719396
Position 370: 0.0017865058049942274
Position 1125: 0.0017042935433483866
Position 1233: 0.0016566040631294393
Position 1267: 0.001513926860509338
Position 1592: 0.0014385645163009068
Position 1206: 0.0014185112058536428
Position 1472: 0.0011541277866482281
Position 1565: 0.001059522342319088
Position 542: 0.0007829306550838394
Position 348: 0.0006901473286181038
Position 1723: 0.0005897972305090062
Position 1010: 0.0005812721644939045
Position 489: 0.0003728491515025697
Position 939: 0.00028047593281698785
Position 1543: 0.00022228855366164185
Position 981: 0.00022184362031625967
