Gene = Stx18
index = 1040
Annotated 5SS: [  758 53839 66252 67900 68151 77456 82558 88249 89372 96561]
Annotated 3SS: [53770 66135 67821 68083 77342 82468 88189 89301 96479 97520]
SMsplice 5SS: [  758 37878 40539 47929 49489 53839 67921 68151 72699 82558 88249 89372
 89823 96561]
SMsplice 3SS: [37802 40440 47848 49392 53770 67821 68083 72553 82468 88189 89301 89684
 96479 98716]
top_k =  500
Partition function (log Z): -51.909130452384964

Sorted 5' Splice Sites (High to Low Probability):
Position 758: 0.9575925743395245
Position 970: 0.07766970269382827
Position 87: 0.035676322583971194
Position 3602: 0.031198870426055562
Position 370: 0.024201969976679748
Position 5937: 0.01884665802212948
Position 112: 0.016941860674714794
Position 4208: 0.014002388984854876
Position 1366: 0.006390326636747559
Position 4149: 0.005589954770710226
Position 6363: 0.004697067580765327
Position 2339: 0.004376103219029982
Position 73: 0.004040473876828813
Position 6231: 0.0036908225383649102
Position 8636: 0.0036791236970807805
Position 1187: 0.0033310222172919395
Position 1024: 0.0030357298284471555
Position 6520: 0.0024368312914279473
Position 3250: 0.0021228299079832764
Position 353: 0.0017890216061023764
Position 5177: 0.0015595116872892394
Position 231: 0.001478540149972656
Position 534: 0.001118216060784817
Position 6235: 0.0008389991220047169
Position 1236: 0.0008093070154467542
Position 5719: 0.000701464329471037
Position 5510: 0.0005919525597214446
Position 193: 0.0005760224392395404
Position 1631: 0.00046349234594519954
Position 143: 0.0003941541983091358
Position 106: 0.0003170337303144471
Position 550: 0.0003092777512390857
Position 491: 0.00023276449531857852
Position 403: 0.0002300063363590628
Position 195: 0.00014897735645180276
Position 186: 0.00014488045093872162
Position 448: 0.00013862672429144516
Position 522: 0.00011513706951598333
Position 292: 0.00011059315945334555
Position 331: 0.00010064096204866438
Position 668: 9.628689639624395e-05
Position 149: 4.685014590237881e-05
Position 1778: 4.5596275521471715e-05
Position 584: 4.240288650271368e-05
Position 475: 3.6903696407829436e-05
Position 5210: 3.567867271009077e-05
Position 1417: 3.183363417220189e-05
Position 4143: 3.11014751676694e-05
Position 766: 3.0093059072965772e-05
Position 2355: 2.9824839506830275e-05
Position 211: 2.7680264584601915e-05
Position 552: 2.3370794495368473e-05
