Gene = Hddc3
index = 536
Annotated 5SS: [178]
Annotated 3SS: [6341]
SMsplice 5SS: [178]
SMsplice 3SS: [1131]
top_k =  500
Partition function (log Z): -8.281818738496211

Sorted 5' Splice Sites (High to Low Probability):
Position 178: 0.9153816281664918
Position 2151: 0.24220817641604236
Position 1512: 0.07076746286179318
Position 241: 0.06664146731524002
Position 496: 0.04943132926013454
Position 4473: 0.044102822245392775
Position 2234: 0.02963725937421004
Position 3582: 0.022967434858987064
Position 1543: 0.012809508350395831
Position 2461: 0.011779443007827
Position 1919: 0.010313893072443894
Position 33: 0.009283487402335793
Position 1916: 0.007421528758571453
Position 788: 0.007377987069558198
Position 1847: 0.0064345608336256925
Position 81: 0.005785622066889699
Position 2311: 0.005080848987483226
Position 3621: 0.004317388507650891
Position 2746: 0.003654440204924988
Position 1227: 0.0036215212534259343
Position 1722: 0.0031992641622854935
Position 888: 0.002788538712632123
Position 4419: 0.0018552866640357622
Position 1257: 0.0013787842992896903
Position 120: 0.0013574892707876418
Position 1873: 0.0008722643423501166
Position 3301: 0.0006581284457720215
Position 988: 0.0006366834299623928
Position 2039: 0.0006001004658962773
Position 1484: 0.0005998394784100259
Position 1476: 0.00046925330597590774
Position 1248: 0.00046848222686149974
Position 1048: 0.00023817583076430105
Position 12: 0.00019385101670236682
Position 245: 6.631696113764874e-05
Position 433: 4.9098934481832623e-05
Position 1169: 4.152807905542444e-05
Position 411: 3.49927837831995e-05
Position 1648: 2.094914858305275e-05
Position 1011: 1.11571142276153e-05
Position 452: 9.234502908300328e-06
Position 1495: 7.922617782312414e-06
Position 1037: 7.220558952115308e-06
Position 272: 4.0857249889584365e-06
Position 1086: 2.722150850898837e-06
Position 1346: 2.1105578782899e-06
Position 1670: 8.791177664949436e-07
Position 366: 9.724544693110606e-08
Position 24: 7.186583755454569e-08
Position 428: 3.853830182374358e-08
Position 468: 3.8305158827227274e-08
Position 264: 3.0482940225869425e-08
Position 426: 2.50515876281248e-08
Position 924: 2.2802166282595977e-08
Position 293: 2.1916851513320927e-08
Position 551: 2.0015578802308916e-08
Position 277: 1.6329439115350185e-08
Position 287: 6.184978315291301e-09
Position 328: 4.0683709331434144e-09
Position 290: 1.5274482255504717e-09
Position 322: 1.2971736349690113e-09
Position 316: 1.0190041574748443e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2023: 0.25195463846693383
Position 4557: 0.12128484200145372
Position 4351: 0.09724274648052977
Position 3393: 0.08513245367463017
Position 1397: 0.0745704137406125
Position 1131: 0.06437848383909534
Position 1420: 0.057248739330631834
Position 6446: 0.04947049418616845
Position 1721: 0.04834215339741823
Position 1868: 0.045888255007496034
Position 4938: 0.04106986032716068
Position 6341: 0.037252198358920505
Position 6244: 0.03574634372965108
Position 322: 0.03251066362369678
Position 326: 0.02894470291997245
Position 3745: 0.026831022207766463
Position 4986: 0.024992560950366057
Position 1274: 0.024349745683554136
Position 4258: 0.023463383129914632
Position 6212: 0.023147459734226942
Position 6513: 0.020763264394267865
Position 3557: 0.020487949495267034
Position 2150: 0.018490333192320026
Position 3278: 0.0168468471983613
Position 2121: 0.01578816571231252
Position 2354: 0.015470002339337251
Position 2749: 0.013971123017094205
Position 3873: 0.012529327157292325
Position 6479: 0.011950068569537502
Position 3028: 0.01108823548144225
Position 681: 0.01044408342682771
Position 1441: 0.010017831021855127
Position 5350: 0.009495747230345537
Position 834: 0.00891857227601163
Position 5293: 0.008837660446383015
Position 1380: 0.008706951611253734
Position 4139: 0.008512237073528032
Position 6014: 0.008049705678729532
Position 6498: 0.007159362971569702
Position 4440: 0.007053806703673238
Position 2254: 0.006459080137953793
Position 988: 0.0064203416042858
Position 4737: 0.005710785286688805
Position 396: 0.005662105259394243
Position 2618: 0.005096410885319164
Position 4665: 0.004647170735157441
Position 3424: 0.004192039411815358
Position 5883: 0.003919067121346001
Position 2067: 0.0035158948032057184
Position 2460: 0.0034849544273870977
Position 1794: 0.00271150302720588
Position 6369: 0.0026931306303221167
Position 924: 0.0026900083994743098
Position 2597: 0.0023924542974203765
Position 1559: 0.0023687952954160826
Position 5858: 0.0022100640007795946
Position 5426: 0.0021408809653750975
Position 362: 0.0021230285605533467
Position 423: 0.0020491091646810057
Position 4332: 0.0020319401062855844
Position 5461: 0.0020265597232380288
Position 667: 0.0019934470880504053
Position 2829: 0.0018996565400592543
Position 2402: 0.0017310330935503262
Position 3779: 0.0015274619641319751
Position 3142: 0.0015010857777874639
Position 4716: 0.0014952292215638125
Position 780: 0.0014491805790166155
Position 3213: 0.0014385275749029007
Position 2288: 0.0013789581832620574
Position 1563: 0.001272475065198201
Position 4472: 0.0011748613055052178
Position 2356: 0.0010031916081286116
Position 2075: 0.0009692633149613895
Position 3462: 0.0009155722407363767
Position 620: 0.0008800290072083722
Position 638: 0.0007403015760889933
Position 3919: 0.0006674114003744072
Position 3805: 0.0006613854193016555
Position 399: 0.0006570413138504212
Position 3686: 0.0006559879916100598
Position 1633: 0.0006269664736130202
Position 1251: 0.0006229792583113927
Position 1037: 0.0005879559836389966
Position 1080: 0.0005166211054576245
Position 1286: 0.0004961929313557211
Position 1328: 0.0004687364309307769
Position 683: 0.00043198210640688506
Position 2916: 0.00040543920548687616
Position 800: 0.00037639661438395553
Position 1846: 0.0003629998551666173
Position 1083: 0.00034908428102626275
Position 2034: 0.00033135747325032235
Position 1069: 0.0002827037162969716
Position 1001: 0.0002623447030139754
Position 841: 0.0002224563614404217
Position 240: 0.00021351933158653626
Position 359: 0.00018714138490884787
Position 949: 0.00017196411672956022
Position 366: 0.00012640425051970675
Position 1802: 9.848569496724974e-05
Position 1985: 8.916212351695483e-05
Position 695: 6.756110011401243e-05
Position 1599: 6.47894571739469e-05
Position 804: 5.944221693826513e-05
Position 815: 4.593671468487098e-05
Position 1660: 4.557459866482014e-05
Position 2192: 4.379918655919576e-05
Position 2214: 3.844366031201542e-05
Position 177: 1.1819440098630158e-05
Position 381: 5.890023513950057e-06
Position 715: 5.688838155406898e-06
Position 532: 5.385069288895952e-06
Position 559: 2.4206978538731738e-06
Position 721: 1.8720425106569074e-06
Position 448: 1.1710462825363212e-06
Position 277: 4.781560802265489e-07
Position 702: 4.1738981610696446e-07
Position 257: 3.76132317036397e-07
Position 433: 3.426806416935434e-07
Position 264: 9.2616361052925e-08
Position 103: 6.72784176070259e-08
Position 80: 5.34761748454992e-08
Position 89: 4.0048463338593256e-08
Position 452: 3.637349465157884e-08
Position 249: 3.597234579283294e-08
Position 100: 1.4534223784995622e-08
Position 132: 1.416686577760164e-08
