Gene = Ppme1
index = 844
Annotated 5SS: [  585 17040 17599 24186 24503 27356 30462 31277 33938 37260 38380 40450
 43273]
Annotated 3SS: [16945 17505 24127 24450 27200 30370 31210 33813 37129 38334 40384 43204
 44424]
SMsplice 5SS: [  585 15892 19408 24186 27356 30462 33938 37260 38380 40450 43273]
SMsplice 3SS: [15712 19230 24127 27200 30370 33813 37129 38334 40384 43204 43697]
top_k =  500
Partition function (log Z): -25.781833603343344

Sorted 5' Splice Sites (High to Low Probability):
Position 585: 0.8840997027555798
Position 15892: 0.4896023859197999
Position 2368: 0.1916907489845418
Position 974: 0.09156935431228184
Position 4571: 0.041985726568520766
Position 2668: 0.03063099145643984
Position 347: 0.02919404103196113
Position 730: 0.0074331890744149245
Position 747: 0.004551099914478766
Position 198: 0.002968874563003807
Position 432: 0.0024489035800226823
Position 1307: 0.00163869042424789
Position 4558: 0.0014789852024342646
Position 3760: 0.0012066010636323096
Position 710: 0.0011433386210945044
Position 2781: 0.0011074637334320407
Position 1768: 0.0010293354956907525
Position 2995: 0.001017620752087799
Position 7698: 0.0009535681225587901
Position 7652: 0.0007795876575112351
Position 3841: 0.0006636747752360325
Position 589: 0.0005926880747839112
Position 7648: 0.00045643462479651967
Position 468: 0.00042946356200875604
Position 2615: 0.00030525564314257174
Position 420: 0.00016743326151963633
Position 111: 0.00012132602915255028
Position 2000: 9.825567961756605e-05
Position 895: 4.3708998313426096e-05
Position 989: 2.698304883271828e-05
Position 2503: 2.4055187842452184e-05
Position 978: 2.2529503190675448e-05
Position 815: 1.809876671125669e-05
Position 31: 1.8066818209835594e-05
Position 300: 1.4607160818132073e-05
Position 173: 1.1827385978814718e-05
Position 214: 1.1768520009661513e-05
Position 459: 1.039389955504837e-05
Position 363: 8.697058463562167e-06
Position 413: 7.996148695434759e-06
Position 370: 7.344605688841828e-06
Position 423: 6.37973883316467e-06
Position 266: 5.38716800720676e-06
Position 462: 5.283551550590015e-06
Position 217: 5.1431238116871225e-06
Position 340: 5.104140268945506e-06
Position 486: 3.4837506210220694e-06
Position 1869: 2.9296777289293978e-06
Position 437: 2.6801884470370567e-06
Position 1932: 2.643863790592964e-06
Position 275: 2.409504930920462e-06
Position 1818: 2.372546156917286e-06
Position 2478: 1.7140663009331906e-06
Position 376: 1.0865053563653444e-06
Position 222: 7.776254664709992e-07
Position 286: 6.567853120504249e-07
Position 17: 3.899872772957421e-07
Position 394: 2.666228290948646e-07
Position 397: 2.548692655033117e-07
Position 236: 1.9250263981321098e-07
Position 258: 1.102380779502902e-07
Position 557: 5.682670055582859e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 15712: 0.5099359804624375
Position 16892: 0.4610227135887847
Position 16945: 0.3341665119393443
Position 2288: 0.11334875241344695
Position 19230: 0.08403648047406219
Position 2170: 0.0438290938847081
Position 4426: 0.028958842858428223
Position 2264: 0.02885674536422683
Position 2595: 0.027124297507974703
Position 7833: 0.026402954873762215
Position 863: 0.014190154212975058
Position 2529: 0.012253109161301642
Position 6119: 0.012170320610905524
Position 4474: 0.00892509606106066
Position 4706: 0.00849065753200902
Position 16145: 0.006867347153087838
Position 7566: 0.006254078660421163
Position 8641: 0.003840776805876311
Position 4349: 0.003271395576667466
Position 841: 0.0031225133721835704
Position 2367: 0.0028715397196099166
Position 8945: 0.0028388948594011937
Position 8374: 0.002553723388795133
Position 10056: 0.0025257334006307417
Position 548: 0.0024721176013452854
Position 3687: 0.002420305056976938
Position 2217: 0.0023354316867567
Position 799: 0.002201175969965736
Position 12932: 0.0021865414619109225
Position 4890: 0.0020740625338771
Position 4312: 0.0018713085425668952
Position 2191: 0.0018035613063809555
Position 4378: 0.0017472231638471373
Position 746: 0.0012396103384085305
Position 2301: 0.001210134043091938
Position 1655: 0.0011301602671690396
Position 2222: 0.001032230227907189
Position 2809: 0.0009396732438761223
Position 8982: 0.0009235606333348235
Position 4438: 0.000861773611704306
Position 3104: 0.0008494610674803529
Position 808: 0.0007755736002525803
Position 5757: 0.000699218589721352
Position 3231: 0.0006187603952068054
Position 6209: 0.0005278939242185808
Position 3156: 0.0005273113271126876
Position 10010: 0.0005266467434413831
Position 8894: 0.000524813996001558
Position 814: 0.0005129798052433954
Position 6503: 0.0005049888774614883
Position 10246: 0.00048257253174400025
Position 503: 0.0004674992359219448
Position 610: 0.00046310172502086685
Position 8928: 0.0004296562458657099
Position 9065: 0.000388859095447227
Position 2915: 0.0003666215215568131
Position 2503: 0.00031142304962368896
Position 7814: 0.0002874931058712213
Position 796: 0.00028707282619952436
Position 2667: 0.00028041370189914354
Position 830: 0.0002627461819346678
Position 885: 0.00025211058505956134
Position 7633: 0.0002499346092016083
Position 654: 0.0002464236452075785
Position 5690: 0.0002379477033805087
Position 6771: 0.0002358672861917712
Position 3415: 0.00022574152129847233
Position 4711: 0.0002069388032286211
Position 3615: 0.00020248875487018656
Position 7416: 0.00018906786774203462
Position 7194: 0.00018426759627952118
Position 7488: 0.00017851162681920558
Position 4865: 0.00016786038761547502
Position 1661: 0.00016716159505175863
Position 866: 0.00016496690344988804
Position 6545: 0.00015730832228881536
Position 7894: 0.00015647733998917223
Position 7503: 0.0001477112674681864
Position 5374: 0.0001404034092939089
Position 6661: 0.00013644336682847223
Position 4015: 0.000132348374402163
Position 887: 0.00012196416942558143
Position 6456: 0.0001192042175078112
Position 3247: 0.00010060272963427995
Position 2411: 0.00010006764191175074
Position 1844: 9.589028800564458e-05
Position 3725: 7.392071467864101e-05
Position 383: 7.282025206634293e-05
Position 1255: 6.92071655560072e-05
Position 5639: 5.829281365389309e-05
Position 2614: 5.508324242846772e-05
Position 5349: 5.055069994911277e-05
Position 5135: 4.975625666897191e-05
Position 1538: 4.4099437121983784e-05
Position 3922: 4.123831081989126e-05
Position 3276: 3.6425312461900996e-05
