Gene = A330070K13Rik
index = 77
Annotated 5SS: [ 215 3447]
Annotated 3SS: [3304 5504]
SMsplice 5SS: [215]
SMsplice 3SS: [2316]
top_k =  500
Partition function (log Z): -10.778086108085809

Sorted 5' Splice Sites (High to Low Probability):
Position 215: 0.6192188716973069
Position 3447: 0.441392392464309
Position 286: 0.16563910478342997
Position 107: 0.1099738969815008
Position 2406: 0.10044049083046963
Position 2412: 0.09081482677874592
Position 193: 0.07297300364931442
Position 1098: 0.03605916166638218
Position 5607: 0.01694565858808572
Position 5422: 0.010586209736720854
Position 2845: 0.009899195386438922
Position 5410: 0.006496906721241127
Position 4015: 0.004534537635283888
Position 174: 0.0027977284475689534
Position 334: 0.002578173520075153
Position 1082: 0.002311682894042813
Position 2087: 0.0017677294732665874
Position 5173: 0.0017247809143881919
Position 1553: 0.0012419183239322674
Position 1670: 0.0011088024641185907
Position 5100: 0.0009008862047378979
Position 3676: 0.0008439925798655946
Position 1935: 0.0006027899824593717
Position 1376: 0.0005917275813452324
Position 219: 0.0002837405057760286
Position 227: 0.00027025089482154307
Position 1992: 0.00023040660038207912
Position 2208: 0.00023027914788192555
Position 2451: 0.00021055685489650106
Position 157: 8.934720531495595e-05
Position 849: 7.095979856969135e-05
Position 239: 6.22459799132592e-05
Position 1748: 5.433304321168123e-05
Position 101: 5.024977121276053e-05
Position 594: 4.4367202189045e-05
Position 146: 4.247518078364952e-05
Position 1079: 3.953572080228554e-05
Position 1999: 3.8832002541494755e-05
Position 385: 3.567696764413262e-05
Position 1699: 3.311719244635067e-05
Position 854: 2.4461920312717054e-05
Position 1796: 2.1371898596070365e-05
Position 150: 6.279248960839339e-07
Position 550: 6.106669482227204e-07
Position 354: 5.153450366283471e-07
Position 371: 4.130667380025159e-07
Position 344: 3.59159890902275e-07
Position 398: 3.102574792128195e-07
Position 305: 2.4792336001653855e-07
Position 568: 2.4425401517408347e-07
Position 360: 1.9353711777024186e-07
Position 446: 1.8285722528387735e-07
Position 574: 5.6120851264969686e-08
Position 45: 1.3208738119189848e-08
Position 582: 4.082302667859041e-09
Position 391: 5.636774435977576e-10
Position 509: 5.02325670312934e-10
Position 486: 4.745750329932777e-10
Position 548: 3.6789629241378774e-10
Position 440: 3.557192501687359e-10
