Gene = Snapin
index = 996
Annotated 5SS: [202 486 880]
Annotated 3SS: [ 438  760 1439]
SMsplice 5SS: [202 486 880]
SMsplice 3SS: [ 438  760 1439]
top_k =  500
Partition function (log Z): -1.1733406934663018

Sorted 5' Splice Sites (High to Low Probability):
Position 880: 0.9887003921726419
Position 486: 0.7519811859173544
Position 202: 0.6384065779629384
Position 197: 0.1450027199017675
Position 647: 0.04295450201154673
Position 1569: 0.02378744657614586
Position 330: 0.020028140292725198
Position 1595: 0.01758355647768716
Position 308: 0.01307066134818462
Position 1561: 0.00904057428458421
Position 349: 0.007482195851745721
Position 490: 0.004967431000929768
Position 167: 0.0047689599127211475
Position 676: 0.004666540259596362
Position 188: 0.004121437272876583
Position 214: 0.003287881442037905
Position 549: 0.0030666914332970314
Position 1334: 0.002809953330290368
Position 1787: 0.0026539379356702118
Position 2016: 0.002645137419015748
Position 1552: 0.001926529251144905
Position 1687: 0.0018791500848794737
Position 853: 0.0018604528731497368
Position 2567: 0.0015255369103884776
Position 2139: 0.001467687501223614
Position 343: 0.0007648283635884267
Position 1620: 0.0005769048038617765
Position 1321: 0.0005454567815955033
Position 2556: 0.00043853373497270933
Position 1525: 0.00040285482946480946
Position 247: 0.0003753450272135785
Position 1244: 0.0003031366023716873
Position 653: 0.00027178451820774675
Position 539: 0.0002709040090228043
Position 2757: 0.00020020958739290853
Position 844: 0.00018864255013411
Position 649: 0.00014155871371417217
Position 449: 0.00011560190950939375
Position 896: 9.276286242367637e-05
Position 72: 8.035257584322416e-05
Position 1361: 7.945975960350073e-05
Position 1512: 7.622265448698718e-05
Position 363: 6.288819352072735e-05
Position 955: 6.27964726231832e-05
Position 151: 6.274672898672754e-05
Position 930: 5.6083067306892195e-05
Position 1626: 3.509063222202301e-05
Position 297: 2.41684790796938e-05
Position 4: 2.095007519135208e-05
Position 561: 1.9605212843106237e-05
Position 790: 1.8853310049284756e-05
Position 52: 1.5710078852194512e-05
Position 85: 1.2345951091279553e-05
Position 43: 1.2067626297784213e-05
Position 396: 1.0564905935998713e-05
Position 104: 5.259830957202784e-06
Position 387: 5.249722535848848e-06
Position 11: 4.083216083345145e-06
Position 357: 3.256319045601798e-06
Position 412: 2.608638669422085e-06
Position 378: 2.1850832335930346e-06
Position 1665: 2.0214426195793497e-06
Position 83: 2.0141401852611236e-06
Position 567: 1.0600075967706395e-06
Position 1305: 9.93784283785112e-07
Position 1454: 9.706062393429413e-07
Position 1653: 9.684357694090176e-07
Position 2166: 8.841794833475801e-07
Position 735: 6.941919008693242e-07
Position 847: 6.772329469964574e-07
Position 1912: 6.274511533856894e-07
Position 814: 4.2401496051083423e-07
Position 1086: 1.8780301494201922e-07
Position 1181: 1.6231901464747546e-07
Position 1590: 1.078849011718484e-07
Position 1232: 7.990225672026294e-08
Position 927: 7.299632495194577e-08
Position 1110: 5.404318574781808e-08
Position 402: 2.449590134508085e-09
Position 425: 2.1887945933939405e-09
Position 415: 1.3935460940587062e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1439: 0.9552368428435771
Position 760: 0.9527537257384113
Position 438: 0.3848325668856282
Position 418: 0.1366353862383225
Position 402: 0.07447000317854092
Position 2058: 0.026963241576440193
Position 625: 0.023618043837128115
Position 712: 0.01892718393288245
Position 2261: 0.017086184241637083
Position 2693: 0.01648904014560199
Position 548: 0.015336619869507722
Position 588: 0.015159250749824637
Position 1215: 0.011055986532774847
Position 2856: 0.008849981781237587
Position 555: 0.0062630235501121
Position 2002: 0.006218264081731359
Position 1668: 0.005992548390324758
Position 363: 0.003979525657858088
Position 381: 0.0029393425274682273
Position 2109: 0.0027385699089089305
Position 2199: 0.002247422257354987
Position 1164: 0.002232114845398484
Position 1829: 0.0016913648431289082
Position 2456: 0.0014803867927333809
Position 315: 0.001118485334033529
Position 1249: 0.0011067209925835588
Position 1903: 0.0009773588414990833
Position 2872: 0.0006749994159014721
Position 786: 0.0006663405184556068
Position 1465: 0.0005597854607540115
Position 1534: 0.0005579762556216735
Position 2966: 0.0005577754831641057
Position 2741: 0.0004898600757465523
Position 2700: 0.00043347868988614376
Position 1405: 0.00042480045470020124
