Gene = Cend1
index = 243
Annotated 5SS: [175]
Annotated 3SS: [1487]
SMsplice 5SS: [175]
SMsplice 3SS: [1015]
top_k =  500
Partition function (log Z): -7.742223080226166

Sorted 5' Splice Sites (High to Low Probability):
Position 175: 0.6213999017036295
Position 217: 0.34180210141042705
Position 704: 0.1346119622252339
Position 362: 0.031239577603886712
Position 1634: 0.025401169710735298
Position 536: 0.004079241208238242
Position 856: 0.004075026198317868
Position 469: 0.0039008216131140114
Position 1507: 0.002286543192843786
Position 1170: 0.0022696497625196575
Position 552: 0.001703413116669514
Position 611: 0.0015945634857678103
Position 2830: 0.0012583642673310179
Position 915: 0.0012377339688519032
Position 1225: 0.0009449911492712521
Position 277: 0.0005804262131842612
Position 709: 0.0005164678553520076
Position 1131: 0.0004844557434047899
Position 511: 0.00048194277115590927
Position 1253: 0.0004620569551133311
Position 101: 0.00034837026745025343
Position 619: 0.00021695781484304066
Position 1445: 0.0001601552861621006
Position 937: 0.0001411383165919363
Position 294: 0.0001303434898095827
Position 201: 0.00012818438690277118
Position 1211: 0.000117297502094566
Position 824: 0.00010739162942714441
Position 604: 7.498988229870881e-05
Position 1105: 1.3243288368334227e-05
Position 222: 1.122149068786026e-05
Position 24: 6.945026322753821e-06
Position 444: 6.809577241693726e-06
Position 1088: 5.943264856719242e-06
Position 476: 5.585655070683221e-06
Position 44: 4.37301892799784e-06
Position 513: 3.7131751267526477e-06
Position 496: 3.3376381045537264e-06
Position 241: 2.7495976709643874e-06
Position 4: 2.6769208331518254e-06
Position 366: 2.365279257938343e-06
Position 2468: 2.1473136143769354e-06
Position 257: 1.6715829774215073e-06
Position 131: 1.6626985373735801e-06
Position 405: 1.4960383586593628e-06
Position 69: 8.772315058510557e-07
Position 723: 2.8864777967336787e-07
Position 674: 9.135283930355718e-08
Position 52: 5.2875643618136506e-08
Position 66: 5.164835907206211e-08
Position 286: 3.6386272193690494e-08
Position 246: 2.1107263819736552e-08
Position 123: 8.832600993530327e-09
Position 76: 7.385709587573152e-09
Position 484: 1.2929637738272661e-09
Position 391: 1.1243049835703988e-09
Position 346: 8.395080012499647e-10
Position 260: 7.155148058354051e-10
Position 534: 2.4262788826864545e-11
Position 289: 7.67424529005394e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1015: 0.41935810299279885
Position 1487: 0.15036694842947876
Position 766: 0.1495444893899506
Position 602: 0.13681979481412165
Position 2586: 0.03429530077935019
Position 1214: 0.032167189854974
Position 2857: 0.023581026284001726
Position 2421: 0.023305418414560485
Position 965: 0.02262299291931677
Position 2021: 0.017829899183611508
Position 2638: 0.013609782717848977
Position 937: 0.011394828014596093
Position 1161: 0.009797453798908779
Position 534: 0.00978533196712998
Position 2598: 0.009306440886109785
Position 1967: 0.009137124015051694
Position 1067: 0.007336738124428289
Position 2923: 0.007243806808622664
Position 1535: 0.006203582231627156
Position 1812: 0.0058188504882527615
Position 2811: 0.005343018706294054
Position 723: 0.005251079612745116
Position 429: 0.004421177900642269
Position 2239: 0.00440946336308543
Position 2418: 0.004355150884961837
Position 447: 0.003956888426023041
Position 2490: 0.0038342615662727026
Position 439: 0.0034616726340301746
Position 771: 0.003171045269948564
Position 2381: 0.003002407778691595
Position 276: 0.002627456685818792
Position 1168: 0.0019113915659469158
Position 2790: 0.0018932285128546624
Position 320: 0.0018130493685492087
Position 1566: 0.0016396797908081898
Position 2885: 0.0015158821556407185
Position 732: 0.0014963653124457133
Position 658: 0.0013188216419192913
Position 1771: 0.0012503464908595163
Position 637: 0.001175932586775274
Position 1994: 0.00099366616475697
Position 1546: 0.0009876255949529088
Position 1724: 0.0009751342172234356
Position 254: 0.0009539339421610526
Position 967: 0.000850777606743139
Position 1732: 0.0008138427499102923
Position 1711: 0.00079818313910504
Position 257: 0.000796073046006373
Position 1314: 0.0007919097244863797
Position 683: 0.0007781902543822391
Position 1504: 0.000765168307743595
Position 323: 0.0007439045868676579
Position 1699: 0.0007401457522810903
Position 2049: 0.0006947528164010781
Position 2200: 0.0006804600111554509
Position 1422: 0.0006779982518406094
Position 2900: 0.0006559839684264048
Position 2983: 0.0006094029935135065
Position 1757: 0.0006005485393793115
Position 1573: 0.0005919820862045393
Position 2197: 0.0005345814654678816
Position 2948: 0.0004826646871758771
Position 1281: 0.00045560955126651746
Position 1871: 0.0004428765858061712
Position 476: 0.0004292554449160064
Position 583: 0.00041431418854590734
Position 1642: 0.00037576541179705123
Position 1192: 0.00035471066542636315
Position 687: 0.0003421208760472936
Position 2341: 0.0003141888348822537
Position 2255: 0.00029661296641107126
Position 454: 0.000286625128131624
Position 641: 0.000280474825937357
Position 260: 0.00023887369852298052
Position 2466: 0.00023285838536998726
Position 2289: 0.00023157670155053413
Position 2266: 0.00022518472255984317
Position 468: 0.00020968427778050023
Position 628: 0.00020922267980982
Position 1649: 0.00019852074065848787
Position 2643: 0.00019842939618448753
Position 2684: 0.0001918580470662248
Position 1370: 0.0001726122581653598
Position 1302: 0.00016824255262687604
Position 1511: 0.00015220834303945308
Position 2861: 0.00015151995119211273
Position 1660: 0.0001321520335493708
Position 655: 0.0001237000501943847
Position 1047: 0.00011996030357424259
Position 1708: 0.00011842264832292978
Position 1603: 0.00011163101032105582
Position 610: 0.00010592490550804337
Position 745: 8.114623591631724e-05
Position 836: 7.948434094091584e-05
Position 337: 5.880670066863732e-05
Position 391: 5.5249024316397466e-05
Position 386: 5.330794504606273e-05
Position 566: 4.309862530497226e-05
Position 674: 3.9516633017740384e-05
Position 339: 3.8064895412373045e-05
Position 585: 2.5172839942803948e-05
Position 298: 2.4590292942872695e-05
Position 644: 2.227594825421824e-05
Position 1424: 2.0004669108757438e-05
Position 618: 1.9219023247678976e-05
Position 614: 1.4937007572631213e-05
Position 457: 1.4916795018030159e-05
Position 1428: 1.2646875078512864e-05
Position 110: 1.2488536341661597e-05
Position 572: 1.151851296980596e-05
Position 358: 8.686512300028316e-06
Position 342: 8.144713714475661e-06
Position 694: 4.10632494812148e-06
Position 1506: 3.3694619762705294e-06
Position 136: 2.099872874482813e-06
Position 374: 1.5224447483998365e-06
Position 1340: 9.397944119958293e-07
Position 353: 8.252522409892124e-07
Position 366: 2.548255236386283e-07
Position 66: 2.2499901648603777e-07
Position 371: 2.183346491188696e-07
Position 346: 1.6996408373229983e-07
Position 172: 3.776846465732057e-08
Position 207: 2.426938642758871e-08
Position 91: 1.9512585981423516e-08
Position 333: 1.6183391107909565e-08
Position 186: 1.0775683443492635e-08
Position 147: 7.248964039841748e-09
Position 179: 6.6824597989495965e-09
Position 220: 4.105815901838112e-10
Position 169: 1.7994054730958425e-11
Position 216: 1.4383595538248824e-11
Position 197: 1.0139344540534423e-11
Position 154: 3.191001808018155e-12
Position 160: 1.977758842213397e-12
