Gene = Ddias
index = 327
Annotated 5SS: [  107  1486  7677 11923 12848]
Annotated 3SS: [ 1402  7547 11760 12729 13934]
SMsplice 5SS: [  107  1486  6136  7677 11923 12848]
SMsplice 3SS: [ 1402  6048  7547 11760 12729 13934]
top_k =  500
Partition function (log Z): 0.3157309755498461

Sorted 5' Splice Sites (High to Low Probability):
Position 11923: 0.9970887617450535
Position 107: 0.9875650996938757
Position 12848: 0.8743295496225919
Position 6136: 0.7888464371161237
Position 7677: 0.7705176436382792
Position 1486: 0.6921873284900901
Position 5974: 0.3054037099763664
Position 6802: 0.20233519761816562
Position 7644: 0.18015205167102402
Position 2098: 0.16527715673539078
Position 9570: 0.14565258802543216
Position 12422: 0.12748830138510933
Position 6570: 0.09557022082669275
Position 8860: 0.09229593440983846
Position 3784: 0.08051322061998814
Position 8927: 0.06232356752923156
Position 13993: 0.05962423557471865
Position 9985: 0.051598847524774845
Position 15010: 0.05060415926466328
Position 365: 0.04735831935672071
Position 12584: 0.03764261267831816
Position 7426: 0.03394962242559862
Position 8120: 0.03284849186743008
Position 9586: 0.031094714019807682
Position 7430: 0.02916648353925905
Position 7779: 0.02698129431554231
Position 8872: 0.02447516370765131
Position 8125: 0.020815866719319624
Position 1325: 0.01925335280883794
Position 8188: 0.019028564022791652
Position 10248: 0.01787677602863812
Position 12154: 0.017353062602283538
Position 1222: 0.01662127013555309
Position 378: 0.012603138350176344
Position 12691: 0.012391428877882502
Position 12730: 0.011368299132102673
Position 393: 0.010484485250269595
Position 9016: 0.010192016938705438
Position 14851: 0.009832895996239887
Position 9839: 0.00962825808901483
Position 9434: 0.007250645901532971
Position 4448: 0.0068235786398449134
Position 8163: 0.006604196893837379
Position 2677: 0.006180985228808842
Position 14806: 0.004677377870707581
Position 12643: 0.004645003395763606
Position 231: 0.0044705318745984325
Position 6087: 0.004369238067273497
Position 7162: 0.004294866027055339
Position 6123: 0.004119202264075663
Position 453: 0.0038801930333361807
Position 273: 0.003494409572602455
Position 12842: 0.003450142087027841
Position 3344: 0.0033782597918171043
Position 476: 0.0026765705518313845
Position 15085: 0.0025388474568454732
Position 3210: 0.002512533497734639
Position 13190: 0.001918993332689258
Position 6175: 0.0017099572238569432
Position 613: 0.001429082042231663
Position 12372: 0.0010506161355295664
Position 5562: 0.0010437620302834395
Position 8580: 0.001029941468486075
Position 13743: 0.000976662683176153
Position 15740: 0.0008988316991993168
Position 3771: 0.0008287760495997639
Position 960: 0.0007399497505318173
Position 5035: 0.0007027216286755461
Position 3227: 0.0006370749701584533
Position 8779: 0.0006064159677956443
Position 3775: 0.0005711796719925423
Position 3847: 0.0004970044859312563
Position 585: 0.00047604355317378363
Position 1732: 0.0004107508199509639
Position 993: 0.00038074373975712
Position 588: 0.0003536281332081157
Position 244: 0.00034837081661098367
Position 436: 0.00031949863421117087
Position 1020: 0.0002865327877076085
Position 91: 0.0002817865316253329
Position 12392: 0.00023186568019142225
Position 448: 0.00022834561088256857
Position 170: 0.00018589093876636575
Position 185: 0.0001545890295486149
Position 7683: 0.00015272200490390304
Position 357: 0.00014471604152951057
Position 1703: 0.00012644001705706582
Position 74: 0.00011834272515985244
Position 213: 0.00010201543488541779
Position 579: 9.851097559436266e-05
Position 964: 9.076011939489221e-05
Position 1710: 8.98492290940005e-05
Position 371: 7.330351121852019e-05
Position 7791: 6.546102523497804e-05
Position 145: 6.377840732684642e-05
Position 810: 5.448834894271405e-05
Position 1443: 4.806071179908148e-05
Position 1490: 4.609344400127846e-05
Position 87: 4.572319565153832e-05
Position 2987: 4.1237194254990835e-05
Position 291: 3.4793638442632905e-05
Position 12895: 2.843734707166914e-05
Position 701: 2.5702603086628785e-05
Position 1717: 1.7676594533564857e-05
Position 12881: 1.6147767622216936e-05
Position 12932: 1.5562543789573955e-05
Position 1547: 1.2486715706016472e-05
Position 12998: 1.1304949511887512e-05
Position 1559: 1.0718904408530004e-05
Position 2900: 6.8446120606143875e-06
Position 3232: 5.79721818313648e-06
Position 2040: 3.7232576756396127e-06
