Gene = Bud23
index = 190
Annotated 5SS: [  143   653   783  3418  3594  3933  5560  7047  7825  8328  8639 11118]
Annotated 3SS: [  490   744  3321  3510  3835  5462  6995  7738  8281  8579 11027 11241]
SMsplice 5SS: [  653   886  3418  3594  3933  5560  7047  7384  7825  8639 11118]
SMsplice 3SS: [  744  3321  3510  3835  5462  6995  7230  7738  8493 11027 11241]
top_k =  500
Partition function (log Z): 11.138342084898497

Sorted 5' Splice Sites (High to Low Probability):
Position 11118: 0.9553538778031202
Position 8639: 0.8815966996743585
Position 653: 0.8784258248619053
Position 7825: 0.8330215092036335
Position 5560: 0.822916208712579
Position 886: 0.7830430202978513
Position 3594: 0.6679820131216498
Position 143: 0.6603594978105763
Position 7047: 0.6418661520371134
Position 3418: 0.6224459966565637
Position 3933: 0.5335606875445982
Position 7384: 0.45569258991390627
Position 8328: 0.42261384734609797
Position 7055: 0.2639260185027387
Position 3390: 0.2439834885600023
Position 9344: 0.19131939440107293
Position 9338: 0.14023310278278373
Position 10753: 0.13621591294556748
Position 2989: 0.12746083347160475
Position 7422: 0.08865305974103169
Position 8398: 0.08692227727704066
Position 10526: 0.0777240085381313
Position 2878: 0.07126945278776303
Position 227: 0.0699862273430223
Position 8449: 0.06252697245148714
Position 9334: 0.05365449916582924
Position 7231: 0.05125955110642007
Position 302: 0.0467554625581092
Position 5604: 0.04592212592219525
Position 1099: 0.04369341513211185
Position 1639: 0.038315902904271705
Position 1071: 0.028140330025653006
Position 1588: 0.026892006394127543
Position 9271: 0.024296834907755804
Position 669: 0.020930446186180715
Position 5624: 0.019777384104963828
Position 819: 0.019677558846806754
Position 3423: 0.01911568746447534
Position 833: 0.01864593835829705
Position 2129: 0.01809449357576619
Position 8644: 0.017332953549671105
Position 8197: 0.016046012017840387
Position 3406: 0.01558588488732259
Position 882: 0.015567062567951647
Position 10170: 0.014879512304212346
Position 783: 0.013877597212840188
Position 7595: 0.01384560327579682
Position 880: 0.01309358373749671
Position 230: 0.012358320285311985
Position 209: 0.012289840253359342
Position 294: 0.01176851612466911
Position 5842: 0.010755332159183591
Position 1011: 0.009578919582353622
Position 8542: 0.009553319967206455
Position 867: 0.008697388054325118
Position 6304: 0.008672054838307845
Position 8012: 0.008546112302065933
Position 8193: 0.00787406877697636
Position 7370: 0.007217617209823817
Position 851: 0.007156055355580484
Position 2245: 0.0069792240474028525
Position 890: 0.006329758158101674
Position 5158: 0.0062739479058130316
Position 7841: 0.005293747993669459
Position 2058: 0.005278106282568954
Position 3438: 0.004970052621103283
Position 1066: 0.004776481210381314
Position 7923: 0.004771315965048963
Position 3682: 0.0047392044252958015
Position 8632: 0.004735554159594733
Position 2039: 0.004130562671787833
Position 892: 0.0040441505952871
Position 6138: 0.003633084936269254
Position 1007: 0.003616830128278858
Position 9061: 0.0035049152906764594
Position 5564: 0.003335975130424311
Position 10522: 0.0031761365319394738
Position 955: 0.0029138170801976107
Position 1795: 0.0028667278782805467
Position 4788: 0.002694087726680444
Position 70: 0.002337226004155488
Position 2980: 0.002279869515481853
Position 9091: 0.0021762604952476057
Position 5352: 0.0020081022916298686
Position 2754: 0.0016523333744317748
Position 3131: 0.0016237245300480942
Position 9151: 0.00119563522199616
Position 2162: 0.0011255476910676054
Position 2509: 0.000971644287979409
Position 7141: 0.0009713475514919465
Position 7239: 0.0009690551855099717
Position 3563: 0.0009361582875753759
Position 2044: 0.0008432531444560992
Position 5526: 0.0008230916894182072
Position 894: 0.0007088651328873795
Position 9121: 0.000694681201583609
Position 4730: 0.0006799012565292875
Position 9181: 0.0006640919670989966
Position 8859: 0.0006631122025709495
Position 523: 0.0005811553957366938
Position 379: 0.0005571529713446445
Position 896: 0.0005320401889801434
Position 898: 0.0005147642948511365
Position 2849: 0.0004995244948145247
Position 80: 0.0004930079172501208
Position 3378: 0.0004421320451948727
Position 10029: 0.0004420358325961752
Position 5608: 0.0004383216609449227
Position 1616: 0.00042417447118134907
Position 900: 0.0003394300734275008
Position 3598: 0.00032634185032064453
Position 3640: 0.00032464425740323026
Position 5547: 0.0003135138464050056
Position 194: 0.00026551313625797294
Position 1528: 0.0002337555006207104
Position 2769: 0.0001671059848886144
Position 675: 0.0001656501766825642
Position 902: 0.00016098971720222485
Position 126: 0.00011408451427823828
Position 5600: 0.00011202529763170994
Position 5933: 0.0001068741577625995
Position 3659: 0.0001000204561661816
Position 11246: 9.024115782556091e-05
Position 615: 8.905654332651325e-05
Position 3600: 8.78462210837883e-05
Position 11122: 8.386377222480734e-05
Position 162: 6.837826848438422e-05
Position 86: 6.086351451422572e-05
Position 2074: 6.0164864421840174e-05
Position 476: 4.0378039901817634e-05
Position 247: 4.006975619115399e-05
Position 255: 3.405307349341787e-05
Position 387: 3.323219319856791e-05
Position 104: 3.316493449894082e-05
Position 1608: 2.7105770337264805e-05
Position 416: 1.688152931241183e-05
Position 306: 1.097385500466294e-05
Position 8: 5.7768524386191e-06
Position 580: 2.5944028232990393e-06
Position 261: 1.9360746720807607e-07
Position 48: 1.9344951785041144e-07
Position 561: 1.257343725810376e-07
Position 6: 1.2174527291913982e-07
Position 330: 9.326975738064403e-08
Position 800: 1.6850240073534063e-08
Position 10298: 1.1572196463794438e-08
Position 588: 7.687530154451998e-09
Position 10703: 5.7578167984162135e-09
Position 419: 5.289904362512895e-09
Position 570: 4.082980638938185e-09
Position 553: 1.1767593335939441e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 11241: 0.9777235135641997
Position 744: 0.9634678779963245
Position 6995: 0.9178741273447637
Position 11027: 0.9004755219423628
Position 8493: 0.7895964175842886
Position 5462: 0.7748145249125254
Position 7738: 0.7746327741140596
Position 3321: 0.6265572800106486
Position 3510: 0.5938856128706466
Position 8281: 0.5719663253239096
Position 7230: 0.5377910714218359
Position 3835: 0.4695154315555586
Position 9268: 0.41292630019805837
Position 3268: 0.35535753097673284
Position 543: 0.21638277785868262
Position 586: 0.182812099791679
Position 10596: 0.13464369614489236
Position 2668: 0.12224679752525128
Position 570: 0.12141262461982627
Position 490: 0.10949485145133209
Position 8579: 0.09640311059347074
Position 5478: 0.09281765267076879
Position 10388: 0.07809592065319854
Position 11000: 0.05501240017154534
Position 1499: 0.051700336493404886
Position 559: 0.04738556322491911
Position 3803: 0.044973310296717924
Position 2747: 0.037297553152014065
Position 7552: 0.036659772689286996
Position 2865: 0.035749583238360104
Position 7606: 0.029341748833284068
Position 5444: 0.027486801100893705
Position 3784: 0.017979663399634985
Position 7479: 0.0172928751605193
Position 6933: 0.01672566533610141
Position 2028: 0.016416892135459094
Position 6958: 0.015732990132785833
Position 7947: 0.015268895000406414
Position 510: 0.015217723188271191
