Gene = Kcne4
index = 604
Annotated 5SS: [239]
Annotated 3SS: [852]
SMsplice 5SS: [239 970]
SMsplice 3SS: [ 852 1295]
top_k =  500
Partition function (log Z): -2.9281929677728775

Sorted 5' Splice Sites (High to Low Probability):
Position 239: 0.9948929930280442
Position 970: 0.8522303958853051
Position 1412: 0.3318590777514486
Position 1402: 0.3178805910708302
Position 1808: 0.27604824774622
Position 1420: 0.23379459772987105
Position 1926: 0.1963497924572388
Position 2023: 0.07360137951746902
Position 1160: 0.04024411293883891
Position 1170: 0.024145736338131146
Position 2118: 0.02285874731356062
Position 958: 0.012249826751765261
Position 944: 0.009284216452200835
Position 1633: 0.006079788361699361
Position 951: 0.004856963363837623
Position 701: 0.003053472740322734
Position 2779: 0.002829450757722925
Position 464: 0.001549969175225435
Position 612: 0.0013167882526527157
Position 326: 0.0012311707652115824
Position 1871: 0.0011000755713049478
Position 2124: 0.0010077254578524128
Position 2334: 0.0008664771609023672
Position 1558: 0.0006713869488439949
Position 864: 0.0006078041746255757
Position 1692: 0.0005603358762372949
Position 1091: 0.0005041250721188904
Position 228: 0.00046639602837225604
Position 1637: 0.00038282808137577075
Position 448: 0.0003802891447714004
Position 999: 0.0003723317380179099
Position 1094: 0.00028613065441010483
Position 1148: 0.00028060153147419333
Position 243: 0.00024195665709726865
Position 1002: 0.0002298686111007149
Position 80: 0.00022756915069981694
Position 1076: 0.00021717039618392633
Position 497: 0.00021229569723955257
Position 1644: 0.00020130944811559497
Position 370: 0.00014617264365388098
Position 967: 0.0001405194464760152
Position 207: 0.0001253848734672937
Position 457: 0.0001195897006786396
Position 1115: 9.452022970298647e-05
Position 77: 8.955393696780185e-05
Position 102: 8.011873221202016e-05
Position 1217: 7.827901092919749e-05
Position 755: 7.258199753933129e-05
Position 1020: 7.207231804568737e-05
Position 1251: 6.82967373973035e-05
Position 1007: 5.4201145191224025e-05
Position 821: 4.291010898659807e-05
Position 1201: 3.762225002452001e-05
Position 375: 3.538132343579555e-05
Position 1354: 3.276389782450801e-05
Position 45: 3.263553086400277e-05
Position 828: 3.1861630303573066e-05
Position 16: 3.0332889487089527e-05
Position 150: 2.8750202279726698e-05
Position 757: 2.3918925716761286e-05
Position 1203: 2.2824871524921564e-05
Position 584: 1.724892193230789e-05
Position 67: 1.5733184163960052e-05
Position 715: 1.0729449502635216e-05
Position 25: 9.749216366046193e-06
Position 789: 7.378751175270911e-06
Position 304: 7.075433928192887e-06
Position 588: 6.9400051325717574e-06
Position 508: 6.096704171262036e-06
Position 482: 5.927257765352518e-06
Position 348: 5.525361637693879e-06
Position 286: 4.230866079395239e-06
Position 199: 4.076692757347282e-06
Position 506: 3.0620962459707376e-06
