Gene = Wfs1
index = 1191
Annotated 5SS: [  340  7148 12322 13735 15472 16020 17648]
Annotated 3SS: [ 6907 12238 13589 15300 15938 17495 20526]
SMsplice 5SS: [  340  7148 12322 13735 15472 15686 16020 17648]
SMsplice 3SS: [ 6907 12238 13589 15300 15612 15938 17581 20526]
top_k =  500
Partition function (log Z): 13.62885977653037

Sorted 5' Splice Sites (High to Low Probability):
Position 7148: 0.9994873123021984
Position 17648: 0.998763802275667
Position 340: 0.9984643173905504
Position 13735: 0.9763801522353285
Position 12322: 0.974107786726165
Position 16020: 0.8950334072240971
Position 15472: 0.8269942157532276
Position 15686: 0.6288148403953254
Position 1741: 0.6080976956207175
Position 1441: 0.5931819908447808
Position 16292: 0.5523132742774249
Position 3719: 0.532258282249155
Position 3408: 0.46657121515666344
Position 8489: 0.3353981282502385
Position 15174: 0.3345374161685532
Position 18003: 0.2777148012068807
Position 6604: 0.2568079877518155
Position 14950: 0.22912460894078218
Position 12696: 0.19332734020668177
Position 18147: 0.1299459399087787
Position 19683: 0.12497621917511262
Position 10001: 0.12165941443098935
Position 10293: 0.10900180632488149
Position 10485: 0.10587751805195486
Position 3069: 0.10102891878467127
Position 9832: 0.09737722987390383
Position 15459: 0.08295319337214746
Position 11963: 0.06143920073135212
Position 16024: 0.04619780164271848
Position 19520: 0.045900878800146656
Position 13356: 0.04573046132936831
Position 17477: 0.043942171634657134
Position 15423: 0.04281203334725447
Position 16573: 0.038845858109525566
Position 20153: 0.03663114915147866
Position 16250: 0.03448943797169837
Position 19394: 0.03234247351328474
Position 1564: 0.03205811596838051
Position 11984: 0.029952681668816684
Position 13981: 0.026751218932857115
Position 8612: 0.024694896110305474
Position 15725: 0.024109965294336226
Position 17452: 0.023302349650718545
Position 14064: 0.022485959160888823
Position 12806: 0.02229916359873726
Position 815: 0.02072040209129917
Position 14029: 0.020541376414269556
Position 5085: 0.019127535643387806
Position 7360: 0.018279811403002205
Position 15530: 0.014950620362344708
Position 4446: 0.014066197920165006
Position 2069: 0.013829182237041052
Position 15867: 0.012809577827478102
Position 16903: 0.012059214820997106
Position 20707: 0.009634838208772324
Position 17808: 0.009360632826489973
Position 19385: 0.008533607902396937
Position 19936: 0.008460907129655967
Position 20755: 0.007547798467696308
Position 19813: 0.007533247891417239
Position 15830: 0.0073618278547337036
Position 13130: 0.00702039772394177
Position 6651: 0.00655898316086922
Position 18114: 0.0065015324494912576
Position 16117: 0.005501900418813418
Position 20620: 0.005234791317054574
Position 12626: 0.005111504671780613
Position 571: 0.004967002809446652
Position 15081: 0.004862071898348418
Position 14399: 0.004828185235212606
Position 891: 0.0043690344734324885
Position 18613: 0.004083861137189234
Position 16280: 0.0039424695119656605
Position 19584: 0.0038245926586888634
Position 15733: 0.0035731842241476528
Position 20125: 0.002974064188555857
Position 998: 0.0027332075409048084
Position 2359: 0.0026898484504238583
Position 1615: 0.002389981142221765
Position 19259: 0.0022485522398223816
Position 13221: 0.0022144534579635685
Position 9214: 0.002166696686741868
Position 19415: 0.0021151631182412707
Position 3822: 0.0020712816785934092
Position 1005: 0.0020396274674979943
Position 18374: 0.002000135562424863
Position 127: 0.0018604461228142453
Position 163: 0.0017978778180270062
Position 16296: 0.0017700661502850772
Position 15199: 0.0017259554781849046
Position 20895: 0.0014568877733027604
Position 9992: 0.0012934460707298354
Position 16499: 0.0012670078938146851
Position 15327: 0.0012160176373316347
Position 15389: 0.001206375257010908
Position 1113: 0.001197748687308082
Position 1254: 0.0011743206536409226
Position 14591: 0.0011551637249017836
Position 14627: 0.0010603647111824975
Position 557: 0.0007937252683487393
Position 15450: 0.000745780534218989
Position 924: 0.0006951961909608448
Position 107: 0.0006159311229796943
Position 972: 0.000579306466902246
Position 15644: 0.0005419252568073851
Position 15269: 0.0005377030246451575
Position 747: 0.0005196935020081021
Position 858: 0.0005180417696837443
Position 13715: 0.0005178907666968254
Position 1293: 0.0005116335049523312
Position 1422: 0.0004509533410722031
Position 773: 0.0003635793832080515
Position 15429: 0.0003370224396203722
Position 14073: 0.00028910230999517776
Position 7156: 0.00024847127796051924
Position 595: 0.00024185504768921496
Position 651: 0.0001771572810951807
Position 15659: 0.00017678676193595626
Position 15366: 0.00015587809823151502
Position 84: 0.00015070941840436214
Position 14025: 0.0001271312973394227
Position 1622: 9.17840813893711e-05
Position 19198: 7.144985851049895e-05
Position 3944: 5.804393187712093e-05
Position 1296: 4.892315820811267e-05
Position 1700: 3.6954144877690525e-05
Position 173: 2.8183777029790213e-05
Position 3395: 2.6495566675844446e-05
Position 560: 2.5722504940644078e-05
Position 2010: 2.5193903998055548e-05
Position 918: 2.3549096363147982e-05
Position 974: 1.954910829564319e-05
Position 484: 1.4957711320457747e-05
Position 1988: 1.1140992604075416e-05
Position 1778: 9.10321148306853e-06
Position 192: 7.151631282847687e-06
Position 17771: 5.279467434003166e-06
Position 58: 3.4945357015220027e-06
Position 1682: 3.407266227839574e-06
Position 357: 1.006770269971676e-06
Position 244: 8.509623345305245e-07
Position 23: 7.412397102687439e-07
Position 1963: 3.0430104578050547e-07
Position 15384: 2.6060803094747946e-07
Position 354: 2.0942759957277738e-07
Position 13776: 1.7245981192196175e-07
Position 344: 1.5650594941982355e-07
Position 1344: 1.2626759368370298e-07
Position 15431: 1.2372740209465896e-07
Position 494: 1.0066415353788942e-07
Position 649: 7.994544713491022e-08
Position 292: 6.790119911827895e-08
Position 444: 6.349064719267239e-08
Position 1697: 5.896611343555127e-08
Position 535: 2.997786311621349e-08
Position 473: 2.1854846142605584e-08
Position 406: 9.927109653145632e-09
Position 382: 1.1612797926648337e-09
Position 360: 7.606109025878005e-10
Position 396: 5.673996198174047e-10
Position 421: 3.793415605522606e-10
Position 394: 9.70632337620448e-11
Position 458: 2.9383728925259625e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 15300: 0.974474125185356
Position 12238: 0.9671295805044887
Position 15938: 0.9588731044185147
Position 13589: 0.9528556196522234
Position 17581: 0.7597918076120685
Position 6907: 0.7440328399861074
Position 15612: 0.6358269305927544
Position 20526: 0.6196758585698098
Position 1563: 0.43443612351558913
Position 15050: 0.32803073398871524
Position 8390: 0.3106063597547333
Position 1245: 0.27838129871388245
Position 3612: 0.24553486964597518
Position 22621: 0.24533038235944832
Position 16207: 0.24469500130877445
Position 6972: 0.24247047266551816
Position 3282: 0.23340238810423525
Position 17495: 0.21982269471311705
Position 3240: 0.21629414623184115
Position 19347: 0.21514057983100007
Position 17893: 0.16400304590825157
Position 16161: 0.16347777443572975
Position 6473: 0.15959023992409707
Position 1350: 0.15829840861493624
Position 1319: 0.14906540913043517
Position 14752: 0.1379523014170197
Position 3631: 0.1342099145479572
Position 10369: 0.10587751805195485
Position 17991: 0.10474502027128195
Position 17936: 0.1032424294195721
Position 12555: 0.10322103880875709
Position 11942: 0.09837008862184565
Position 9908: 0.09682954701991162
Position 19572: 0.09128134278549646
Position 3571: 0.08439895545826469
Position 1518: 0.08380932438895543
Position 9648: 0.08243219385031077
Position 6513: 0.08134435923612034
Position 17355: 0.07723602341766363
Position 2987: 0.07444481562844778
Position 10089: 0.06894984626030402
Position 12469: 0.06701309069554424
Position 14879: 0.06575130660509075
Position 1611: 0.05542823601007025
Position 16145: 0.05265162598258813
Position 13967: 0.0479947165854344
Position 13191: 0.04573046132936828
Position 16116: 0.04495769164816712
Position 10211: 0.04005196006457743
Position 16184: 0.036352705143044166
Position 16380: 0.03284907975641791
Position 12594: 0.031357712897451435
Position 15657: 0.029826717735714832
Position 13626: 0.02704714880956081
Position 20026: 0.02638718532727104
Position 3673: 0.0262428850843592
Position 9954: 0.02546388711305274
Position 8352: 0.024798435559532903
Position 17954: 0.023703869400110454
Position 19682: 0.022757828655247763
Position 1634: 0.02260287515003427
Position 6538: 0.022432371752467175
Position 20062: 0.02182434703799759
Position 14809: 0.02143158847791622
Position 3518: 0.0211429645320352
Position 17744: 0.02023160020470221
Position 16099: 0.019098411899943223
Position 3541: 0.01671075729391911
Position 4916: 0.016543020182838226
Position 9688: 0.015604462392347872
Position 16249: 0.015057323138840223
Position 8338: 0.014669317590339421
Position 4164: 0.014066197920164999
Position 3043: 0.013867993223868766
Position 7349: 0.013586093266548175
Position 13852: 0.013236065516343343
Position 7046: 0.013232472933285635
Position 444: 0.011869948860964551
Position 18926: 0.011452634238187256
Position 1460: 0.010897226265339378
Position 14982: 0.010407365372194074
Position 17444: 0.010362051206327924
Position 15772: 0.010268165219143761
Position 1672: 0.010208414279686544
Position 20666: 0.009913087985192744
Position 1614: 0.00990184507737671
Position 1944: 0.009878956941268653
Position 8448: 0.009385162806762425
Position 13001: 0.009234851181905337
Position 806: 0.008679394870144111
Position 1292: 0.00721535823461949
Position 12621: 0.007066223096105653
Position 3361: 0.006922747092922487
Position 717: 0.0067497604472599995
Position 2879: 0.006678136000243934
Position 2998: 0.006647798596333504
Position 3708: 0.006089156448215784
Position 16823: 0.005817662653501676
Position 3209: 0.005736431987802502
Position 22510: 0.005609433441020672
Position 12425: 0.004779647900245914
Position 19493: 0.004575683969653276
Position 12657: 0.004555907614394084
Position 18077: 0.004490459036602898
Position 19065: 0.00434017428658449
Position 1440: 0.0042575191575030735
Position 19137: 0.00410081995941955
Position 18225: 0.003843636888647701
Position 16762: 0.003759651169299138
Position 14478: 0.003707204384006513
Position 21893: 0.0036409239491783756
