Gene = Maip1
index = 658
Annotated 5SS: [ 895 3656 5522 7060]
Annotated 3SS: [3583 5394 6911 9327]
SMsplice 5SS: [ 220 5522]
SMsplice 3SS: [5394 9327]
top_k =  500
Partition function (log Z): -7.614049768094635

Sorted 5' Splice Sites (High to Low Probability):
Position 5522: 0.8773804989851522
Position 2227: 0.5566887464337594
Position 895: 0.5084684325228523
Position 7060: 0.31777277407003796
Position 220: 0.27965471925544577
Position 2653: 0.2773062174349453
Position 538: 0.26123034046398685
Position 7119: 0.25258704425298617
Position 12: 0.251910971779141
Position 3656: 0.233590585976414
Position 5227: 0.12516947962626632
Position 6169: 0.10125192367180502
Position 2152: 0.09359119192529841
Position 109: 0.08695531069584085
Position 7004: 0.07778769142670687
Position 224: 0.07665506194666179
Position 135: 0.04334881210011501
Position 6972: 0.04100881368374591
Position 5579: 0.03360424071140697
Position 2462: 0.03117369958714233
Position 6160: 0.03014671180342967
Position 8578: 0.024992186134808057
Position 3075: 0.01991345384462264
Position 3834: 0.01128380999928862
Position 2313: 0.011008853412290905
Position 3245: 0.008969155290695544
Position 863: 0.00825602371961293
Position 5610: 0.007836638646888171
Position 7830: 0.006838728709928417
Position 5223: 0.006245036090385065
Position 1003: 0.005676668342808057
Position 214: 0.0055410271135058085
Position 1318: 0.004902113820008975
Position 1262: 0.004811764918923485
Position 1732: 0.0046433827826652075
Position 178: 0.0041715679494747256
Position 527: 0.004107519095002824
Position 808: 0.004058364688042105
Position 1272: 0.0033752836035559827
Position 258: 0.0031358849056303917
Position 1904: 0.0029026013444269777
Position 429: 0.0028404710978765842
Position 1450: 0.002807162869877434
Position 1652: 0.002167494995775134
Position 1437: 0.0018502601869649458
Position 679: 0.0018034236224307007
Position 3773: 0.001762735532428697
Position 4921: 0.0016468478109046317
Position 251: 0.0015472421570573546
Position 7064: 0.0011346517611604905
Position 990: 0.0008030471055982504
Position 1059: 0.0007248936784800403
Position 408: 0.0004041796305368182
Position 1169: 0.00032981434424609614
Position 6296: 0.00028724982623705696
Position 436: 0.00022977747082174725
Position 166: 0.00016929966126491477
Position 505: 0.00011558160370685689
Position 2399: 9.42261130191335e-05
Position 22: 5.559413166641253e-05
Position 578: 4.106728238602752e-05
Position 639: 3.9616170053964374e-05
Position 1498: 2.745301586768781e-05
Position 386: 2.5032243512850757e-05
Position 461: 1.5787353885312977e-05
Position 858: 1.0006884152518982e-05
Position 20: 2.2316905139622412e-06
Position 58: 7.170940852094802e-07
Position 873: 5.754620563123659e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 5394: 0.9195980747030775
