Gene = Dbf4
index = 321
Annotated 5SS: [  250  1496 10596 12707 14223 14483 16915 17846 19105 19637 23029]
Annotated 3SS: [ 1322 10415 12655 14152 14405 16877 17799 18975 19524 22903 24553]
SMsplice 5SS: [  250  1496 10596 12707 14223 14483 15433 19105 23029 23957]
SMsplice 3SS: [ 1322 10415 12655 14152 14355 15352 18975 22903 23854 24046]
top_k =  500
Partition function (log Z): 4.59616836003219

Sorted 5' Splice Sites (High to Low Probability):
Position 1496: 0.997122200812245
Position 14483: 0.9843204907238919
Position 19105: 0.9538102617477014
Position 23029: 0.9428852820014372
Position 12707: 0.8831818500677592
Position 10596: 0.8819665170563599
Position 15433: 0.7520063407908805
Position 14223: 0.6918544963855532
Position 17846: 0.4890197720327663
Position 250: 0.46269039342743445
Position 17003: 0.33670658007161625
Position 23957: 0.3344088219676863
Position 169: 0.31594937145985247
Position 14969: 0.31548828657306266
Position 15182: 0.26703848836484617
Position 14251: 0.25703892207078655
Position 18630: 0.22309329488357976
Position 9995: 0.21691711789679152
Position 18348: 0.21394344672808419
Position 19643: 0.15147910411128396
Position 10864: 0.14944049654563324
Position 19637: 0.1338531530859325
Position 1025: 0.10726017168837086
Position 16915: 0.10604647180055553
Position 184: 0.10551594112644433
Position 8390: 0.09467351093118079
Position 2622: 0.09087015285166428
Position 3034: 0.06287690958569027
Position 19867: 0.05636894473195352
Position 17071: 0.044587078404955266
Position 15194: 0.040206626141464086
Position 5901: 0.038734337714751425
Position 579: 0.03721307096446884
Position 10248: 0.03236387874805138
Position 22323: 0.030816679922022094
Position 15235: 0.029196176122582573
Position 10942: 0.02667520305263966
Position 13248: 0.021126058611445394
Position 577: 0.018974707078482953
Position 20096: 0.017560002184894057
Position 560: 0.015885982801616412
Position 8376: 0.015014943278590239
Position 15493: 0.014389105730628174
Position 1172: 0.012698616264373623
Position 20980: 0.012429193226911986
Position 188: 0.011941753516776867
Position 12778: 0.01157958262645165
Position 12711: 0.010538502949775977
Position 15772: 0.010244627467652152
Position 15219: 0.010004002588350006
Position 18225: 0.009794200932868771
Position 15417: 0.009483952938415969
Position 23241: 0.006104234673260592
Position 12838: 0.004857138835833345
Position 13078: 0.004677432203732764
Position 23359: 0.004391007456084827
Position 19417: 0.004362930107660821
Position 16651: 0.004313955160356611
Position 11527: 0.0042384223332137295
Position 583: 0.0038706680128683503
