Gene = Npat
index = 761
Annotated 5SS: [  142  8240 11924 13064 14592 15428 16926 18095 19433 19609 21175 22161
 26630 29786 29978 32901 34132]
Annotated 3SS: [ 8120 11862 12990 14550 15202 16837 18009 19340 19520 21077 22034 24994
 29669 29868 32839 32999 35523]
SMsplice 5SS: [  142  8240 11924 15428 16926 18095 19433 19609 21175 22161 29978 32901]
SMsplice 3SS: [ 8120 11862 15202 16837 18009 19340 19520 21077 22034 29868 32776 35523]
top_k =  500
Partition function (log Z): 8.263503446856324

Sorted 5' Splice Sites (High to Low Probability):
Position 22161: 0.9986125394099442
Position 29978: 0.9883788730378075
Position 19433: 0.9748893450793511
Position 18095: 0.9621980497131228
Position 142: 0.9534011217365962
Position 21175: 0.9363322414322931
Position 8240: 0.926400636421597
Position 15428: 0.9216548731715215
Position 19609: 0.886291415857613
Position 11924: 0.6806498475255728
Position 32901: 0.5878435331138356
Position 16926: 0.5768496645312357
Position 13064: 0.42996500650729674
Position 21011: 0.3202608818644279
Position 25937: 0.23849660334938277
Position 20047: 0.2077096178547988
Position 5365: 0.1796229483479637
Position 11996: 0.17249766231773783
Position 724: 0.14006840213151522
Position 21444: 0.1216902040403037
Position 21464: 0.10389282297510453
Position 30876: 0.10187113556840213
Position 14615: 0.09808988476507738
Position 25313: 0.09652035823926242
Position 3262: 0.0912721323951243
Position 35820: 0.09103024175992001
Position 7293: 0.08017748841269476
Position 13085: 0.07748317963874493
Position 24520: 0.07352847062502373
Position 19252: 0.07247125612757224
Position 26314: 0.06377835205698641
Position 26630: 0.06269795903417817
Position 19647: 0.05594716069478168
Position 2645: 0.04361398961225717
Position 33082: 0.038890133990269526
Position 20547: 0.03850141427020719
Position 1635: 0.03536736865649587
Position 21719: 0.03513203166458573
Position 16990: 0.03367629071076936
Position 2640: 0.03161852057478719
Position 21746: 0.031097568472865197
Position 19615: 0.02550084497636786
Position 32848: 0.02514580155741828
Position 34082: 0.024782342010935182
Position 21319: 0.022525870496577734
Position 29047: 0.02138548892712866
Position 4918: 0.019167374484777858
Position 14592: 0.01877943899041761
Position 806: 0.016592864784488695
Position 21186: 0.016151552187538894
Position 19275: 0.01609676043802248
Position 19621: 0.014135874296349937
Position 21602: 0.01403460273892654
Position 25409: 0.01199112245900845
Position 19266: 0.011809134214852565
Position 19239: 0.011259038559258094
Position 35718: 0.01109254490715838
Position 15268: 0.009138150634767105
Position 21302: 0.008171555838934674
Position 18473: 0.00810708287194693
Position 135: 0.007825210173401013
Position 19637: 0.0077660810832476355
Position 26654: 0.0073661538118345955
Position 21869: 0.00723068201036602
Position 35661: 0.007034690363650931
Position 33121: 0.00630384230516007
Position 20703: 0.004874347400539333
Position 18797: 0.004213121691032717
Position 21412: 0.0037234095687414493
Position 166: 0.0033848631698769854
Position 26044: 0.003373092817946497
Position 19861: 0.0031243429569327835
Position 19656: 0.003044938100641678
Position 26254: 0.0027965765907887624
Position 15416: 0.002658668127950703
Position 20699: 0.0026451710307015468
Position 4609: 0.0024510132578862095
Position 23719: 0.0023235561771995077
Position 25007: 0.0022635471281986044
Position 19440: 0.002095957470332722
Position 8772: 0.0018085564497794995
Position 20195: 0.001544294224166042
Position 19261: 0.001532015691461732
