Gene = Aste1
index = 146
Annotated 5SS: [ 274 2467 6295 8200]
Annotated 3SS: [1152 6083 8003 9606]
SMsplice 5SS: [ 274 1314 1564 2467 6295]
SMsplice 3SS: [1152 1405 2232 6203 7325]
top_k =  500
Partition function (log Z): -2.2021176325424827

Sorted 5' Splice Sites (High to Low Probability):
Position 1314: 0.9900201500259347
Position 2467: 0.8926804073914532
Position 6295: 0.80282400986142
Position 274: 0.6530201015710648
Position 1564: 0.5132977798691465
Position 463: 0.36515224937949164
Position 3534: 0.26652390703066636
Position 3658: 0.20641922524465267
Position 1888: 0.1807274746946433
Position 7385: 0.16852617303433753
Position 4193: 0.1513678946860097
Position 7476: 0.13973931819995905
Position 5408: 0.13970515458184235
Position 1496: 0.11455849613668691
Position 8200: 0.08848837521942719
Position 268: 0.04001464279736564
Position 1502: 0.03049542329381149
Position 2074: 0.026715657729278017
Position 490: 0.026339597520650994
Position 4654: 0.02052498417269971
Position 5816: 0.019623520680427078
Position 5522: 0.015602015046028064
Position 5780: 0.013005575763090025
Position 1546: 0.011089153107404888
Position 1047: 0.009864672798743937
Position 2102: 0.009231680765712534
Position 216: 0.009042565565419129
Position 373: 0.008650899467565108
Position 7887: 0.008603730203477274
Position 1679: 0.006350049834872191
Position 2994: 0.006271852774256281
Position 2114: 0.006230466416471009
Position 1510: 0.005256641501930861
Position 2097: 0.004569016453473523
Position 6398: 0.004499494663713662
Position 2145: 0.0042500804152103815
Position 8893: 0.0031524425565696273
Position 6528: 0.0030780700226668107
Position 6555: 0.002819516618346468
Position 7636: 0.002786911079144099
Position 577: 0.0026604926782170116
Position 8060: 0.0026206670942913253
Position 452: 0.0024153505191924726
Position 3012: 0.0016374586352958002
Position 172: 0.001403473003819427
Position 2475: 0.0010363592751301022
Position 211: 0.0007899739632196194
Position 6299: 0.000716319276823786
Position 5731: 0.0006568564662061075
Position 227: 0.0004199679807564596
Position 2233: 0.00040066392397646673
Position 12: 0.00036646291209591465
Position 711: 0.0002871726094655339
Position 6408: 0.0002850002357143474
Position 5761: 0.0002444005352800455
Position 670: 0.00023252010642028453
Position 1652: 0.00018666473915500794
Position 354: 0.0001857194687650061
Position 289: 0.00017722619837306773
Position 286: 0.00016149946759279408
Position 721: 0.00013642772479269816
Position 140: 0.00010547732517553021
Position 480: 0.00010119424936977511
Position 10: 9.926472142763377e-05
Position 977: 8.523276122911815e-05
Position 153: 7.354521226257521e-05
Position 1175: 6.966923250673315e-05
Position 4258: 5.2007060978285205e-05
Position 116: 4.9582132881832945e-05
Position 434: 4.1871501295766826e-05
Position 359: 4.0798685009081045e-05
Position 3530: 3.7259362442715804e-05
Position 541: 3.724219681194653e-05
Position 1211: 2.7082078077469477e-05
Position 1063: 2.7018801629029878e-05
Position 809: 2.3640406422459876e-05
Position 121: 2.2413712822365242e-05
Position 43: 1.7454656881329207e-05
Position 1345: 1.4930149828583379e-05
Position 1831: 1.4018866431111646e-05
Position 124: 1.3857175482626636e-05
Position 3478: 1.3834194244125016e-05
Position 432: 1.3713931851172335e-05
Position 179: 1.245738134673061e-05
Position 1034: 8.391230263921725e-06
Position 1348: 7.946519962211072e-06
Position 980: 7.559521658683859e-06
Position 1392: 6.057877730503489e-06
Position 1512: 5.6655636870856915e-06
Position 1057: 5.3776849142998246e-06
Position 1481: 5.368866585953912e-06
Position 691: 4.903556847372151e-06
Position 1225: 4.296602398112722e-06
Position 1161: 1.2497321200179702e-07
Position 1534: 5.184881849915729e-09
Position 442: 2.9045823706471906e-09
Position 738: 5.767389782195834e-10
Position 829: 2.13922521856623e-10
Position 892: 1.5568780683690897e-10
Position 732: 4.8260384556242e-13
Position 628: 4.724161771944834e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1152: 0.9802119420715214
Position 6203: 0.7196523413939653
Position 7325: 0.6730655450490803
Position 1405: 0.5750858778035323
Position 2232: 0.5390583450519091
Position 9606: 0.42956937691733876
Position 3371: 0.3948934478895134
Position 2358: 0.22589722195587972
Position 5361: 0.13832141052193606
Position 8003: 0.12428759774994373
Position 1426: 0.10399212053664757
Position 3978: 0.08450712773784397
Position 353: 0.0755127311336684
Position 2377: 0.06981509533272613
Position 3992: 0.06553972433263956
Position 6083: 0.0550966489315655
Position 1700: 0.05195482565485288
Position 1760: 0.050478705310960145
Position 8657: 0.048146018271602045
Position 8892: 0.038348852344771686
Position 4481: 0.03733042066337441
Position 6066: 0.02509573802736006
Position 3339: 0.024798926107149327
Position 1732: 0.024629140804578516
Position 1763: 0.02450753938743508
Position 7684: 0.020004873740213164
Position 5277: 0.01963011690239357
Position 2010: 0.019293124385935247
Position 373: 0.01917572872575263
Position 3587: 0.016395747298094603
Position 5592: 0.015163599516977277
Position 5688: 0.015096189616156778
Position 2213: 0.014095343969951357
Position 3453: 0.013987568126936497
Position 2013: 0.013431031290315077
Position 2326: 0.01300441541132032
Position 9538: 0.012766003079666851
Position 6170: 0.012741620077392098
Position 2264: 0.011169823367401677
Position 1578: 0.010807568904753487
Position 3386: 0.01032818028303926
Position 2192: 0.008979955435578718
Position 359: 0.00847562897170169
Position 1978: 0.008466027513196856
Position 9060: 0.00805136293540043
Position 1984: 0.006754510172820278
Position 8472: 0.006372713498749832
Position 1904: 0.006238218441838951
Position 3530: 0.005763550687148464
Position 1449: 0.005321678396892989
Position 339: 0.0046714756257445
Position 1411: 0.004645566931824587
Position 941: 0.004467226514791516
Position 907: 0.0042657229699938
Position 6392: 0.004119136174154828
Position 3466: 0.004040357821387452
Position 6855: 0.0037635688779198203
Position 5685: 0.0034153532817245945
Position 6441: 0.003364573197861526
Position 1079: 0.0033183289603460576
Position 384: 0.0031975001508221744
Position 2872: 0.003185063452223919
Position 9125: 0.002990186221135019
Position 1679: 0.002935369288141766
Position 2902: 0.0029346982952300187
Position 1676: 0.0029261801193395044
Position 3631: 0.002657048898048667
Position 4069: 0.0025275893909938096
Position 2424: 0.002430123983434364
Position 3436: 0.002169207335660576
Position 9362: 0.002002544178416934
Position 8863: 0.0018136054252222908
Position 6544: 0.001763608687610499
Position 1211: 0.0016894331461037807
Position 6239: 0.0015487794434479675
Position 2055: 0.001514235591430234
Position 2143: 0.0014950468528716217
Position 2697: 0.0014897580844592286
Position 1204: 0.0014360044297331257
Position 6097: 0.0013622524167937215
Position 1057: 0.001265653980419947
Position 2015: 0.0012510834856669024
Position 1998: 0.0011859342083259596
Position 1580: 0.001169620330240573
Position 6709: 0.0011537339134590485
Position 6607: 0.0011508213012224
Position 3953: 0.00108018154433045
Position 1707: 0.0010577147304031197
Position 5940: 0.0010354562329135159
Position 3878: 0.0010348688205860388
Position 7025: 0.000934356815490869
Position 1741: 0.0007661589737003325
Position 1810: 0.0007497860108584734
Position 912: 0.0007418030363768193
Position 408: 0.0007114895668562505
Position 790: 0.0006507074542178268
