Gene = C530008M17Rik
index = 197
Annotated 5SS: [   76   325  8383 10806 14519 18547 25592 26736]
Annotated 3SS: [  189  8217 10736 14335 15731 25400 26572 29917]
SMsplice 5SS: [  325  8383  9797 10806 14519 25592 25896 26226 26736]
SMsplice 3SS: [ 8217  9612 10736 14335 25400 25775 26096 26572 29917]
top_k =  500
Partition function (log Z): 2.5527822443174744

Sorted 5' Splice Sites (High to Low Probability):
Position 10806: 0.9985645523912084
Position 325: 0.9889451927759432
Position 26736: 0.9162228132878617
Position 25592: 0.8255802272951431
Position 8383: 0.7430751840695393
Position 2600: 0.6316077061511219
Position 9512: 0.6016391055943804
Position 14519: 0.5944224381215186
Position 9797: 0.5942454850808678
Position 14540: 0.40144332598436994
Position 25896: 0.39122167532795715
Position 5466: 0.3271929667468477
Position 7703: 0.3046458412875202
Position 9770: 0.2778109110643308
Position 8432: 0.24867257298254752
Position 5640: 0.21480375129883034
Position 28766: 0.20805456497432342
Position 2476: 0.15413889217850701
Position 26947: 0.10754179638120777
Position 12484: 0.09764421456193369
Position 10346: 0.0794616616666997
Position 7631: 0.07940794839840308
Position 1901: 0.07030981243577197
Position 85: 0.06184154504373537
Position 10339: 0.05803656424508145
Position 9565: 0.05366038057606842
Position 5134: 0.04996730472852898
Position 10171: 0.04044172280999057
Position 4218: 0.03491447650402705
Position 2745: 0.032847008398773955
Position 2996: 0.030015132192718272
Position 6854: 0.029681542374223584
Position 13468: 0.026306946322611317
Position 2676: 0.022196625179778055
Position 2496: 0.011158599527174946
Position 10206: 0.010784039044803633
Position 8558: 0.009184190843668687
Position 9020: 0.007897394676183084
Position 3216: 0.007658660806767643
Position 9412: 0.007555952641190955
Position 2665: 0.007551384713736058
Position 3655: 0.0075446381354770265
Position 5720: 0.007079712852701951
Position 10384: 0.0069129331878320975
Position 9195: 0.006555174885000932
Position 104: 0.006016189749791813
Position 8924: 0.005928884858166942
Position 17712: 0.005883371254912784
Position 3637: 0.005743832347752607
Position 14019: 0.005573794645774582
Position 8476: 0.00502045163426079
Position 5733: 0.004827290268539038
Position 694: 0.0047244488768613
Position 13754: 0.004306735470004868
Position 10501: 0.004224215963725033
Position 947: 0.0036070230420226293
Position 263: 0.00360078043583012
Position 3706: 0.0030066495419153244
Position 189: 0.0029462478948978532
Position 2589: 0.0028959899421655824
Position 3475: 0.0028940780369045463
Position 12467: 0.0028794634655691163
Position 2774: 0.0028434893078788655
Position 14506: 0.0026723490773514573
Position 1793: 0.0025289315729653053
Position 17513: 0.0023505173474903337
Position 2334: 0.0022821344023546573
Position 865: 0.0019148451731167257
Position 5364: 0.0016405351987290341
Position 712: 0.0015236268251636181
Position 13464: 0.0014852515545817945
Position 5573: 0.0012754083301844206
Position 1852: 0.001207925041690529
Position 12243: 0.0011683131286783274
Position 20345: 0.0011074238788586434
Position 2724: 0.0010886828453465244
Position 17284: 0.0010872495333299856
Position 5698: 0.00107903688235789
Position 12895: 0.0010608883064961788
Position 1721: 0.000998250779410495
Position 173: 0.0008961267946884206
Position 54: 0.000873434408892184
Position 1828: 0.0007821529120777259
Position 12033: 0.0007568691774654718
Position 12923: 0.0006974233641756741
Position 1416: 0.0006626259574397078
Position 733: 0.0006497854845194713
Position 1928: 0.0006311807312300669
Position 2253: 0.0006167464210963722
Position 5494: 0.0005981075389346087
Position 4476: 0.0005392530411771745
Position 18234: 0.0005147836114823182
Position 2030: 0.0004976692245853318
Position 20947: 0.0004910753736013772
Position 49: 0.00044963503972278353
Position 840: 0.00043063072191287777
Position 10424: 0.0003931221375759385
Position 1512: 0.0003856461895121848
Position 13222: 0.0003643741375735055
Position 143: 0.0003471858837197078
Position 1866: 0.00034212576537846295
Position 1646: 0.0003256009043397561
Position 18012: 0.0003118174598477149
Position 13131: 0.00031028160073451664
Position 3326: 0.0003039987409786416
Position 18016: 0.0003016909226451739
Position 5369: 0.0002768865816541343
Position 11251: 0.0002619712844345662
Position 16038: 0.0002600420064489214
Position 17532: 0.00024094124537300744
Position 2338: 0.00023747747807837703
Position 2382: 0.00020513460111356462
Position 15181: 0.00019197995889949445
Position 1764: 0.00018301248809834974
Position 2440: 0.00018179927128692596
