Gene = Apobr
index = 129
Annotated 5SS: [ 127 2870 3221]
Annotated 3SS: [ 433 2954 3314]
SMsplice 5SS: [127]
SMsplice 3SS: [433]
top_k =  500
Partition function (log Z): -7.336397680141934

Sorted 5' Splice Sites (High to Low Probability):
Position 127: 0.9867855339494859
Position 524: 0.35691078254409436
Position 563: 0.32469982954163495
Position 3221: 0.14690665937392652
Position 2870: 0.1154830063235143
Position 3250: 0.06812879178248125
Position 539: 0.03333824197800099
Position 1703: 0.022174001255161373
Position 2047: 0.018051897117027038
Position 1745: 0.011685291589383513
Position 3217: 0.007801650605011206
Position 648: 0.007716382391412735
Position 591: 0.007124821086933372
Position 2039: 0.005722883776237227
Position 1532: 0.004547952368891557
Position 89: 0.004452774547697834
Position 38: 0.004228862762734502
Position 2835: 0.002315457035107143
Position 2234: 0.002288135131235813
Position 3117: 0.002007454320003835
Position 1943: 0.0018500054942051272
Position 286: 0.0015131311126003236
Position 902: 0.0014588402276959546
Position 444: 0.0014069078941353014
Position 318: 0.0013276260557199065
Position 332: 0.0013146609037668865
Position 1514: 0.0011296885397109107
Position 837: 0.001083636792550927
Position 1718: 0.0009551687695218251
Position 599: 0.0008429463580641598
Position 2483: 0.0006929889501459687
Position 582: 0.0005286793594807393
Position 3725: 0.0005268211441127394
Position 639: 0.00048528834016105856
Position 169: 0.0004327116337253721
Position 19: 0.00043048167811589755
Position 3079: 0.0004283276580124209
Position 284: 0.0003951335606158898
Position 229: 0.0003881013776202992
Position 15: 0.00037625807623222683
Position 2465: 0.000271173837691278
Position 32: 0.00020794177072147444
Position 312: 0.0001887189508839251
Position 371: 0.00015718005024318446
Position 388: 0.00011904971356585626
Position 362: 0.00010022179972746314
Position 2131: 6.29320780470011e-05
Position 2711: 4.496453276144342e-05
Position 464: 4.061005141731431e-05
Position 542: 3.7691618580370204e-05
Position 756: 3.74703348974725e-05
Position 172: 3.6042611777837473e-05
Position 485: 3.3746992781164574e-05
Position 1712: 3.099779606351594e-05
Position 369: 2.1054519086305537e-05
Position 261: 1.8312960799204933e-05
Position 250: 1.5656360452880282e-05
Position 385: 3.4005869596969166e-06
Position 3315: 1.0969224605640053e-06
Position 664: 4.997645883273034e-07
Position 404: 2.1521502107800378e-07
Position 3077: 4.361455906943014e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 433: 0.8867222464997825
Position 3314: 0.4669727250999464
Position 2954: 0.3763329954677989
Position 3019: 0.08007095555846683
Position 2756: 0.0758602343176251
Position 1580: 0.02962748063649226
Position 3140: 0.028827078231789875
Position 3104: 0.025222382182632966
Position 3503: 0.018232684086415447
Position 1929: 0.017989801839021706
Position 2594: 0.01593829241420773
Position 1880: 0.015261081769182989
Position 196: 0.013836434637571811
Position 3621: 0.012020974192820647
Position 2792: 0.011143569316859536
Position 2761: 0.007058075503837158
Position 2998: 0.005359860000863003
Position 3683: 0.005276867308823819
Position 467: 0.005143622303576255
Position 1381: 0.005087088647024324
Position 3345: 0.0044817591832686104
Position 3286: 0.002752893209349479
Position 3840: 0.0026777466839183997
Position 229: 0.0024367747838835566
Position 2678: 0.002342445087648746
