Gene = Icos
index = 558
Annotated 5SS: [   90 16114 16790 17682]
Annotated 3SS: [15774 16682 17596 19773]
SMsplice 5SS: [   90  5978 16790 17682]
SMsplice 3SS: [ 5897 16682 17596 19773]
top_k =  500
Partition function (log Z): -9.775267287319735

Sorted 5' Splice Sites (High to Low Probability):
Position 90: 0.995684002668394
Position 5978: 0.9164909752403521
Position 14131: 0.8934793873194689
Position 16790: 0.8014692760813976
Position 17682: 0.4460522317199103
Position 847: 0.2899765857468789
Position 3691: 0.26314201455458286
Position 6297: 0.21842012144521233
Position 5324: 0.08769926454623095
Position 16965: 0.06720546679201628
Position 2728: 0.06270598841371645
Position 5637: 0.04598241281971292
Position 1379: 0.037277466276639915
Position 2450: 0.01610924519410122
Position 16114: 0.016047377072361625
Position 1491: 0.014971296726526095
Position 2985: 0.014761484649068006
Position 1504: 0.009553781675033204
Position 3851: 0.006693878297860072
Position 547: 0.002879803618405361
Position 280: 0.0009462235978245366
Position 331: 0.00046039390405166883
Position 292: 0.00025915806577850775
Position 8416: 0.0002260884808104795
Position 166: 0.00013874675269608754
Position 395: 0.00011244733806118582
Position 2099: 8.723919883136321e-05
Position 851: 4.8926857572732e-05
Position 153: 3.308486992883395e-05
Position 2021: 3.169190113397022e-05
Position 40: 2.10333687631762e-05
Position 567: 1.8226029291963703e-05
Position 584: 1.6090499435291572e-05
Position 296: 1.1470625841936733e-05
Position 792: 8.741133762649714e-06
Position 94: 6.0194333615286524e-06
Position 503: 5.784167596099156e-06
Position 558: 5.281428787435903e-06
Position 1665: 5.165087180833076e-06
Position 118: 4.9421223364972916e-06
Position 2875: 4.755814266242169e-06
Position 315: 4.612171201091975e-06
Position 2109: 3.7361409119855694e-06
Position 796: 3.730538694565823e-06
Position 3280: 2.9844326650259975e-06
Position 286: 2.755826919850757e-06
Position 51: 1.6650985110984273e-06
Position 59: 1.6379376816234688e-06
Position 3033: 1.36996706142805e-06
Position 388: 1.023607178481125e-06
Position 313: 9.98129411428629e-07
Position 403: 7.535086847264803e-07
Position 491: 5.824964414253853e-07
Position 551: 5.328162948376454e-07
Position 375: 4.351885181818155e-07
Position 368: 4.218931239933223e-07
Position 711: 3.470710893092397e-07
Position 840: 3.009207345703044e-07
Position 53: 5.393871203576079e-09
Position 1824: 1.4294503233734556e-09
Position 2698: 5.06025796703374e-10
Position 237: 3.0527998587238823e-13
Position 270: 1.391915735761983e-13
Position 217: 6.648671622545795e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 5897: 0.9066518328593365
Position 14026: 0.8986723620930668
Position 16682: 0.802944950490393
Position 17596: 0.4518025676508233
Position 19773: 0.3917203499765105
Position 6188: 0.2133710543176979
Position 3589: 0.1895334670068647
Position 641: 0.1707569984127636
Position 21794: 0.1541058966899406
Position 20889: 0.1460774276123299
Position 645: 0.10014077793973752
Position 16829: 0.08697376674496808
Position 5210: 0.08447828815748973
Position 20206: 0.07991898008165133
Position 3545: 0.06704125366543064
Position 21412: 0.06313889913301185
Position 5564: 0.05481738397637335
Position 21509: 0.054583414042695774
Position 15774: 0.03471018954565505
Position 2555: 0.032148934102544095
Position 2642: 0.023131380120235762
Position 1221: 0.020756587324117698
Position 2300: 0.012368480451017036
Position 675: 0.011952272824791391
Position 1346: 0.009803282973514552
Position 18958: 0.0097866535625904
Position 15303: 0.008602541021179959
Position 2782: 0.00851050817019774
Position 3768: 0.008239645934021569
Position 1111: 0.00804737511303612
Position 1242: 0.008001811190755081
Position 5769: 0.006702809736209484
Position 1279: 0.006329582753715667
Position 3474: 0.005397989634799697
Position 1376: 0.005126431329841375
Position 12510: 0.005086269146947753
Position 17348: 0.004986017548553084
Position 12938: 0.004904841282875649
Position 12169: 0.00453465286370635
Position 2361: 0.0037720784622258864
Position 2538: 0.0035687814076678656
Position 2863: 0.0032845433139109532
Position 5014: 0.003247927596044316
Position 757: 0.0021580276547434165
Position 5910: 0.0020543820685752293
Position 13407: 0.0018541850398385831
Position 2558: 0.001788554697977067
Position 17033: 0.0017838459741170319
Position 10289: 0.0015491198428875103
Position 683: 0.0014167829149911671
Position 14256: 0.001343662649812998
Position 3522: 0.0012909427215488365
Position 4497: 0.001278893526825254
Position 2646: 0.0012771605288369962
Position 2844: 0.0012743837435710966
Position 1133: 0.0012564496345303666
Position 6444: 0.0010532067527825445
Position 2978: 0.0010344891939717204
Position 9892: 0.0010103233546676742
Position 2567: 0.000880790554062456
Position 11942: 0.0008495975404849834
Position 8339: 0.0008086334782269203
Position 1416: 0.0007905458047037477
Position 8514: 0.0007750571268075331
Position 718: 0.0007748427348830152
Position 1170: 0.0007279180106374343
Position 2927: 0.0007021816880457053
Position 748: 0.0006894202800516405
Position 4456: 0.0006486762486414196
Position 647: 0.000608145208748959
Position 10810: 0.000538563908001627
Position 233: 0.000531493788706381
Position 10043: 0.0005043493229288795
Position 809: 0.0004752429204203108
Position 1250: 0.00041443712926638495
Position 228: 0.0004080384682948299
Position 738: 0.0003852894563271957
Position 1130: 0.00036908429167270795
Position 8728: 0.0003585316654757185
Position 9736: 0.00033858351591829316
Position 12513: 0.0003131002806102682
Position 1093: 0.00030407781511428215
Position 420: 0.00025477244715126307
Position 6114: 0.0002378045139655681
Position 6477: 0.00020015285525125495
Position 11735: 0.00016445954451839242
Position 6318: 0.0001449103586474472
Position 8002: 0.0001253598262195464
Position 3166: 0.00011683837762421603
Position 10242: 0.00011138315271805608
Position 5323: 0.0001009843823787242
Position 6991: 8.865844107596718e-05
Position 1933: 8.008198984212073e-05
Position 2098: 7.693242290377282e-05
Position 9761: 6.768931123729762e-05
Position 426: 5.915076743557395e-05
Position 455: 5.403582522687917e-05
Position 9173: 5.338048047089612e-05
Position 4782: 5.32765088570258e-05
Position 4671: 5.150566018025887e-05
Position 266: 5.1125209215198133e-05
Position 386: 4.302577457081764e-05
Position 1916: 4.2118762553293986e-05
Position 959: 4.1179074328288634e-05
Position 7686: 3.299469114845539e-05
Position 491: 2.9411039725711063e-05
Position 1018: 2.8250984904731606e-05
Position 4436: 2.7890633983831174e-05
Position 375: 2.559659368863513e-05
Position 2284: 2.5261088141103812e-05
Position 2304: 2.4137989994105404e-05
Position 4176: 2.383539909465375e-05
Position 6685: 2.1649230776248123e-05
Position 2850: 2.094319941844323e-05
Position 422: 1.9871506024183012e-05
Position 2367: 1.822146076768621e-05
Position 398: 1.758703598557076e-05
Position 2490: 1.5750910580659587e-05
Position 460: 1.552895469275055e-05
Position 1247: 1.5115738943681096e-05
Position 2739: 1.5101044042550875e-05
Position 2151: 1.4955428890145909e-05
Position 237: 1.0954969743464372e-05
Position 344: 9.466247558298233e-06
Position 4283: 8.506753072582051e-06
Position 1902: 8.123393648714452e-06
Position 4577: 7.849314107837204e-06
Position 243: 7.745271285334101e-06
Position 582: 7.670204304784412e-06
Position 4535: 7.668321859765157e-06
Position 1060: 5.5856017671108865e-06
Position 494: 5.014703733739175e-06
Position 2328: 4.803157209983476e-06
Position 1935: 4.325907566881584e-06
Position 2407: 3.8121467058115776e-06
Position 1766: 3.6208792725375077e-06
Position 1875: 3.592543259827324e-06
Position 284: 2.8606695828462647e-06
Position 1057: 2.289560153805443e-06
Position 690: 2.125564601919565e-06
Position 1577: 1.3242268655832782e-06
Position 471: 1.124756746821331e-06
