Gene = Eed
index = 361
Annotated 5SS: [  572  4087  8753  9444 10678 11413 13271 16255 18728 24729 25453]
Annotated 3SS: [ 3933  8659  9377 10551 11330 13178 16120 18621 24569 25378 25919]
SMsplice 5SS: [  572  4087  8753 10678 11413 13001 13271 16255 24729 25453]
SMsplice 3SS: [ 3933  8659 10551 11330 12893 13178 16120 24569 25378 25919]
top_k =  500
Partition function (log Z): 1.641738332410163

Sorted 5' Splice Sites (High to Low Probability):
Position 4087: 0.9489793311198675
Position 13271: 0.9031723716383062
Position 11413: 0.8985904766274254
Position 16255: 0.8690538714162814
Position 8753: 0.8329106124496691
Position 572: 0.764396376354617
Position 10678: 0.647010712501467
Position 19933: 0.6201531486991807
Position 13001: 0.520475223290443
Position 24729: 0.45934567293841466
Position 2297: 0.38847309043373096
Position 67: 0.3651865358573742
Position 18728: 0.35521769982880474
Position 25453: 0.24548885594398684
Position 9625: 0.22997925588790435
Position 4670: 0.179679515679965
Position 8774: 0.13574750122427406
Position 12997: 0.12496389385915017
Position 917: 0.11448645428327728
Position 11671: 0.11386038378852657
Position 16340: 0.08331701601428201
Position 21568: 0.08004636049374703
Position 11403: 0.0780689065898833
Position 14897: 0.07041513115235697
Position 5952: 0.05834806419583073
Position 24640: 0.05325287737253868
Position 12920: 0.04576047882343272
Position 9651: 0.043793292436315016
Position 13287: 0.0374915831282936
Position 3002: 0.034596992002325674
Position 9378: 0.03179557790575337
Position 13435: 0.02954111942882982
Position 6944: 0.028453461812196015
Position 4980: 0.02810857515604693
Position 6607: 0.027272210987100604
Position 2776: 0.025840573729742796
Position 7759: 0.024315354339965997
Position 5631: 0.022693737028864173
Position 14621: 0.022342721620161002
Position 5772: 0.022096881352431604
Position 13515: 0.021735828195655154
Position 5926: 0.0202785195085511
Position 10036: 0.01988332972734765
Position 2134: 0.018386465344839443
Position 9288: 0.018290507362204025
Position 8764: 0.017628582294332805
Position 15659: 0.01689946391502709
Position 1531: 0.014700155501930951
Position 3021: 0.014516687129939079
Position 13892: 0.013625580968425656
Position 810: 0.011883456554995642
Position 13521: 0.010913536633778762
Position 2192: 0.01069462928279728
Position 8006: 0.010532750677802306
Position 9619: 0.009361917658346958
Position 5948: 0.00891272250563202
Position 15259: 0.00866120261360455
Position 18255: 0.008079705644847652
Position 13542: 0.00781295798131013
Position 12681: 0.007524599616443989
Position 6505: 0.007075158230250429
Position 9109: 0.006373964157502251
Position 4779: 0.006156907447748339
Position 3341: 0.005411743653331374
Position 1628: 0.005167419260492142
Position 258: 0.005123660047493017
Position 9855: 0.00486413484806126
Position 15237: 0.004612772080126104
Position 1982: 0.00404003231146331
Position 1869: 0.003622067773920072
Position 12348: 0.0033465124389980058
Position 791: 0.003295318412453981
Position 8908: 0.003286335031886289
Position 10478: 0.0032850202649632922
Position 12102: 0.0032849782154914927
Position 4927: 0.0028388613623182087
Position 627: 0.0028219980703434473
Position 5260: 0.002676389654839564
Position 4878: 0.002616495412906069
Position 2551: 0.002542810546720207
Position 16793: 0.0023397747999848247
Position 6181: 0.001673317815451187
Position 11435: 0.001497192080044234
Position 13005: 0.0014746418473152445
Position 2370: 0.0014621598770225882
Position 2826: 0.0012713612126737687
Position 111: 0.0011456863183539852
Position 2834: 0.0010647749897357652
Position 4272: 0.00063330807195725
Position 1963: 0.0005550583735566625
Position 240: 0.0004141060686214679
Position 169: 0.0004074180250320819
Position 619: 0.00037857415535778524
Position 4614: 0.0003273779280050601
Position 87: 0.00025695408964637864
Position 11: 0.00015937475520090452
Position 13236: 0.00014633604348718638
Position 126: 0.00010869120423073426
Position 404: 0.00010126081669533936
Position 97: 7.821445820681516e-05
Position 612: 6.613260743168725e-05
Position 49: 5.5751243732024054e-05
Position 178: 5.491906716274126e-05
Position 176: 4.410674565141887e-05
Position 2506: 2.6335546606946146e-05
Position 11707: 1.686188980054103e-05
Position 590: 1.462382972258706e-05
Position 13259: 1.2028911240525406e-05
Position 13266: 1.044086064502661e-05
Position 289: 6.3326941186786915e-06
Position 391: 2.4357273990914743e-06
Position 351: 1.2513671189963714e-06
Position 279: 1.1978657346776471e-06
Position 281: 1.1547500855358204e-06
Position 523: 1.1460509801341389e-06
Position 576: 1.0460453431059328e-06
Position 333: 9.432108345023726e-07
Position 601: 7.202916269641775e-07
Position 606: 6.740800000979595e-07
Position 1231: 3.0995704652401776e-07
Position 801: 2.41386378236217e-07

Sorted 3' Splice Sites (High to Low Probability):
