Gene = Fkrp
index = 411
Annotated 5SS: [  33 1669]
Annotated 3SS: [1605 4755]
SMsplice 5SS: [  33 1669]
SMsplice 3SS: [1605 4755]
top_k =  500
Partition function (log Z): -10.629437807686436

Sorted 5' Splice Sites (High to Low Probability):
Position 1669: 0.8281972935296275
Position 33: 0.46820747203726665
Position 921: 0.29401160826985223
Position 6870: 0.18870312473842796
Position 561: 0.15394874395339253
Position 5625: 0.08710360773182399
Position 2516: 0.07720293386985723
Position 2331: 0.02716578478771929
Position 1090: 0.02109258801676523
Position 999: 0.016547123138467918
Position 3269: 0.016454138580803867
Position 5572: 0.01523159836275142
Position 4295: 0.015099998345423823
Position 1703: 0.012333331916157488
Position 1472: 0.011046997182577945
Position 4703: 0.009325786032675986
Position 1295: 0.00913094227666671
Position 2356: 0.008652534726117241
Position 467: 0.008244417334204572
Position 170: 0.00820530502310376
Position 4051: 0.0070968854229228
Position 210: 0.00684554638765501
Position 1139: 0.006465726387115653
Position 2267: 0.0038008281673073494
Position 5952: 0.0036974034887488436
Position 6309: 0.003177857473981995
Position 577: 0.0030117902324141264
Position 558: 0.0029615874901633196
Position 1540: 0.00240307733159846
Position 299: 0.002376301140574227
Position 5689: 0.0021451436015010013
Position 4193: 0.0017278431214582928
Position 912: 0.001632905304242867
Position 148: 0.0015508550460998272
Position 1290: 0.0015401339005988843
Position 7205: 0.0014946396594842284
Position 610: 0.001482769863541193
Position 1360: 0.0012386734232063565
Position 2335: 0.0012034061847088784
Position 3399: 0.0011807216131763853
Position 160: 0.0011643852337750017
Position 3961: 0.0010456844184561353
Position 697: 0.0010194650017971132
Position 1507: 0.0009369585804161536
Position 790: 0.0008903230457490871
Position 817: 0.0008019362387125304
Position 6289: 0.0007689109200174412
Position 5034: 0.0007551934464696404
Position 4983: 0.0005905177635733614
Position 3076: 0.0005588558952911166
Position 2583: 0.0005391496935928927
Position 2167: 0.0005076018445710382
Position 1691: 0.00044308464035597924
Position 1624: 0.0003941243961206731
Position 4026: 0.0003732069223210909
Position 2133: 0.0003449115263239105
Position 548: 0.00033678257490171005
Position 2432: 0.00033060262988708806
Position 1224: 0.0003143529098551274
Position 821: 0.000297516211732315
Position 3078: 0.0002776199727800813
Position 2097: 0.0002543414468338855
Position 1923: 0.00024111597803198165
Position 3240: 0.00022397231129670737
