Gene = Tssc4
index = 1150
Annotated 5SS: [265 602]
Annotated 3SS: [505 686]
SMsplice 5SS: [265]
SMsplice 3SS: [686]
top_k =  500
Partition function (log Z): -8.015493124711508

Sorted 5' Splice Sites (High to Low Probability):
Position 265: 0.9128404373754692
Position 572: 0.2157751822237653
Position 687: 0.034401525510944636
Position 17: 0.026578282513914083
Position 236: 0.024944919293187557
Position 248: 0.02213223178746627
Position 445: 0.021526315317745376
Position 602: 0.019788440718431
Position 1044: 0.012699182714981702
Position 40: 0.006353715786801301
Position 1618: 0.005640162534148456
Position 58: 0.004066957482065238
Position 828: 0.0026086755292755175
Position 29: 0.0025258893755042314
Position 820: 0.0023906827519630013
Position 1709: 0.0010168687223496137
Position 777: 0.00083318800200333
Position 576: 0.0005512850186845866
Position 703: 0.00030197184002341026
Position 564: 0.0002762331502437976
Position 1143: 0.00023506240790378152
Position 1272: 0.0002098380702523548
Position 65: 0.0001613630639906294
Position 1725: 0.00010539537603787414
Position 27: 8.439842373533008e-05
Position 52: 6.99808166255501e-05
Position 21: 4.570936014287183e-05
Position 383: 2.7551883580220208e-05
Position 458: 2.238764717721486e-05
Position 432: 2.1641389345995933e-05
Position 6: 1.8862417006497604e-05
Position 341: 1.2322000303114011e-05
Position 329: 9.74136350064257e-06
Position 158: 9.404935500748692e-06
Position 834: 8.845917890426488e-06
Position 415: 8.202618439256954e-06
Position 1087: 7.287451753780751e-06
Position 1500: 6.7812964074526484e-06
Position 817: 6.557310099269005e-06
Position 1414: 6.478291341576004e-06
Position 350: 6.022606264126675e-06
Position 449: 5.992555650415785e-06
Position 472: 4.688283253222063e-06
Position 1506: 4.282633876137043e-06
Position 106: 4.158803533016222e-06
Position 112: 1.0814966800383468e-06
Position 306: 7.505940049673195e-07
Position 109: 6.041387875702278e-07
Position 246: 5.630282702148761e-07
Position 955: 2.3158959514753158e-07
Position 312: 2.2665222458248661e-07
Position 511: 1.4653013784994727e-07
Position 517: 1.358806968551684e-07
Position 596: 5.273806934294473e-08
Position 706: 1.733368890562098e-08
Position 696: 5.925856387057956e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 686: 0.6312260435117854
Position 505: 0.20682464056452501
Position 1579: 0.059078147390585575
Position 527: 0.04630360269451504
Position 547: 0.044378848897320335
Position 787: 0.04079994692841931
Position 357: 0.0376783658471115
Position 1042: 0.03171817131058692
Position 846: 0.031613737784739034
Position 927: 0.01830475270610929
Position 112: 0.017872191336071517
Position 166: 0.017078295065512353
Position 722: 0.012265522819839206
Position 702: 0.01123011104427503
Position 1804: 0.009291360428046333
Position 322: 0.00921753996033777
Position 1463: 0.008070420782014151
Position 720: 0.0069797057674010395
Position 1307: 0.006647417528717331
Position 971: 0.006194060558432895
Position 1551: 0.005572862472185503
Position 976: 0.00522553418336908
Position 1443: 0.005060955868416058
Position 1413: 0.004653175790791402
Position 869: 0.004217486013445642
Position 808: 0.004091603088436169
Position 1695: 0.00307144516856781
Position 422: 0.002513815492867718
Position 1141: 0.0024603024775953835
Position 1542: 0.0024412473029858635
Position 850: 0.0022498649409074707
Position 1728: 0.0022047875434404425
Position 1811: 0.001869071553241429
Position 982: 0.0018082072266825712
Position 1195: 0.0015835322401304731
Position 432: 0.0013532955540853375
Position 359: 0.001129091667591847
Position 1754: 0.0011177247696857052
Position 129: 0.0010427711535942188
Position 361: 0.0010172845421430273
Position 932: 0.0009874985062132316
Position 1087: 0.0009158660916604753
Position 81: 0.0008366619169837239
Position 948: 0.0007671483716129137
Position 1152: 0.0007159395784309994
Position 398: 0.0006033223342508827
Position 152: 0.0005519832308576925
Position 1284: 0.00046375829251154275
Position 1515: 0.00040071071036873365
Position 106: 0.00033845338694407585
Position 1583: 0.0003036137310736643
Position 1215: 0.00028904836161248196
Position 1001: 0.0002855123349289173
Position 1612: 0.0002841645762530598
Position 1469: 0.0002815014946991569
Position 1178: 0.00027015243278140865
Position 377: 0.0002470782719280374
Position 848: 0.00022751703423761724
Position 1271: 0.00021105205497088045
Position 1008: 0.0002098313537805702
Position 1667: 0.00020081310206115626
Position 817: 0.00019600568065904106
Position 1586: 0.00018629610923218473
Position 716: 0.00018461237305212623
Position 1487: 0.00017618539287391803
Position 1777: 0.0001361563593768878
Position 395: 9.823132127576126e-05
Position 379: 9.771857446517435e-05
Position 556: 7.067296046450336e-05
Position 579: 7.06114147855086e-05
Position 581: 6.988380380773016e-05
Position 188: 6.574810336295595e-05
Position 596: 4.535947425345111e-05
Position 175: 3.18875119289139e-05
Position 179: 1.828257024623849e-05
Position 887: 1.5414143506564174e-05
Position 872: 1.0509989015449975e-05
Position 576: 8.124650263924055e-06
Position 863: 8.104628920733005e-06
Position 285: 6.2917092468353576e-06
Position 601: 5.108948139107871e-06
Position 955: 3.601442660390035e-06
Position 608: 2.102316304734137e-06
Position 296: 9.870203277589938e-07
Position 407: 8.373283418016938e-07
Position 227: 4.759768970629929e-07
Position 639: 4.261418692475358e-07
Position 234: 3.799239047740592e-07
Position 623: 3.0695285351320954e-07
Position 223: 1.3973621073234386e-08
Position 243: 1.3444880602763484e-08
Position 269: 1.095384654334863e-09
