Gene = Ppp1r35
index = 846
Annotated 5SS: [318 642 859]
Annotated 3SS: [397 721 949]
SMsplice 5SS: [318 859]
SMsplice 3SS: [721 949]
top_k =  500
Partition function (log Z): -6.700185790692142

Sorted 5' Splice Sites (High to Low Probability):
Position 859: 0.7463903528184169
Position 318: 0.6954622194683765
Position 642: 0.47606288882471093
Position 790: 0.1047338203921085
Position 274: 0.05865673031276885
Position 398: 0.04774495278473729
Position 763: 0.03399673744991484
Position 578: 0.03323113496757881
Position 428: 0.01990513709620116
Position 147: 0.0041259629599457006
Position 298: 0.004093731754082868
Position 18: 0.0026151957991928745
Position 775: 0.0017616110176317892
Position 598: 0.00174296982329119
Position 456: 0.001635972106262656
Position 433: 0.0011650276118548265
Position 1120: 0.0007979202513993598
Position 545: 0.0006119672039390444
Position 953: 0.0003615459866422743
Position 247: 0.00034319163842070016
Position 632: 0.0003176621693511298
Position 37: 0.00029168239779497765
Position 24: 0.0002442214286090381
Position 378: 0.00024334438041800286
Position 516: 0.0002180517433452451
Position 615: 0.00017574030171816057
Position 559: 0.00012415580620427682
Position 601: 9.445855690248608e-05
Position 449: 7.848292046675297e-05
Position 11: 5.91837061379842e-05
Position 119: 4.91709851569814e-05
Position 681: 4.716303946113276e-05
Position 61: 4.574815896279987e-05
Position 1006: 1.7256941900378435e-05
Position 1028: 1.3159334964826239e-05
Position 327: 8.127228729013044e-06
Position 113: 7.71491890514628e-06
Position 672: 6.842018366899233e-06
Position 107: 3.4971036134734535e-06
Position 402: 1.0072142479361529e-06
Position 21: 4.321119167003275e-07
Position 926: 8.931631895311473e-09
Position 675: 4.112124737770911e-09
Position 767: 4.176176399251514e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 949: 0.9292545405618046
Position 721: 0.8375946783504564
Position 397: 0.37253352884801283
Position 552: 0.022628598870499266
Position 774: 0.01251816316422279
Position 559: 0.009045097503933968
Position 499: 0.008871317800434654
Position 995: 0.008351235638454767
Position 1028: 0.006907863406089631
Position 1183: 0.0061575293335130515
Position 744: 0.00496464694789078
Position 686: 0.0017139923038468562
Position 529: 0.0016760678882682329
Position 952: 0.0016347109601465783
Position 837: 0.0015779538052374535
Position 789: 0.0013159788765415307
Position 439: 0.001172649815335422
Position 858: 0.0008307886475120376
Position 371: 0.0008287192542276627
Position 574: 0.0007951797560771914
Position 786: 0.0007662393161772167
Position 1050: 0.000718755832647921
Position 924: 0.0007016289360426292
Position 971: 0.0006769819982207281
Position 504: 0.000610760982243472
Position 1076: 0.00046527124155107706
Position 816: 0.00033828096069787433
Position 523: 0.0003144836797449509
Position 757: 0.00030007589849587873
Position 354: 0.0002529895025802207
Position 484: 0.00023955886596695243
Position 698: 0.00020852846975853614
Position 174: 0.0002009465176836909
Position 117: 0.00020092992566916908
Position 516: 0.00015991100042071882
Position 809: 9.467185920568852e-05
Position 478: 9.205867067208858e-05
Position 1079: 8.26422853910664e-05
Position 625: 8.054243449894061e-05
Position 501: 7.977667689976845e-05
Position 864: 7.489714758106676e-05
Position 783: 5.962438456080528e-05
Position 167: 5.1570855933205405e-05
Position 844: 4.164336357048953e-05
Position 628: 3.3551442379348144e-05
Position 247: 3.1615404690080303e-05
Position 195: 3.130792345222844e-05
Position 581: 3.005108300058016e-05
Position 83: 2.4613566828491004e-05
Position 589: 1.878078344597991e-05
Position 646: 1.7905751408477983e-05
Position 586: 1.6789765344430912e-05
Position 813: 1.4975140158477064e-05
Position 119: 1.4344790837337401e-05
Position 654: 1.166167346158817e-05
Position 226: 1.0570985041359379e-05
Position 583: 8.670802639753943e-06
Position 220: 6.32559367923531e-06
Position 254: 5.935764761773245e-06
Position 1162: 4.249267111425612e-06
Position 135: 3.972225250630483e-06
Position 189: 3.0386931483070134e-06
Position 89: 2.704106902858422e-06
Position 203: 2.6570159279333477e-06
Position 317: 2.600872261013118e-06
Position 129: 2.1283991496705227e-06
Position 197: 4.527329673584275e-07
Position 598: 4.0895686739121804e-07
Position 232: 2.6106731395632586e-07
Position 301: 2.163167398584761e-07
Position 76: 1.1465084915722632e-07
Position 146: 1.0939688835836875e-07
Position 137: 5.7879424440414034e-08
Position 268: 3.5819561697244165e-08
Position 263: 2.3116406833215805e-08
Position 284: 1.4676919051618215e-08
Position 307: 9.287208846408777e-09
Position 322: 7.219462938204594e-09
Position 278: 5.495633204680364e-09
Position 265: 3.6677242959662024e-09
Position 332: 2.322456995327064e-09
