Gene = Mospd3
index = 689
Annotated 5SS: [ 303  774 1068 1451 3894]
Annotated 3SS: [ 500  991 1220 3728 3990]
SMsplice 5SS: [ 303  774 1068 1451 3894]
SMsplice 3SS: [ 692  991 1250 3728 3990]
top_k =  500
Partition function (log Z): -2.2751240803120396

Sorted 5' Splice Sites (High to Low Probability):
Position 3894: 0.8727077182167533
Position 774: 0.7334034802940247
Position 1451: 0.7040158674296844
Position 303: 0.6543386238746102
Position 1068: 0.6362317481948643
Position 321: 0.22860052659000663
Position 811: 0.1701682882142733
Position 602: 0.15260183076994827
Position 1843: 0.07547417941719806
Position 1727: 0.059820849516175896
Position 2455: 0.029800910768195073
Position 1080: 0.027325789478122885
Position 156: 0.02408661650176767
Position 54: 0.01861756042099983
Position 1182: 0.008846399297842922
Position 1972: 0.008591279635747552
Position 606: 0.005269948926723996
Position 1021: 0.005200301180994659
Position 145: 0.0048758609780803356
Position 326: 0.00451608069586835
Position 3911: 0.003928954211095097
Position 3602: 0.003021706840125076
Position 221: 0.002867440154944013
Position 2711: 0.0026718369305620965
Position 1769: 0.0023638531274889543
Position 377: 0.0023294967895274355
Position 2025: 0.002157480703507151
Position 1356: 0.001835932516865239
Position 2918: 0.0011300326628346903
Position 3624: 0.001051687230373919
Position 3854: 0.0007232046394666172
Position 179: 0.0007219177997071345
Position 2658: 0.000590351221513612
Position 3845: 0.0005890740627528003
Position 2010: 0.0005325654174625643
Position 1868: 0.00040056908488514387
Position 815: 0.00034463851570469957
Position 237: 0.0002918302745599519
Position 1850: 0.00024213742919421502
Position 2862: 0.00022229520806380605
Position 1053: 0.0002073375586087859
Position 436: 0.00017409441505054405
Position 66: 0.00016103807734092526
Position 3875: 0.00014442415010389019
Position 882: 0.0001354128925501377
Position 309: 0.0001308491804171015
Position 628: 0.00012746454960176442
Position 183: 0.00011040003831362991
Position 218: 6.803794935105817e-05
Position 1072: 5.511790222296007e-05
Position 975: 4.908791629711656e-05
Position 1042: 4.82218036145214e-05
Position 1112: 4.5262167421476945e-05
Position 1152: 3.701297771525728e-05
Position 422: 3.5668878408815885e-05
Position 913: 3.492591594316506e-05
Position 1315: 3.386658351765187e-05
Position 1473: 3.2875529213955935e-05
Position 838: 3.2159511159855086e-05
Position 548: 3.1481816125162614e-05
Position 576: 2.217582257084608e-05
Position 1475: 2.169625200203122e-05
Position 668: 1.9683044902212056e-05
Position 836: 1.9011051560356063e-05
Position 900: 1.7599908990760587e-05
Position 78: 1.7495858806000498e-05
Position 26: 1.1571064627836779e-05
Position 1477: 7.360816254999978e-06
Position 473: 6.352140494256481e-06
Position 1479: 6.14939892375481e-06
Position 1471: 6.077266877734357e-06
Position 433: 3.1571056653942264e-06
Position 19: 2.5715047797357965e-07
Position 493: 1.025564373023488e-11
Position 523: 6.33047422501635e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3990: 0.7769674583171295
Position 3728: 0.7336848273989778
Position 991: 0.644726194146226
Position 692: 0.571142219015544
Position 1250: 0.40096919902826506
Position 653: 0.3136622459291196
Position 1220: 0.2081122731546242
Position 3779: 0.17424317004150325
Position 4063: 0.12110815182644194
Position 1594: 0.05341660307973203
Position 500: 0.04846123990203905
Position 1608: 0.04749994926994375
Position 3817: 0.04440663366029303
Position 533: 0.029546192036601096
Position 2364: 0.028202155530877047
Position 1644: 0.025725670166307644
Position 1354: 0.02376257276119648
Position 1348: 0.02358563984033194
Position 1821: 0.021039636232003008
Position 1003: 0.018292969064648657
Position 1266: 0.01781704569278679
Position 404: 0.013834776016877087
Position 1271: 0.01373478734334781
Position 3417: 0.010760142110638641
Position 699: 0.010487223470772163
Position 964: 0.008530593292493893
Position 1374: 0.007864449188893135
Position 1137: 0.0062121544620083805
Position 561: 0.004887642927623273
Position 514: 0.0035978825841479793
Position 1720: 0.0033372237468734826
Position 1700: 0.002987661443578737
Position 417: 0.002565749126441871
Position 2533: 0.00238211701403481
Position 4067: 0.002365676456687861
Position 231: 0.002108032428035668
Position 2337: 0.0020316134241047494
Position 3705: 0.0019177683061505318
Position 1033: 0.0018961253060379149
Position 589: 0.0018226896122943118
Position 260: 0.0018158167554189976
Position 1368: 0.0016082747488381903
Position 1402: 0.001461042518177486
Position 709: 0.0013678254981256115
Position 4030: 0.0012752026986002421
Position 2599: 0.0012459987691626308
Position 155: 0.001194710411488869
Position 3657: 0.001112363695894932
Position 1327: 0.0010998392367392977
Position 3107: 0.0010584684785219024
Position 1773: 0.0009935745007738246
Position 2414: 0.0009251385865681566
Position 2756: 0.0007771778381972537
Position 177: 0.0007651417919545329
Position 2826: 0.0007362582829934528
Position 1284: 0.0005975198665445043
Position 429: 0.0005387151650402334
Position 1900: 0.0005233541683232018
Position 160: 0.0004090059116663907
Position 727: 0.00040355041893141454
Position 4327: 0.0003808504631320702
Position 3739: 0.00037843086889364103
Position 3753: 0.000351331836723281
Position 4370: 0.0003177324433587386
Position 3893: 0.0003003103900005504
Position 368: 0.00022223381834998344
Position 445: 0.00021999791910142476
Position 4338: 0.00018429120900186456
Position 179: 0.00017700343923255025
Position 1305: 0.0001515606015679888
Position 433: 0.00015059246049208054
Position 949: 0.00014742656950053208
Position 926: 0.00012129187244835419
Position 940: 0.0001088623151128043
Position 376: 0.00010567545628265332
Position 595: 0.00010023652875758297
Position 172: 7.980682181510914e-05
Position 711: 7.921085859602205e-05
Position 563: 7.770203161324854e-05
Position 860: 7.408404104721254e-05
Position 773: 7.219917020256388e-05
Position 197: 7.151067645536751e-05
Position 225: 7.149262383314146e-05
Position 215: 7.023603679273483e-05
Position 3461: 6.68536604018074e-05
Position 187: 5.712394660538972e-05
Position 298: 5.69916529721571e-05
Position 125: 4.186866472684726e-05
Position 3432: 3.720587890327927e-05
Position 848: 3.43539184830796e-05
Position 346: 3.435085963013048e-05
Position 714: 3.411481035063075e-05
Position 1166: 3.237568350126133e-05
Position 867: 3.2071464073925554e-05
Position 204: 3.139196353943174e-05
Position 1293: 2.6608006287695665e-05
Position 373: 2.4902532915821257e-05
Position 2751: 2.4783612921365124e-05
Position 190: 2.267750729702501e-05
Position 132: 2.266811762448431e-05
Position 1322: 2.1876425889749487e-05
Position 2446: 1.9511408822633004e-05
Position 361: 1.686406836180317e-05
Position 120: 1.5683361681765848e-05
Position 1296: 1.520818354017445e-05
Position 1035: 1.1803254137160125e-05
Position 1420: 1.097140178095018e-05
Position 1604: 8.711156419199984e-06
Position 174: 6.253820394357502e-06
Position 1790: 5.870231985722288e-06
Position 1152: 4.875866602785379e-06
Position 1072: 4.5180112630984156e-06
Position 282: 4.0994099718239834e-06
Position 875: 4.085730616123571e-06
Position 862: 3.840542705542273e-06
Position 1662: 2.3709529721400005e-06
Position 302: 2.2216407189326495e-06
Position 1727: 2.1069254368419046e-06
Position 371: 1.1509086581564929e-06
Position 1053: 7.598896946576605e-07
Position 1047: 7.446369886624769e-07
