Gene = Ric3
index = 901
Annotated 5SS: [  169 25549 26588 28967 35381]
Annotated 3SS: [25321 26514 28872 35234 44447]
SMsplice 5SS: [  169 16920 25549 26588 28967 35381]
SMsplice 3SS: [16879 25321 26514 28872 35237 44447]
top_k =  500
Partition function (log Z): -25.511661664863144

Sorted 5' Splice Sites (High to Low Probability):
Position 169: 0.9780641656906875
Position 2157: 0.4071752764419724
Position 2371: 0.2865005830651454
Position 766: 0.248186825712374
Position 1601: 0.21890984437717786
Position 1202: 0.16431660210854893
Position 2380: 0.038031331249002695
Position 1286: 0.03640325633232051
Position 35: 0.034949734168575386
Position 1029: 0.019450884784836326
Position 582: 0.01725768262832145
Position 985: 0.014192323740994632
Position 5731: 0.011360733332733861
Position 3643: 0.010185801379874612
Position 4258: 0.010115790335184466
Position 3434: 0.0070854307919911924
Position 2447: 0.005397090130141774
Position 1458: 0.0039828770223921724
Position 3665: 0.002950786902936425
Position 510: 0.0018561821449029742
Position 2338: 0.0013314254077748627
Position 877: 0.0013107885481978352
Position 60: 0.0012142602157525924
Position 285: 0.0007750774543411653
Position 792: 0.0005963257783070983
Position 281: 0.0005535071225815374
Position 757: 0.00040618473082044027
Position 13: 0.00028641168302084104
Position 779: 0.00022475359046473053
Position 240: 0.00012370276806072475
Position 1117: 0.00010904635601566392
Position 206: 7.273818710339164e-05
Position 696: 6.049154883177544e-05
Position 50: 4.659602003723801e-05
Position 596: 4.2234134276109094e-05
Position 90: 3.280067026685406e-05
Position 329: 3.189147137763584e-05
Position 745: 2.1792477027258525e-05
Position 507: 1.962810350088807e-05
Position 520: 1.7061162693716617e-05
Position 209: 1.6975293374556747e-05
Position 289: 1.4469392007758172e-05
Position 748: 1.1912334622670558e-05
Position 27: 1.0220471270709183e-05
Position 2394: 8.449500469754467e-06
Position 774: 7.419402967137595e-06
Position 313: 5.092650715226228e-06
Position 7: 4.4855329648484435e-06
Position 69: 4.023219486110487e-06
Position 682: 3.835329786900826e-06
Position 410: 3.27852434197599e-06
Position 251: 3.251408191057485e-06
Position 101: 1.965246441196393e-06
Position 128: 1.5609677197293867e-06
Position 617: 1.269675181010897e-06
Position 325: 1.1594250128636716e-06
Position 390: 1.1268399950389494e-06
Position 254: 1.0210741101837153e-06
Position 249: 8.408492918798525e-07
Position 439: 7.551868882722374e-07
Position 407: 7.331130373090231e-07
Position 456: 4.012256937449138e-07
Position 817: 3.439185337090195e-07
Position 471: 3.1843970844778284e-07
Position 266: 4.62693571025981e-08
Position 259: 1.9827759892211517e-08
Position 348: 1.630971025490807e-08
Position 821: 1.419260178729352e-08
