Gene = Sycn
index = 1050
Annotated 5SS: [420]
Annotated 3SS: [1188]
SMsplice 5SS: [212 420]
SMsplice 3SS: [ 312 1188]
top_k =  500
Partition function (log Z): -7.2300999348389485

Sorted 5' Splice Sites (High to Low Probability):
Position 420: 0.655368720783497
Position 212: 0.6480878058464162
Position 131: 0.27853735055571277
Position 308: 0.03122638502179395
Position 723: 0.00351474852874167
Position 135: 0.003193207074032628
Position 1014: 0.0025121663835579646
Position 877: 0.0022326252768591374
Position 158: 0.0008682685462726337
Position 12: 0.0006666020362054655
Position 1046: 0.0005554062757513594
Position 390: 0.0005438409286269615
Position 503: 0.0003673980291210244
Position 424: 0.0003042995474447552
Position 117: 0.00019843365435088722
Position 195: 0.00015262870377407393
Position 265: 0.0001449252545193204
Position 747: 0.00012916180023255384
Position 97: 0.00011742451490685749
Position 534: 8.601883148600731e-05
Position 1189: 5.745830701693885e-05
Position 765: 5.440676965386209e-05
Position 281: 4.5584424794926986e-05
Position 202: 3.7893428813899365e-05
Position 1031: 3.607129217418342e-05
Position 36: 3.38393355783471e-05
Position 363: 2.8484992071757752e-05
Position 27: 2.0235716260487907e-05
Position 19: 1.5090087212045858e-05
Position 341: 1.2247467422789766e-05
Position 198: 9.847670543928111e-06
Position 77: 8.149308882008591e-06
Position 243: 7.457589641539131e-06
Position 64: 6.474310987171848e-06
Position 193: 4.514794479373509e-06
Position 70: 4.0501967105897174e-07
Position 258: 5.348923499529067e-08
Position 330: 3.995370504396828e-08
Position 268: 3.898303321030931e-08
Position 297: 3.684409994431419e-08
Position 292: 1.0930704772732567e-08
Position 294: 2.057466512055732e-09
Position 547: 1.5749171401060547e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 312: 0.584143903576606
Position 1188: 0.5471733885268059
Position 606: 0.14985577136976536
Position 268: 0.07111532555943503
Position 678: 0.04911234329597587
Position 979: 0.03377760573839971
Position 918: 0.033023757674192446
Position 948: 0.029762197143400504
Position 211: 0.018219369708601055
Position 772: 0.01422591944973877
Position 969: 0.013818009888155637
Position 639: 0.012994270598754985
Position 1123: 0.009679506408104098
Position 1222: 0.00793092489988266
Position 1046: 0.004751002365137183
Position 559: 0.003999029134763266
Position 1245: 0.003981945188934801
Position 361: 0.0038143233407243893
Position 518: 0.003614844264952666
Position 1291: 0.003521573385053685
Position 1090: 0.003193725687627483
Position 276: 0.0029023302514507936
Position 815: 0.002674073541749953
Position 321: 0.0022065926441997854
Position 614: 0.0020118759016334673
Position 1006: 0.0017175877985945755
Position 1307: 0.0015967409053534813
Position 808: 0.0015544221302416885
Position 625: 0.0015528795138275106
Position 420: 0.0015475960325550613
Position 469: 0.0012422797612880701
Position 845: 0.0010419600590049565
Position 923: 0.0008914109801994387
Position 1207: 0.0007987735086961778
Position 106: 0.0007283222871299387
Position 330: 0.0007222779210693193
Position 455: 0.000679301985474888
Position 207: 0.00060296511344668
Position 957: 0.0005149118872149721
Position 985: 0.0005060822341308136
Position 694: 0.00040805725892580953
Position 1105: 0.00017114822620938378
Position 285: 0.00016945567697980514
Position 363: 0.00013705378987233157
Position 533: 0.00013676620642973645
Position 1050: 0.00011898157054559127
Position 860: 0.00011364060809852858
Position 722: 0.0001129641260409385
Position 737: 0.00011254235557979474
Position 643: 9.76269025364239e-05
Position 385: 8.137559545431251e-05
Position 785: 6.41431950151905e-05
Position 998: 6.235137905241794e-05
Position 875: 3.357487415865798e-05
Position 506: 2.681916278625876e-05
Position 476: 2.3975131939971105e-05
Position 486: 2.1048664550705896e-05
Position 498: 2.0420333134501458e-05
Position 828: 1.8516032734288774e-05
Position 373: 1.8395402069410307e-05
Position 781: 1.482175751253038e-05
Position 1318: 9.620692753557841e-06
Position 1258: 8.05902307943732e-06
Position 186: 2.7706072247167908e-06
Position 143: 2.526931782199379e-07
Position 114: 1.1037395263041166e-07
Position 424: 8.089974013822654e-08
Position 156: 3.3383505144774654e-08
Position 117: 2.1537904663273745e-08
Position 121: 6.583762845484375e-09
Position 158: 4.642601020310186e-09
Position 153: 1.5920710132054084e-09
